sample,fastq_1,fastq_2,strandedness
SMA4-1,/home/gao/Dropbox/0602/01.RawData/SMA4_1/SMA4_1_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/SMA4_1/SMA4_1_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
SMA4-2,/home/gao/Dropbox/0602/01.RawData/SMA4_2/SMA4_2_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/SMA4_2/SMA4_2_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
SMA4-3,/home/gao/Dropbox/0602/01.RawData/SMA4_3/SMA4_3_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/SMA4_3/SMA4_3_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
SMA4-4,/home/gao/Dropbox/0602/01.RawData/SMA4_4/SMA4_4_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/SMA4_4/SMA4_4_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
SMC2-1,/home/gao/Dropbox/0602/01.RawData/SMC2_1/SMC2_1_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/SMC2_1/SMC2_1_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
SMC2-2,/home/gao/Dropbox/0602/01.RawData/SMC2_2/SMC2_2_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/SMC2_2/SMC2_2_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
SMC2-3,/home/gao/Dropbox/0602/01.RawData/SMC2_3/SMC2_3_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/SMC2_3/SMC2_3_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
SMC2-4,/home/gao/Dropbox/0602/01.RawData/SMC2_4/SMC2_4_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/SMC2_4/SMC2_4_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
ME13-1,/home/gao/Dropbox/0602/01.RawData/ME13_1/ME13_1_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/ME13_1/ME13_1_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
ME13-2,/home/gao/Dropbox/0602/01.RawData/ME13_2/ME13_2_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/ME13_2/ME13_2_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
ME13-3,/home/gao/Dropbox/0602/01.RawData/ME13_3/ME13_3_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/ME13_3/ME13_3_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
ME13-4,/home/gao/Dropbox/0602/01.RawData/ME13_4/ME13_4_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/ME13_4/ME13_4_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
CTRL-1,/home/gao/Dropbox/0602/01.RawData/CTRL_1/CTRL_1_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/CTRL_1/CTRL_1_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
CTRL-2,/home/gao/Dropbox/0602/01.RawData/CTRL_2/CTRL_2_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/CTRL_2/CTRL_2_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
CTRL-3,/home/gao/Dropbox/0602/01.RawData/CTRL_3/CTRL_3_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/CTRL_3/CTRL_3_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
CTRL-4,/home/gao/Dropbox/0602/01.RawData/CTRL_4/CTRL_4_CKDL260009163-1A_23FC3VLT4_L1_1.fq.gz,/home/gao/Dropbox/0602/01.RawData/CTRL_4/CTRL_4_CKDL260009163-1A_23FC3VLT4_L1_2.fq.gz,reverse
