category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Energy metabolism,mmu00190,Oxidative phosphorylation,78/445,112/5932,0.6964285714285714,9.283627608346709,25.20255512331828,1.5523190105544443e-63,4.5017251306078884e-61,3.9870088271082574e-61,Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Ppa2/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Cox17/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Atp5mf/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Sdhd/Cox8a/Ndufa10/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ndufa11/Ndufb2/Sdhc/Ppa1/Cox6a1/Cycs/Cox11/Ndufv1/Atp5f1a/Sdhb/Ndufs8/Ndufa9,78
Organismal Systems,Environmental adaptation,mmu04714,Thermogenesis,90/445,193/5932,0.46632124352331605,6.216219363101822,20.97939096893419,5.371083418644449e-52,7.788070957034451e-50,6.897601863943398e-50,Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Cpt2/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Cox17/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Cox20/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Pnpla2/Ndufb5/Ndufs7/Atp5mf/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Sdhd/Slc25a20/Adrb3/Cox8a/Ndufa10/Atp5mc2/Cpt1b/Ndufb11/Ndufs2/Cyc1/Ndufa11/Coa6/Ndufb2/Cox16/Mgll/Sdhc/Cox19/Cox6a1/Cox11/Ndufv1/Atp5f1a/Prdm16/Sdhb/Ndufaf2/Ndufaf3/Ndufs8/Ndufa9/Cnr1/Cox14,90
Human Diseases,Cancer: overview,mmu05208,Chemical carcinogenesis - reactive oxygen species,82/445,191/5932,0.4293193717277487,5.722971939525854,18.893602015730348,9.051934600305523e-44,8.750203446962005e-42,7.749726464822975e-42,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Vegfa/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Gstt1/Gstt2/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Sod2/Atp5pd/Ndufa8/Ndufb6/Sdhd/Ephx2/Cox8a/Ndufa10/Atp5mc2/Cyp2e1/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Mgst3/Ndufb2/Gsta4/Sdhc/Cox6a1/Ndufv1/Atp5f1a/Sdhb/Cat/Vdac1/Ndufs8/Ndufa9,82
Human Diseases,Cardiovascular disease,mmu05415,Diabetic cardiomyopathy,78/445,180/5932,0.43333333333333335,5.776479400749063,18.53152715755617,5.995142861216612e-42,4.346478574382044e-40,3.8495127845706665e-40,Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Cpt2/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Mpc2/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Mpc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Sdhd/Cox8a/Ndufa10/Atp5mc2/Cpt1b/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Pdhb/Ndufb2/Sdhc/Cox6a1/Slc2a4/Ndufv1/Atp5f1a/Sdhb/Vdac1/Ndufs8/Ndufa9,78
Human Diseases,Endocrine and metabolic disease,mmu04932,Non-alcoholic fatty liver disease,68/445,142/5932,0.4788732394366197,6.383541699636018,18.490534232951468,5.420298962673935e-40,3.1437733983508823e-38,2.784321993457769e-38,Ndufab1/Cox8b/Cox6b1/Ndufa7/Nr1h3/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Ndufs3/Mlxipl/Uqcrb/Ndufc2/Cox7a2/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Ndufc1/Ndufb1/Uqcrq/Srebf1/Ndufb7/Ndufa13/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Ndufa8/Ndufb6/Sdhd/Cox8a/Ndufa10/Cyp2e1/Ndufb11/Ndufs2/Cyc1/Ndufa11/Ndufb2/Sdhc/Cox6a1/Cycs/Ndufv1/Sdhb/Ndufs8/Ndufa9/Adipoq,68
Human Diseases,Neurodegenerative disease,mmu05012,Parkinson disease,82/445,227/5932,0.36123348017621143,4.81536405484334,16.69158488746693,5.546348644801931e-37,2.6807351783209336e-35,2.374226437423985e-35,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Txn2/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Maob/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Sdhd/Mapt/Cox8a/Ndufa10/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Pink1/Ndufb2/Sdhc/Cox6a1/Cycs/Sem1/Ubc/Uba52/Ndufv1/Atp5f1a/Sdhb/Vdac1/Ndufs8/Ndufa9/Mfn2,82
Human Diseases,Neurodegenerative disease,mmu05020,Prion disease,79/445,225/5932,0.3511111111111111,4.680429463171036,16.027371696335912,1.4177262337267568e-34,5.8734372540108496e-33,5.201882722245543e-33,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Hspa1l/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Sdhd/Cox8a/Ndufa10/Csnk2b/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Hspa1a/Ndufb2/Sdhc/Cox6a1/Cycs/Sem1/Ndufv1/Atp5f1a/Sdhb/Vdac1/Hspa1b/Ndufs8/Ndufa9,79
Human Diseases,Neurodegenerative disease,mmu05016,Huntington disease,81/445,246/5932,0.32926829268292684,4.389257330775555,15.461269752545522,3.786614619236464e-33,1.3726477994732182e-31,1.2157025882811805e-31,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Sod2/Atp5pd/Ndufa8/Ndufb6/Sdhd/Gpx3/Cox8a/Ndufa10/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Polr2l/Ndufb2/Sdhc/Polr2i/Cox6a1/Cycs/Sem1/Ndufv1/Polr2k/Atp5f1a/Sdhb/Vdac1/Ndufs8/Taf4/Ndufa9,81
Human Diseases,Neurodegenerative disease,mmu05014,Amyotrophic lateral sclerosis,82/445,291/5932,0.281786941580756,3.756314915633808,13.730102117281334,3.7243645263310647e-28,1.2000730140400097e-26,1.0628595841225496e-26,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Chchd10/Atp5pd/Ndufa8/Ndufb6/Sdhd/Gpx3/Cox8a/Ndufa10/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ndufa11/Pink1/Ndufb2/Map1lc3a/Sdhc/Tomm40l/Cox6a1/Cycs/Ubqln4/Sem1/Ndufv1/Atp5f1a/Sdhb/Cat/Vdac1/Ndufs8/Ndufa9/Chmp2b,82
Organismal Systems,Nervous system,mmu04723,Retrograde endocannabinoid signaling,45/445,102/5932,0.4411764705882353,5.8810310641110375,14.159693982405269,1.1039634101844476e-24,3.201493889534898e-23,2.835442864052687e-23,Ndufab1/Ndufa7/Ndufa3/Ndufb3/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Ndufs3/Ndufc2/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Ndufc1/Ndufb1/Ndufb7/Ndufa13/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Abhd6/Ndufa8/Ndufb6/Ndufa10/Ndufb11/Ndufs2/Ndufa11/Gng5/Gnao1/Ndufb2/Mgll/Ndufv1/Ndufs8/Gnb5/Ndufa9/Cnr1,45
Human Diseases,Neurodegenerative disease,mmu05022,Pathways of neurodegeneration - multiple diseases,87/445,374/5932,0.232620320855615,3.1009072883494566,11.952531722074628,2.080320058852375e-23,5.484480155156262e-22,4.857398032152914e-22,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Trpc3/Sdhd/Gpx3/Mapt/Cox8a/Ndufa10/Csnk2b/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Pink1/Ndufb2/Map1lc3a/Sdhc/Tomm40l/Cox6a1/Cycs/Sem1/Ubc/Uba52/Ndufv1/Atp5f1a/Sdhb/Cat/Vdac1/Ndufs8/Ndufa9/Chmp2b/Mfn2,87
Human Diseases,Neurodegenerative disease,mmu05010,Alzheimer disease,76/445,318/5932,0.2389937106918239,3.185866723199774,11.40978660167585,3.561981759468563e-21,8.608122585382361e-20,7.623890783423941e-20,Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Sdhd/Mapt/Cox8a/Ndufa10/Csnk2b/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Ndufb2/Sdhc/Cox6a1/Cycs/Sem1/Ndufv1/Atp5f1a/Sdhb/Vdac1/Ndufs8/Ndufa9,76
Organismal Systems,Circulatory system,mmu04260,Cardiac muscle contraction,22/445,69/5932,0.3188405797101449,4.250252401888943,7.73318097062175,2.3082800183795837e-9,5.14924004100061e-8,4.5604884573653315e-8,Cox8b/Cox6b1/Uqcrh/Cox4i1/Cox6c/Cox7a1/Uqcr11/Cox5a/Cox7c/Uqcr10/Cox5b/Uqcrfs1/Uqcrb/Cox7a2/Uqcrq/Cox7a2l/Cox7b/Atp1a2/Cox8a/Cyc1/Cox6a1/Tpm2,22
Metabolism,Lipid metabolism,mmu00071,Fatty acid degradation,16/445,39/5932,0.41025641025641024,5.4688562373955625,7.973278869954471,5.808808855371332e-9,1.2032532628983472e-7,1.0656762110606052e-7,Cyp2u1/Cpt2/Gcdh/Acadl/Hadh/Acaa2/Eci1/Acadm/Adh1/Hadhb/Cpt1b/Acadvl/Acads/Echs1/Acaa1b/Eci2,16
Metabolism,Carbohydrate metabolism,mmu00640,Propanoate metabolism,13/445,28/5932,0.4642857142857143,6.18908507223114,7.837419975130562,2.64784486535623e-8,4.871166586336875e-7,4.314209245249356e-7,Mcee/Pccb/Mlycd/Ldhb/Acacb/Aldh6a1/Bckdha/Bckdhb/Acads/Sucla2/Acss3/Echs1/Acss2,13
Metabolism,Amino acid metabolism,mmu00280,"Valine, leucine and isoleucine degradation",17/445,48/5932,0.3541666666666667,4.721161048689139,7.3712177448462874,2.6875401855651725e-8,4.871166586336875e-7,4.314209245249356e-7,Mcee/Aox1/Bcat2/Hadh/Pccb/Acaa2/Acadm/Hibadh/Aldh6a1/Bckdha/Hadhb/Bckdhb/Auh/Acads/Ivd/Echs1/Acaa1b,17
Metabolism,Xenobiotics biodegradation and metabolism,mmu00982,Drug metabolism - cytochrome P450,12/445,32/5932,0.375,4.998876404494382,6.458972747338011,1.5492009065572082e-6,2.642754487656414e-5,2.3405883665632123e-5,Gstk1/Aox1/Gstt1/Gstt2/Maob/Adh1/Cyp2e1/Mgst3/Gsta4/Gstp1/Fmo2/Gstp2,12
Cellular Processes,Transport and catabolism,mmu04146,Peroxisome,18/445,74/5932,0.24324324324324326,3.2425144245368966,5.527807475232442,5.682890059993215e-6,9.155767318877957e-5,8.108919149931838e-5,Pxmp2/Pex6/Sod1/Phyh/Gstk1/Prdx5/Pex11a/Pex16/Mlycd/Sod2/Ephx2/Ech1/Nudt13/Cat/Nudt7/Acaa1b/Eci2/Crat,18
Metabolism,Global and overview maps,mmu01212,Fatty acid metabolism,14/445,50/5932,0.28,3.7324943820224723,5.525330456310265,1.1085954485968919e-5,1.6920667373320983e-4,1.4985999415935823e-4,Hsd17b8/Cpt2/Acadl/Hadh/Acaa2/Acadm/Hadhb/Cpt1b/Acadvl/Mcat/Acads/Echs1/Acaa1b/Mecr,14
Organismal Systems,Endocrine system,mmu03320,PPAR signaling pathway,15/445,58/5932,0.25862068965517243,3.4475009686168154,5.333918621314641,1.555960578517281e-5,2.2561428388500574e-4,1.9981809534642974e-4,Nr1h3/Cpt2/Dbi/Acadl/Fabp3/Acadm/Me1/Cpt1b/Aqp7/Plin4/Ubc/Fabp4/Plin5/Acaa1b/Adipoq,15
Metabolism,Global and overview maps,mmu01200,Carbon metabolism,20/445,96/5932,0.20833333333333334,2.7771535580524347,4.998957191766066,2.120535334399733e-5,2.9283583189329646e-4,2.5935369503435335e-4,Mcee/Pccb/Psph/Hk2/Sdhd/Aldh6a1/Me1/Pdhb/Dlat/Acads/Sdhc/Mdh2/Ogdh/Got1/Sucla2/Sdhb/Cat/Echs1/Acss2/Gcsh,20
Metabolism,Xenobiotics biodegradation and metabolism,mmu00980,Metabolism of xenobiotics by cytochrome P450,11/445,36/5932,0.3055555555555556,4.073158551810238,5.266644053445144,4.016957575415381e-5,5.295080440320274e-4,4.689653820102167e-4,Gstk1/Gstt1/Gstt2/Akr7a5/Adh1/Cyp2e1/Mgst3/Gsta4/Dhdh/Gstp1/Gstp2,11
Metabolism,Carbohydrate metabolism,mmu00620,Pyruvate metabolism,11/445,37/5932,0.2972972972972973,3.963073185545096,5.148465692023036,5.3363435193622354e-5,6.728433133108905e-4,5.959120451827852e-4,Ldhd/Ldhb/Hagh/Acacb/Adh1/Me1/Fahd2a/Pdhb/Dlat/Mdh2/Acss2,11
Metabolism,Metabolism of cofactors and vitamins,mmu00785,Lipoic acid metabolism,7/445,17/5932,0.4117647058823529,5.488962326503635,5.278001802835601,1.2789354551881422e-4,0.001545380341685672,0.0013686853116925734,Lias/Bckdha/Bckdhb/Pdhb/Dlat/Ogdh/Gcsh,7
Human Diseases,Cancer: overview,mmu05204,Chemical carcinogenesis - DNA adducts,9/445,29/5932,0.3103448275862069,4.137001162340178,4.8222949988341846,1.7888333300044635e-4,0.0020750466628051776,0.0018377908737730068,Gstk1/Gstt1/Gstt2/Cyp2e1/Mgst3/Gsta4/Sult1a1/Gstp1/Gstp2,9
Metabolism,Metabolism of other amino acids,mmu00480,Glutathione metabolism,12/445,50/5932,0.24,3.1992808988764043,4.447128532995929,2.396957476447877e-4,0.0026735294929610934,0.0023678446326043804,Gstk1/Oplah/Gpx4/Gstt1/Gstt2/Gpx3/Prdx6/Mgst3/Gsta4/Chac2/Gstp1/Gstp2,12
Metabolism,Carbohydrate metabolism,mmu00020,Citrate cycle (TCA cycle),8/445,29/5932,0.27586206896551724,3.6773343665246028,4.1156810143694855,9.887321769847103e-4,0.010619715975020962,0.009405483476969564,Sdhd/Pdhb/Dlat/Sdhc/Mdh2/Ogdh/Sucla2/Sdhb,8
Metabolism,Global and overview maps,mmu01240,Biosynthesis of cofactors,19/445,120/5932,0.15833333333333333,2.11063670411985,3.500066770883079,0.0013806167848694675,0.014299245271862342,0.012664304342411658,Alad/Bcat2/Coq7/Coq4/Nadk2/Uros/Lias/Coq2/Ears2/Ppcs/Pnpo/Pank1/Naprt/Coq6/Mat2b/Pmm1/Nme3/Coasy/Rfk,19
Metabolism,Metabolism of cofactors and vitamins,mmu00760,Nicotinate and nicotinamide metabolism,8/445,32/5932,0.25,3.3325842696629215,3.7675828669496236,0.0019846694219039364,0.01944447981344635,0.01722124527942254,Aox1/Nadk2/Nnt/Nudt13/Naprt/Sirt5/Nmrk2/Nampt,8
Metabolism,Amino acid metabolism,mmu00350,Tyrosine metabolism,6/445,19/5932,0.3157894736842105,4.209580130100532,3.9902267072242896,0.0020114979117358293,0.01944447981344635,0.01722124527942254,Aox1/Fahd1/Maob/Adh1/Gstz1/Got1,6
