ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006119,oxidative phosphorylation,80/1268,127/12672,0.6299212598425197,6.295238331801584,19.998089489749436,1.7251016907857998e-48,8.78939311455365e-45,8.369467045086055e-45,Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Dnajc15/Ndufa2/Cox5b/Uqcrfs1/Chchd2/Ndufs3/Atp5me/Mlxipl/Uqcrb/Ndufc2/Slc25a33/Cox7a2/Atp5pb/Coq7/Ndufv2/Ndufb4/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Atp5mf/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Iscu/Sdhd/Cox8a/Ndufa10/Ndufb11/Uqcc3/Ndufs2/Cyc1/Ppif/Ndufa11/Pink1/Ndufb2/Uqcc2/Sdhc/Cox6a1/Cycs/Ndufv1/Atp5f1a/Sdhb/Ndufs8/Ndufa9/Mtch2/Fxn,80
GO:0015986,proton motive force-driven ATP synthesis,50/1268,61/12672,0.819672131147541,8.191549878471324,18.773667400264046,5.984147857493299e-40,1.524461666696418e-36,1.451628288167717e-36,Ndufab1/Ndufa7/Ndufa3/Ndufb3/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Ndufc2/Atp5pb/Ndufv2/Ndufb4/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Atp5mf/Ndufa12/Atp5pd/Ndufa8/Ndufb6/Sdhd/Ndufa10/Atp5mc2/Ndufb11/Ndufs2/Ndufa11/Ndufb2/Sdhc/Ndufv1/Atp5f1a/Sdhb/Ndufs8/Ndufa9,50
GO:0042776,proton motive force-driven mitochondrial ATP synthesis,47/1268,57/12672,0.8245614035087719,8.2404117549394,18.2681064287347,7.556173440254778e-38,1.2832901226032699e-34,1.2219790661801501e-34,Ndufab1/Ndufa7/Ndufa3/Ndufb3/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufs3/Atp5me/Ndufc2/Atp5pb/Ndufv2/Ndufb4/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Atp5mf/Ndufa12/Atp5pd/Ndufa8/Ndufb6/Sdhd/Ndufa10/Ndufb11/Ndufs2/Ndufa11/Ndufb2/Sdhc/Ndufv1/Atp5f1a/Sdhb/Ndufs8/Ndufa9,47
GO:0045333,cellular respiration,112/1268,304/12672,0.3684210526315789,3.681886103270795,15.782065857515336,3.805606051893136e-37,4.8473907085988825e-34,4.615799550835649e-34,Col6a1/Etfb/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Pfkfb1/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Mpc2/Ndufs5/Ndufv3/Ndufb10/Dnajc15/Ndufa2/Cox5b/Uqcrfs1/Chchd2/Ndufs3/Atp5me/Mlxipl/Uqcrb/Ndufc2/Slc25a33/Cox7a2/Atp5pb/Coq7/Ndufv2/Ndufb4/Atp5pf/Tpk1/Atp5f1e/Cisd1/Ndufc1/Mpc1/Ndufb1/Uqcrq/Ndufb7/Etfa/Ier3/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Coq10a/Ndufs7/Atp5mf/Hk1/Ndufa12/Cox7a2l/Cox7b/Sod2/Atp5pd/Hk2/Ndufa8/Ndufb6/Iscu/Sdhd/Bloc1s1/Cox8a/Ndufa10/Ndufb11/Uqcc3/Ndufs2/Cyc1/Ppif/Sdhaf4/Ndufa11/Pink1/Pdhb/Dlat/Ndufb2/Uqcc2/Immp2l/Sdhc/Galt/Cox6a1/Mdh2/Cycs/Ogdh/Enpp1/Pm20d1/Pdhx/Mtln/Sucla2/Ndufv1/Atp5f1a/Prdm16/Sdhb/Cat/Vdac1/Ndufs8/Slc25a13/Ndufa9/Mtch2/Rasl2-9/Fxn/Mfn2,112
GO:0022900,electron transport chain,57/1268,87/12672,0.6551724137931034,6.547590558033286,17.313062012415877,3.280268536766368e-36,3.342593638964929e-33,3.182896354938146e-33,Etfb/Cox8b/Ndufa7/Uqcrh/Cox4i1/Fdx1/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa5/Ndufs4/Ndufb8/Uqcr10/Ndufv3/Dnajc15/Cox5b/Uqcrfs1/Chchd2/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Coq7/Ndufv2/Uqcrq/Etfa/Ndufb9/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Sod2/Ndufa8/Ndufb6/Iscu/Sdhd/Cox8a/Ndufa10/Uqcc3/Ndufs2/Cyc1/Ndufa11/Pink1/Fdx2/Immp2l/Sdhc/Cox6a1/Cycs/Pm20d1/Ndufv1/Sdhb/Ndufs8/Mtch2/Ndor1,57
GO:0009060,aerobic respiration,101/1268,264/12672,0.38257575757575757,3.823343848580442,15.457929136665545,3.4819195048585215e-35,2.956729979542361e-32,2.8154678943671806e-32,Col6a1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Pfkfb1/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Mpc2/Ndufs5/Ndufv3/Ndufb10/Dnajc15/Ndufa2/Cox5b/Uqcrfs1/Chchd2/Ndufs3/Atp5me/Mlxipl/Uqcrb/Ndufc2/Slc25a33/Cox7a2/Atp5pb/Coq7/Ndufv2/Ndufb4/Atp5pf/Tpk1/Atp5f1e/Ndufc1/Mpc1/Ndufb1/Uqcrq/Ndufb7/Ier3/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Atp5mf/Hk1/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Hk2/Ndufa8/Ndufb6/Iscu/Sdhd/Bloc1s1/Cox8a/Ndufa10/Ndufb11/Uqcc3/Ndufs2/Cyc1/Ppif/Ndufa11/Pink1/Pdhb/Dlat/Ndufb2/Uqcc2/Sdhc/Galt/Cox6a1/Mdh2/Cycs/Ogdh/Enpp1/Pdhx/Sucla2/Ndufv1/Atp5f1a/Sdhb/Cat/Vdac1/Ndufs8/Ndufa9/Mtch2/Rasl2-9/Fxn/Mfn2,101
GO:0015980,energy derivation by oxidation of organic compounds,124/1268,386/12672,0.32124352331606215,3.2104084601428546,14.706096074966895,3.8315899287646676e-34,2.5668961445458826e-31,2.444258939148179e-31,Col6a1/Etfb/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Per2/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Pfkfb1/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Mpc2/Ndufs5/Ndufv3/Ndufb10/Dnajc15/Ndufa2/Cox5b/Uqcrfs1/Chchd2/Ndufs3/Atp5me/Mlxipl/Uqcrb/Ndufc2/Slc25a33/Cox7a2/Atp5pb/Coq7/Ndufv2/Ndufb4/Atp5pf/Tpk1/Atp5f1e/Cisd1/Ndufc1/Mpc1/Ndufb1/Uqcrq/Ndufb7/Etfa/Ier3/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Coq10a/Ndufs7/Atp5mf/Hk1/Ndufa12/Cox7a2l/Acadm/Cox7b/Sod2/Atp5pd/Trp53/Hk2/Ndufa8/Ndufb6/Iscu/Sdhd/Adhfe1/Bloc1s1/Cox8a/Ndufa10/Ndufb11/Uqcc3/Ndufs2/Cyc1/Nr1d1/Ppif/Sdhaf4/Ndufa11/Pink1/Pgf/Pdhb/Dlat/Ndufb2/Uqcc2/Immp2l/Sdhc/Galt/Gbe1/Cox6a1/Mdh2/Cycs/Ogdh/Enpp1/Pm20d1/Pdhx/Ppp1r1a/Mtln/Ptges3/Sucla2/Ndufv1/Atp5f1a/Prdm16/Sdhb/Cat/Wdr45/Vdac1/Ndufs8/Epm2aip1/Slc25a13/Ndufa9/Mtch2/Rasl2-9/Fxn/Mfn2/Il6st,124
GO:0022904,respiratory electron transport chain,53/1268,80/12672,0.6625,6.620820189274447,16.816429707509016,4.030455182800208e-34,2.5668961445458826e-31,2.444258939148179e-31,Etfb/Cox8b/Ndufa7/Uqcrh/Cox4i1/Cox7a1/Uqcr11/Cox5a/Cox7c/Ndufs6/Ndufa5/Ndufs4/Ndufb8/Uqcr10/Ndufv3/Dnajc15/Cox5b/Uqcrfs1/Chchd2/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Coq7/Ndufv2/Uqcrq/Etfa/Ndufb9/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Sod2/Ndufa8/Ndufb6/Iscu/Sdhd/Cox8a/Ndufa10/Uqcc3/Ndufs2/Cyc1/Ndufa11/Pink1/Immp2l/Sdhc/Cox6a1/Cycs/Pm20d1/Ndufv1/Sdhb/Ndufs8/Mtch2,53
GO:0006091,generation of precursor metabolites and energy,130/1268,423/12672,0.3073286052009456,3.071347070273173,14.448049093639373,1.4724285645622895e-33,8.33558170716096e-31,7.937337139260344e-31,Col6a1/Etfb/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Per2/Fdx1/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Pfkfb1/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Mpc2/Ndufs5/Ndufv3/Ndufb10/Dnajc15/Ndufa2/Cox5b/Uqcrfs1/Chchd2/Ndufs3/Atp5me/Mlxipl/Uqcrb/Ndufc2/Slc25a33/Cox7a2/Atp5pb/Coq7/Ndufv2/Ndufb4/Atp5pf/Tpk1/Atp5f1e/Cisd1/Ndufc1/Mpc1/Ndufb1/Uqcrq/Ndufb7/Etfa/Ier3/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Coq10a/Ndufs7/Atp5mf/Hk1/Ndufa12/Cox7a2l/Acadm/Cox7b/Sod2/Atp5pd/Trp53/Hk2/Ndufa8/Ndufb6/Iscu/Sdhd/Adhfe1/Dgat1/Acacb/Bloc1s1/Cox8a/Ndufa10/Ndufb11/Uqcc3/Ndufs2/Cyc1/Nr1d1/Nnt/Ppif/Sdhaf4/Ndufa11/Pink1/Pgf/Pdhb/Dlat/Ndufb2/Uqcc2/Fdx2/Immp2l/Sdhc/Galt/Gbe1/Cox6a1/Mdh2/Cycs/Ogdh/Enpp1/Pm20d1/Pdhx/Ppp1r1a/Mtln/Ptges3/Sucla2/Ndufv1/Atp5f1a/Prdm16/Sdhb/Cat/Wdr45/Vdac1/Ndufs8/Epm2aip1/Slc25a13/Ndufa9/Mtch2/Rasl2-9/Fxn/Mfn2/Il6st/Ndor1,130
GO:0042773,ATP synthesis coupled electron transport,46/1268,62/12672,0.7419354838709677,7.414673857738883,16.88298947571894,2.718624458352673e-33,1.2592174195733517e-30,1.199056471631337e-30,Cox8b/Ndufa7/Uqcrh/Cox4i1/Cox7a1/Uqcr11/Cox5a/Cox7c/Ndufs6/Ndufb8/Uqcr10/Ndufv3/Dnajc15/Cox5b/Uqcrfs1/Chchd2/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Coq7/Ndufv2/Uqcrq/Ndufb9/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Ndufa8/Ndufb6/Iscu/Sdhd/Cox8a/Ndufa10/Uqcc3/Ndufs2/Cyc1/Ndufa11/Pink1/Sdhc/Cox6a1/Cycs/Ndufv1/Sdhb/Ndufs8/Mtch2,46
