ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0098803,respiratory chain complex,65/1094,89/13250,0.7303370786516854,8.84549021218906,22.277964575306655,3.1078629149320695e-51,1.8926885151936304e-48,1.773117578834928e-48,Atp5mk/Ndufab1/Cox8b/Ndufa3/Atp5me/Cox7a1/Cox7c/Cox6c/Ndufa5/Uqcrb/Ndufa7/Ndufb1/Cox6b1/Atp5pf/Cox5a/Ndufs6/Atp5mj/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufa6/Ndufv3/Cox7b/Ndufaf2/Ndufb3/Cox5b/Ndufa2/Ndufb8/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Atp5mf/Ndufa13/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Ndufb7/Atp5f1d/Ndufb11/Cox4i2/Cyc1/Sdhd/Ndufa11/Ndufs7/Cox6b2,65
GO:0005743,mitochondrial inner membrane,116/1094,421/13250,0.2755344418052256,3.3371401772570746,14.619558990986159,6.667375911081167e-33,2.0302159649242155e-30,1.901956707266312e-30,Atp5mk/Ndufab1/Cox8b/Ndufa3/Atp5me/Cox7a1/Fdx1/Cox7c/Cox6c/Ndufa5/Uqcrb/Ndufa7/Ndufb1/Cox6b1/Atp5pf/Cox5a/Cox20/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Fahd1/Cyp2u1/Mpc2/Dnajc15/Ndufs5/Higd1a/Ndufs4/Ndufb4/Coq7/Ndufa6/Ndufv3/Cox7b/Micos10/Ndufb3/Cox5b/Uqcc6/Ndufa2/Ndufb8/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Chchd1/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Pet100/Romo1/Ndufs3/Ndufb5/Uqcrfs1/Uqcc2/Coq10a/Endog/Atp5mf/Dnajc19/Ndufa13/Micos13/Timm8b/Cox7a2l/Nnt/Cox16/Srgap2/Ndufa8/Gpx4/Uqcc4/Smdt1/Sfxn4/Myoc/Uqcrq/Ndufb2/Atp5pd/Tmem126a/Chchd10/Ndufb7/Uqcc5/Mtfp1/Mtln/Phb2/Mpc1/Tmem11/Atp5f1d/Aurkaip1/Sirt5/Ndufb11/Gstk1/Gcdh/Cox11/Cox4i2/Gatm/Ndufaf6/Tmem256/Abca8b/Cyc1/Sdhd/Higd2a/Ucp2/Ndufa11/Slc25a13/Timm9/Ndufs7/Cox6b2/Maob/Pam16/Fgr/Ppif/Slc30a2/Efhd1,116
GO:0030964,NADH dehydrogenase complex,33/1094,39/13250,0.8461538461538461,10.248207003234425,17.351094080153985,2.302772361143552e-30,3.505970919841058e-28,3.2844805782626457e-28,Ndufab1/Ndufa3/Ndufa5/Ndufa7/Ndufb1/Ndufs6/Ndufc1/Ndufa4/Ndufa1/Ndufb10/Ndufs5/Ndufs4/Ndufb4/Ndufa6/Ndufv3/Ndufaf2/Ndufb3/Ndufa2/Ndufb8/Ndufa12/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Ndufa13/Ndufa8/Ndufb2/Ndufb7/Ndufb11/Ndufa11/Ndufs7,33
GO:0045271,respiratory chain complex I,33/1094,39/13250,0.8461538461538461,10.248207003234425,17.351094080153985,2.302772361143552e-30,3.505970919841058e-28,3.2844805782626457e-28,Ndufab1/Ndufa3/Ndufa5/Ndufa7/Ndufb1/Ndufs6/Ndufc1/Ndufa4/Ndufa1/Ndufb10/Ndufs5/Ndufs4/Ndufb4/Ndufa6/Ndufv3/Ndufaf2/Ndufb3/Ndufa2/Ndufb8/Ndufa12/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Ndufa13/Ndufa8/Ndufb2/Ndufb7/Ndufb11/Ndufa11/Ndufs7,33
GO:0019866,organelle inner membrane,116/1094,462/13250,0.2510822510822511,3.0409870446433516,13.39568070585602,7.113795480990608e-29,8.66460289584656e-27,8.117215054098757e-27,Atp5mk/Ndufab1/Cox8b/Ndufa3/Atp5me/Cox7a1/Fdx1/Cox7c/Cox6c/Ndufa5/Uqcrb/Ndufa7/Ndufb1/Cox6b1/Atp5pf/Cox5a/Cox20/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Fahd1/Cyp2u1/Mpc2/Dnajc15/Ndufs5/Higd1a/Ndufs4/Ndufb4/Coq7/Ndufa6/Ndufv3/Cox7b/Micos10/Ndufb3/Cox5b/Uqcc6/Ndufa2/Ndufb8/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Chchd1/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Pet100/Romo1/Ndufs3/Ndufb5/Uqcrfs1/Uqcc2/Coq10a/Endog/Atp5mf/Dnajc19/Ndufa13/Micos13/Timm8b/Cox7a2l/Nnt/Cox16/Srgap2/Ndufa8/Gpx4/Uqcc4/Smdt1/Sfxn4/Myoc/Uqcrq/Ndufb2/Atp5pd/Tmem126a/Chchd10/Ndufb7/Uqcc5/Mtfp1/Mtln/Phb2/Mpc1/Tmem11/Atp5f1d/Aurkaip1/Sirt5/Ndufb11/Gstk1/Gcdh/Cox11/Cox4i2/Gatm/Ndufaf6/Tmem256/Abca8b/Cyc1/Sdhd/Higd2a/Ucp2/Ndufa11/Slc25a13/Timm9/Ndufs7/Cox6b2/Maob/Pam16/Fgr/Ppif/Slc30a2/Efhd1,116
GO:1902495,transmembrane transporter complex,76/1094,296/13250,0.25675675675675674,3.1097139186718707,11.01215568484482,8.577269721152063e-20,8.705928766969344e-18,8.155930155902489e-18,Atp5mk/C7/Ndufab1/Cox8b/Ndufa3/Atp5me/Cox7a1/Cox7c/Cox6c/Ndufa5/Uqcrb/Ndufa7/Ndufb1/Cox6b1/Atp5pf/Cox5a/Ndufs6/Atp5mj/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufa6/Ndufv3/Cox7b/Ndufaf2/Ndufb3/Cacna1d/Cox5b/Ndufa2/Ndufb8/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Atp5mf/Ndufa13/Trpc3/Cox7a2l/Ndufa8/Smdt1/Uqcrq/Ndufb2/Atp5pd/Cybb/Ano6/Ndufb7/Fxyd1/Atp5f1d/Atp6v1g1/Ndufb11/Cox4i2/Kcnj8/Nalcn/Cyc1/Ndufa11/Ndufs7/Cox6b2/Rnasek/Catsper2,76
GO:1990351,transporter complex,78/1094,315/13250,0.24761904761904763,2.9990423957517196,10.772064134885907,2.88608288134117e-19,2.5108921067668178e-17,2.352266047649495e-17,Atp5mk/C7/Ndufab1/Cox8b/Ndufa3/Atp5me/Cox7a1/Cox7c/Cox6c/Ndufa5/Uqcrb/Ndufa7/Ndufb1/Cox6b1/Atp5pf/Cox5a/Ndufs6/Atp5mj/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufa6/Ndufv3/Cox7b/Ndufaf2/Ndufb3/Cacna1d/Cox5b/Ndufa2/Ndufb8/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Atp8b4/Atp5mf/Ndufa13/Trpc3/Cox7a2l/Ndufa8/Smdt1/Uqcrq/Ndufb2/Atp5pd/Cybb/Ano6/Ndufb7/Fxyd1/Atp5f1d/Atp6v1g1/Ndufb11/Cox4i2/Kcnj8/Nalcn/Cyc1/Ndufa11/Ndufs7/Cox6b2/Rnasek/Catsper2/Tmem30b,78
GO:1990204,oxidoreductase complex,37/1094,96/13250,0.3854166666666667,4.667980652041439,10.820282490884942,2.0571074562320446e-16,1.565973051056644e-14,1.4670424227339055e-14,Ndufab1/Ndufa3/Ndufa5/Ndufa7/Ndufb1/Ndufs6/Ndufc1/Ndufa4/Ndufa1/Ndufb10/Ndufs5/Ndufs4/Ndufb4/Ndufa6/Ndufv3/Ndufaf2/Ndufb3/Ndufa2/Ndufb8/Ndufa12/Ndufv2/Ndufc2/Ndufb6/Hsd17b8/Ndufb9/Ndufs3/Ndufb5/Ndufa13/Ndufa8/Ndufb2/Cybb/Ndufb7/Ndufb11/Sdhd/Ndufa11/Ndufs7/Rrm2,37
GO:0070069,cytochrome complex,21/1094,31/13250,0.6774193548387096,8.204576281181813,12.047442299276595,2.9712539289979456e-16,2.0105484919552767e-14,1.883531730429107e-14,Cox8b/Cox7a1/Cox7c/Cox6c/Uqcrb/Cox6b1/Cox5a/Uqcr10/Ndufa4/Cox7a2/Uqcrh/Uqcr11/Cox7b/Cox5b/Cox4i1/Uqcrfs1/Cox7a2l/Uqcrq/Cox4i2/Cyc1/Cox6b2,21
GO:0045277,respiratory chain complex IV,14/1094,19/13250,0.7368421052631579,8.92427595496969,10.369192142805083,4.960614972050284e-12,3.021014517978623e-10,2.8301613840539517e-10,Cox8b/Cox7a1/Cox7c/Cox6c/Cox6b1/Cox5a/Ndufa4/Cox7a2/Cox7b/Cox5b/Cox4i1/Cox7a2l/Cox4i2/Cox6b2,14
