category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Energy metabolism,mmu00190,Oxidative phosphorylation,69/568,112/6099,0.6160714285714286,6.615175427565393,19.219131566758545,7.099584931659245e-44,2.2789667630626176e-41,2.174714963276674e-41,Ndufab1/Cox8b/Ndufa3/Atp5me/Cox7a1/Cox7c/Cox6c/Ndufa5/Uqcrb/Ndufa7/Ndufb1/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Cox17/Ndufb3/Cox5b/Ndufa2/Ndufb8/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Atp5mf/Ndufa13/Ppa2/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Ndufb7/Atp5f1d/Atp6v1g1/Ndufb11/Cox11/Cox4i2/Cycs/Cyc1/Sdhd/Ndufa11/Ndufs7/Cox6b2,69
Organismal Systems,Environmental adaptation,mmu04714,Thermogenesis,76/568,195/6099,0.38974358974358975,4.184940411700976,14.484766255482217,3.7988361646077064e-30,6.097132044195369e-28,5.818217494214962e-28,Ndufab1/Cox8b/Ndufa3/Atp5me/Cox7a1/Cox7c/Cox6c/Ndufa5/Uqcrb/Ndufa7/Ndufb1/Cox6b1/Atp5pf/Cox5a/Cox20/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Ndufaf2/Cox17/Ndufb3/Cox5b/Ndufa2/Ndufb8/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Cnr1/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Atp5mf/Ndufa13/Cox7a2l/Cox16/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Ndufb7/Zfp516/Adcy7/Coa6/Atp5f1d/Ndufb11/Cox11/Cox4i2/Ndufaf6/Cyc1/Sdhd/Ndufa11/Ndufs7/Cox6b2/Rptor/Prkacb,76
Human Diseases,Cardiovascular disease,mmu05415,Diabetic cardiomyopathy,70/568,181/6099,0.3867403314917127,4.152692397478796,13.79746989501117,1.5452759002927685e-27,1.6534452133132623e-25,1.5778080245094584e-25,Ndufab1/Cox8b/Ndufa3/Cox7a1/Cox7c/Cox6c/Ndufa5/Uqcrb/Ndufa7/Ndufb1/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Mpc2/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Ndufb3/Mcpt4/Cox5b/Ndufa2/Ndufb8/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Ndufa13/Plcb2/Cma1/Atp2a3/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Cybb/Ndufb7/Mpc1/Atp5f1d/Ndufb11/Cox4i2/Akt3/Cyc1/Sdhd/Ndufa11/Ndufs7/Cox6b2/Ppif,70
Human Diseases,Endocrine and metabolic disease,mmu04932,Non-alcoholic fatty liver disease,60/568,142/6099,0.4225352112676056,4.537046220987899,13.665865933831528,4.0597635205800025e-26,3.257960225265452e-24,3.108924169707318e-24,Ndufab1/Cox8b/Ndufa3/Cox7a1/Cox7c/Cox6c/Ndufa5/Uqcrb/Ndufa7/Ndufb1/Cox6b1/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Ndufb10/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Ndufb3/Cox5b/Ndufa2/Ndufb8/Cox4i1/Ndufa12/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Ndufa13/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Ndufb7/Map3k11/Ndufb11/Cox4i2/Cycs/Akt3/Cyc1/Sdhd/Ndufa11/Ndufs7/Cox6b2/Bcl2l11/Il6ra,60
Human Diseases,Cancer: overview,mmu05208,Chemical carcinogenesis - reactive oxygen species,69/568,194/6099,0.3556701030927835,3.81907034993466,12.786829562953093,1.3101549456216223e-24,8.411194750890815e-23,8.026422930018782e-23,Ndufab1/Cox8b/Ndufa3/Cox7a1/Cox7c/Cox6c/Ndufa5/Uqcrb/Ndufa7/Ndufb1/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Vegfa/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Gstt1/Sod1/Ndufb3/Cox5b/Ndufa2/Ndufb8/Hgf/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Ndufa13/Ptprj/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Ndufb7/Atp5f1d/Ndufb11/Cox4i2/Akt3/Cyc1/Sdhd/Cyp2f2/Ndufa11/Ndufs7/Cox6b2/Ppif,69
Human Diseases,Neurodegenerative disease,mmu05020,Prion disease,73/568,230/6099,0.3173913043478261,3.4080450091855483,11.929232746771765,1.478596496541913e-22,7.910491256499234e-21,7.548624219187661e-21,C7/Ndufab1/Cox8b/Ndufa3/Cox7a1/Cox7c/Cox6c/Ndufa5/Uqcrb/Ndufa7/Ndufb1/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Sod1/Ndufb3/Cacna1d/Cox5b/Ndufa2/Ndufb8/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Ccl5/Ndufa13/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Cybb/Apaf1/Ndufb7/Sem1/Atp5f1d/Ndufb11/Csnk2b/Cox4i2/Cycs/Ncam1/Cyc1/Sdhd/Ndufa11/Ndufs7/Cox6b2/Ppif/Prkacb,73
Human Diseases,Neurodegenerative disease,mmu05012,Parkinson disease,71/568,230/6099,0.30869565217391304,3.314673913043478,11.466680953324731,3.663344045979135e-21,1.6799049125132888e-19,1.603057319368313e-19,Ndufab1/Cox8b/Ndufa3/Cox7a1/Cox7c/Cox6c/Ndufa5/Uqcrb/Ndufa7/Ndufb1/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Sod1/Ndufb3/Cox5b/Ndufa2/Ndufb8/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Ndufa13/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Apaf1/Ndufb7/Txn2/Slc39a2/Sem1/Atp5f1d/Ndufb11/Cox4i2/Cycs/Cyc1/Sdhd/Ndufa11/Ndufs7/Cox6b2/Maob/Slc18a2/Ppif/Prkacb,71
Human Diseases,Neurodegenerative disease,mmu05016,Huntington disease,72/568,252/6099,0.2857142857142857,3.0679074446680077,10.743130934356579,2.6790166527260194e-19,1.0749554319063153e-17,1.0257813762411469e-17,Ndufab1/Cox8b/Ndufa3/Cox7a1/Cox7c/Cox6c/Ndufa5/Uqcrb/Ndufa7/Ndufb1/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Polr2k/Atp5mc3/Gpx3/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Sod1/Ndufb3/Cox5b/Ndufa2/Ndufb8/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Ndufb6/Polr2i/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Ndufa13/Plcb2/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Apaf1/Ndufb7/Polr2f/Sem1/Atp5f1d/Ndufb11/Cox4i2/Cycs/Htt/Cyc1/Sdhd/Ndufa11/Ndufs7/Cox6b2/Ppif,72
Human Diseases,Neurodegenerative disease,mmu05014,Amyotrophic lateral sclerosis,75/568,296/6099,0.2533783783783784,2.7206949467072707,9.724997585346221,8.463969598079065e-17,3.0188158233148665e-15,2.8807194772409453e-15,Ndufab1/Cox8b/Ndufa3/Cox7a1/Cox7c/Cox6c/Ndufa5/Uqcrb/Ndufa7/Ndufb1/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Gpx3/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Sod1/Ndufb3/Cox5b/Ndufa2/Ndufb8/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Ndufa13/Atxn2l/Cox7a2l/Ndufa8/Chmp2b/Uqcrq/Ndufb2/Atp5pd/Apaf1/Chchd10/Ndufb7/Sem1/Smcr8/Atp5f1d/Nup107/Ubqln2/Ndufb11/Cox4i2/Cycs/Cyc1/Sdhd/Nup214/Ndufa11/Ndufs7/Cox6b2/Tnfrsf1b/Atxn2,75
Organismal Systems,Nervous system,mmu04723,Retrograde endocannabinoid signaling,41/568,107/6099,0.38317757009345793,4.11443661971831,10.414814338610075,2.6576365059092e-16,8.531013183968532e-15,8.140760244416603e-15,Ndufab1/Ndufa3/Ndufa5/Ndufa7/Ndufb1/Ndufs6/Ndufc1/Ndufa4/Ndufa1/Ndufb10/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Ndufb3/Cacna1d/Ndufa2/Ndufb8/Ndufa12/Ndufv2/Cnr1/Ndufc2/Ndufb6/Gng5/Ndufb9/Ndufs3/Ndufb5/Ndufa13/Plcb2/Ndufa8/Ndufb2/Ndufb7/Adcy7/Ndufb11/Ndufa11/Ndufs7/Gng11/Prkacb,41
