gene_id,gene_name,J_902,J_912,J_896,A,B,C,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000022018.8,Rgcc,1805,2243,2205,907,1131,871,1514.632247417042,1.4003922800787114,0.20317589949160964,5.005173642505165e-15,6.769497351488236e-11,Up
ENSMUSG00000001119.8,Col6a1,6353,6335,6496,17044,15527,19432,11496.618609474639,-0.8633340057112192,0.12300267485905385,5.247028129694507e-14,3.54830277270591e-10,Down
ENSMUSG00000020241.14,Col6a2,5119,6083,5608.999,15486,14492,17703,10552.220749266915,-0.9161139089229041,0.13238876212358278,1.0697372145701497e-13,4.822731942353757e-10,Down
ENSMUSG00000023067.15,Cdkn1a,3185,3270,2597,7290,6135,6075.999,4499.905413453825,-0.5506228686226636,0.09475306720776963,1.4731691366727069e-10,4.98115314337459e-7,Down
ENSMUSG00000004610.5,Etfb,7498.518,5230,4211.422,3903,3932.422,3569.098,4883.833601125933,0.9250803707633594,0.1773082925539184,2.546689405960842e-9,6.6325117984853815e-6,Up
ENSMUSG00000029499.12,Pxmp2,306,384,322,185,193,185,297.91180465976976,1.1098489095960102,0.2210270697252074,2.94233425441126e-9,6.6325117984853815e-6,Up
ENSMUSG00000002763.17,Pex6,807,779,698,635,629,548,752.6481513930589,0.752965196592776,0.1469134218983502,4.348303807124976e-9,7.128174155113498e-6,Up
ENSMUSG00000078919.11,Dpm1,1233.481,1212.83,1322.512,1178.397,1116.409,1004.512,1282.7723401486633,0.6412307743601905,0.12512735656950552,4.743332154973862e-9,7.128174155113498e-6,Up
ENSMUSG00000102692.2,Dchs2,39,42,29,178,208,460,125.97924293006871,-1.554456344909265,0.39174720588566325,4.5305544953148255e-9,7.128174155113498e-6,Down
ENSMUSG00000022982.11,Sod1,4617.992,3829.98,4279.959,3300.998,3284.995,3186.981,4033.6595760391206,0.7856288156472107,0.15816012811267546,9.748714464537634e-9,1.318513631328715e-5,Up
ENSMUSG00000030869.12,Ndufab1,6425.943,6490.837,6216.006,3519.978,4369.767,3747.925,5937.626473069115,1.0123247693786905,0.20872892649939923,1.0987432522023813e-8,1.3509547714579278e-5,Up
ENSMUSG00000025488.10,Cox8b,5608,4210,5661,1819,2767,2201,4239.224279712075,1.255191958499294,0.286407967428619,1.493250674757895e-8,1.6830179480083776e-5,Up
ENSMUSG00000036751.8,Cox6b1,16153,14043,12348,11557,12102,11795,13562.060403900588,0.6745067887226852,0.14442793761386605,4.5187028942799454e-8,4.7011889727027894e-5,Up
