category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Energy metabolism,mmu00190,Oxidative phosphorylation,78/674,112/5931,0.6964285714285714,6.128364773208986,19.617878818595273,5.510502281830435e-49,1.7743817347494002e-46,1.6299485696782658e-46,Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Ppa2/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Cox17/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Atp5mf/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Sdhd/Cox8a/Ndufa10/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ndufa11/Ndufb2/Sdhc/Ppa1/Cox6a1/Cycs/Cox11/Ndufv1/Atp5f1a/Sdhb/Ndufs8/Ndufa9,78
Organismal Systems,Environmental adaptation,mmu04714,Thermogenesis,92/674,193/5931,0.47668393782383417,4.19467720361003,16.155249579539674,5.810894235700778e-38,9.355539719478252e-36,8.59400673806273e-36,Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Cpt2/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Cox17/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Cox20/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Pnpla2/Ndufb5/Prkacb/Ndufs7/Atp5mf/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Sdhd/Slc25a20/Adrb3/Cox8a/Ndufa10/Atp5mc2/Cpt1b/Ndufb11/Ndufs2/Cyc1/Ndufa11/Coa6/Ndufb2/Cox16/Mgll/Sdhc/Cox19/Cox6a1/Cox11/Ndufv1/Atp5f1a/Prdm16/Sdhb/Ndufaf2/Ndufaf3/Ndufs8/Ndufa9/Cnr1/Prkg2/Cox14,92
Human Diseases,Cancer: overview,mmu05208,Chemical carcinogenesis - reactive oxygen species,88/674,191/5931,0.4607329842931937,4.054313545761026,15.362527103875063,7.5858201851166285e-35,8.142113665358514e-33,7.479352533395694e-33,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Vegfa/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Gstt1/Gstt2/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Sod2/Atp5pd/Map3k14/Ndufa8/Ndufb6/Sdhd/Ephx2/Cox8a/Ndufa10/Hgf/Atp5mc2/Cyp2e1/Ptpn1/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Mgst3/Ndufb2/Gsta4/Sdhc/Cox6a1/Cyp1b1/Ndufv1/Atp5f1a/Sdhb/Cat/Abl2/Vdac1/Ndufs8/Ndufa9/Prkd3,88
Human Diseases,Endocrine and metabolic disease,mmu04932,Non-alcoholic fatty liver disease,70/674,142/5931,0.49295774647887325,4.337881890751034,14.414569258682356,4.456808284753605e-30,3.5877306692266516e-28,3.2956924421467447e-28,Ndufab1/Cox8b/Cox6b1/Ndufa7/Nr1h3/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Ndufs3/Mlxipl/Uqcrb/Ndufc2/Cox7a2/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Ndufc1/Ndufb1/Uqcrq/Srebf1/Ndufb7/Ndufa13/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Ndufa8/Ndufb6/Sdhd/Cox8a/Ndufa10/Cyp2e1/Ndufb11/Ndufs2/Cyc1/Ndufa11/Ndufb2/Sdhc/Cox6a1/Cycs/Casp3/Ndufv1/Sdhb/Ndufs8/Ndufa9/Adipoq/Ern1,70
Human Diseases,Cardiovascular disease,mmu05415,Diabetic cardiomyopathy,79/674,180/5931,0.4388888888888889,3.862091988130564,13.961640886700117,1.7596223161120463e-29,1.133196771576158e-27,1.0409555175315474e-27,Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Cpt2/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Mpc2/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Mpc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Sdhd/Cox8a/Ndufa10/Atp5mc2/Cpt1b/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Pdhb/Ndufb2/Sdhc/Cox6a1/Slc2a4/Ndufv1/Atp5f1a/Sdhb/Plcb2/Vdac1/Ndufs8/Ndufa9,79
Human Diseases,Neurodegenerative disease,mmu05012,Parkinson disease,88/674,227/5931,0.3876651982378855,3.411338710309939,13.263852837787761,5.904355699217935e-28,3.168670891913625e-26,2.9107437745267365e-26,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Txn2/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Prkacb/Ndufs7/Maob/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Trp53/Ndufa8/Ndufb6/Sdhd/Mapt/Cox8a/Ndufa10/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Pink1/Lrrk2/Ndufb2/Sdhc/Cox6a1/Cycs/Sem1/Ubc/Casp3/Uba52/Ndufv1/Atp5f1a/Sdhb/Slc39a14/Vdac1/Ndufs8/Ndufa9/Mfn2/Ern1,88
Human Diseases,Neurodegenerative disease,mmu05016,Huntington disease,88/674,246/5931,0.35772357723577236,3.1478613302453495,12.319607303296877,5.267825916195115e-25,2.423199921449753e-23,2.2259535074448533e-23,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Sod2/Atp5pd/Trp53/Ndufa8/Ndufb6/Sdhd/Gpx3/Cox8a/Ndufa10/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Polr2l/Ndufb2/Sdhc/Polr2i/Cox6a1/Htt/Dnah8/Cycs/Sem1/Casp3/Ndufv1/Polr2k/Atp5f1a/Sdhb/Plcb2/Vdac1/Ndufs8/Taf4/Gria3/Ndufa9/Ern1,88
Human Diseases,Neurodegenerative disease,mmu05020,Prion disease,83/674,225/5931,0.3688888888888889,3.246112759643917,12.298304359989974,1.2116242115938803e-24,4.876787451665368e-23,4.479821098130005e-23,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Prkacb/Hspa1l/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Sdhd/Cox8a/Ndufa10/Csnk2b/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Hspa1a/Ndufb2/Sdhc/Cacna1c/Cacna1d/Cox6a1/Cycs/Sem1/Casp3/Ndufv1/Atp5f1a/Sdhb/Vdac1/Hspa1b/Ndufs8/Ndufa9,83
Organismal Systems,Nervous system,mmu04723,Retrograde endocannabinoid signaling,50/674,102/5931,0.49019607843137253,4.313580031419096,12.08617363009694,1.4516131809424197e-21,5.193549380705102e-20,4.7707988753780115e-20,Ndufab1/Ndufa7/Ndufa3/Ndufb3/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Ndufs3/Ndufc2/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Ndufc1/Ndufb1/Ndufb7/Ndufa13/Ndufb9/Ndufb5/Prkacb/Ndufs7/Ndufa12/Abhd6/Ndufa8/Ndufb6/Ndufa10/Ndufb11/Ndufs2/Ndufa11/Gng5/Gnao1/Ndufb2/Mgll/Cacna1c/Cacna1d/Ndufv1/Plcb2/Ndufs8/Gnb5/Gria3/Ndufa9/Cnr1,50
Human Diseases,Neurodegenerative disease,mmu05014,Amyotrophic lateral sclerosis,87/674,291/5931,0.29896907216494845,2.6308391201933374,10.214247326598201,9.212767768741742e-19,2.966511221534841e-17,2.725039729490979e-17,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Chchd10/Atp5pd/Trp53/Ndufa8/Ndufb6/Sdhd/Gpx3/Cox8a/Ndufa10/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ndufa11/Pink1/Ndufb2/Map1lc3a/Sdhc/Tomm40l/Cox6a1/Dnah8/Cycs/Ubqln4/Sem1/Casp3/Ndufv1/Atp5f1a/Atxn2l/Sdhb/Cat/Vdac1/Ndufs8/Ndufa9/Chmp2b/Ern1,87
