ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006959,humoral immune response,9/110,116/12672,0.07758620689655173,8.937931034482759,8.036798060305891,7.074355067035554e-7,0.0014856145640774663,0.0013605101797341008,Cxcl12/Jchain/C4b/Ccl22/Ccr7/C7/Ccl8/Il1b/Ccl5,9
GO:0019221,cytokine-mediated signaling pathway,14/110,429/12672,0.03263403263403263,3.759440559440559,5.440992888837297,1.9878376347045096e-5,0.017602586102964706,0.016120263062715048,Cxcl12/Ccl22/Ccr7/Ccl8/Tradd/Il17rc/Flt3/Il1b/Rela/Rbck1/Socs3/Cntfr/Ccl5/Crlf2,14
GO:0071621,granulocyte chemotaxis,7/110,108/12672,0.06481481481481481,7.466666666666666,6.3153988340196445,4.1574599999602864e-5,0.017602586102964706,0.016120263062715048,Ccl22/Ccr7/Ccl8/Il17rc/Il1b/Trpv4/Ccl5,7
GO:0030595,leukocyte chemotaxis,9/110,191/12672,0.04712041884816754,5.4282722513089015,5.770304068688084,4.164973118892317e-5,0.017602586102964706,0.016120263062715048,Cxcl12/Ccl22/Ninj1/Ccr7/Ccl8/Il17rc/Il1b/Trpv4/Ccl5,9
GO:0002675,positive regulation of acute inflammatory response,4/110,23/12672,0.17391304347826086,20.03478260869565,8.549803558655826,4.1910919292773114e-5,0.017602586102964706,0.016120263062715048,Cnr1/Ccr7/Il1b/Ccl5,4
GO:0097529,myeloid leukocyte migration,9/110,202/12672,0.04455445544554455,5.132673267326733,5.540461258519735,6.437557857923347e-5,0.021135052579557303,0.019355258678120896,Cxcl12/Ccl22/Ninj1/Ccr7/Ccl8/Il17rc/Il1b/Trpv4/Ccl5,9
GO:0060326,cell chemotaxis,10/110,260/12672,0.038461538461538464,4.430769230769231,5.23033722035003,8.610437609067893e-5,0.021135052579557303,0.019355258678120896,Cxcl12/Ccl22/Rhog/Ninj1/Ccr7/Ccl8/Il17rc/Il1b/Trpv4/Ccl5,10
GO:0031620,regulation of fever generation,3/110,11/12672,0.2727272727272727,31.418181818181814,9.444261054265448,9.98262062921698e-5,0.021135052579557303,0.019355258678120896,Cnr1/Il1b/Ccl5,3
GO:0031640,killing of cells of another organism,5/110,55/12672,0.09090909090909091,10.472727272727273,6.58795646431011,1.1077971620094113e-4,0.021135052579557303,0.019355258678120896,Cxcl12/Ccl22/Ninj1/C7/Ccl8,5
GO:0141061,disruption of cell in another organism,5/110,55/12672,0.09090909090909091,10.472727272727273,6.58795646431011,1.1077971620094113e-4,0.021135052579557303,0.019355258678120896,Cxcl12/Ccl22/Ninj1/C7/Ccl8,5
GO:0050727,regulation of inflammatory response,11/110,325/12672,0.033846153846153845,3.899076923076923,4.954423065084459,1.1841306138086344e-4,0.021135052579557303,0.019355258678120896,Ier3/Cnr1/Ninj1/Ccr7/Tradd/Il1b/Nr1h3/Trpv4/Rela/Socs3/Ccl5,11
GO:0001660,fever generation,3/110,12/12672,0.25,28.8,9.015523704446737,1.3226095354189175e-4,0.021135052579557303,0.019355258678120896,Cnr1/Il1b/Ccl5,3
GO:0141060,disruption of anatomical structure in another organism,5/110,58/12672,0.08620689655172414,9.931034482758621,6.379134265987236,1.429338786152969e-4,0.021135052579557303,0.019355258678120896,Cxcl12/Ccl22/Ninj1/C7/Ccl8,5
GO:0097530,granulocyte migration,7/110,132/12672,0.05303030303030303,6.109090909090909,5.521463699483898,1.4819520462900962e-4,0.021135052579557303,0.019355258678120896,Ccl22/Ccr7/Ccl8/Il17rc/Il1b/Trpv4/Ccl5,7
GO:0019730,antimicrobial humoral response,5/110,60/12672,0.08333333333333333,9.6,6.248193761538999,1.6803762775158387e-4,0.021135052579557303,0.019355258678120896,Cxcl12/Jchain/Ccl22/Ccl8/Ccl5,5
GO:0031652,positive regulation of heat generation,3/110,13/12672,0.23076923076923078,26.584615384615386,8.636211354398718,1.708536911936231e-4,0.021135052579557303,0.019355258678120896,Cnr1/Il1b/Ccl5,3
GO:0006953,acute-phase response,4/110,33/12672,0.12121212121212122,13.963636363636363,6.977500027572716,1.8115759353906259e-4,0.021135052579557303,0.019355258678120896,Cnr1/Cd163/Il1b/Ccl5,4
