category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,mmu04060,Cytokine-cytokine receptor interaction,11/60,173/5931,0.06358381502890173,6.285260115606936,7.131822390874907,9.374537152330869e-7,1.6217949273532404e-4,1.3815107382382334e-4,Cxcl12/Ccl22/Ltb/Ccr7/Ccl8/Il17rc/Il1b/Cntfr/Tnfsf13/Ccl5/Crlf2,11
Human Diseases,Infectious disease: viral,mmu05162,Measles,8/60,115/5931,0.06956521739130435,6.876521739130435,6.43285852147366,1.7278788792288078e-5,0.0014946152305329188,0.0012731739110107007,Ccnd3/Cd209b/Cd209a/Bbc3/Tradd/Il1b/Rela/Cd209d,8
Human Diseases,Immune disease,mmu05323,Rheumatoid arthritis,6/60,68/5931,0.08823529411764706,8.722058823529412,6.474027599655955,5.5897859891524945e-5,0.003223443253744605,0.0027458597841450855,Cxcl12/Ltb/Atp6v0c/Il1b/Tnfsf13/Ccl5,6
Genetic Information Processing,Information processing in viruses,mmu03265,"Virion - Ebolavirus, Lyssavirus and Morbillivirus",3/60,11/5931,0.2727272727272727,26.959090909090907,8.711077955181443,1.5333311931966384e-4,0.006631657410575461,0.005649114922303405,Cd209b/Cd209a/Cd209d,3
Human Diseases,Infectious disease: viral,mmu05164,Influenza A,7/60,130/5931,0.05384615384615385,5.322692307692308,5.037574690586388,3.0374496799126413e-4,0.01003973029080063,0.008552249715315414,Ccnd3/Tpsb2/Tradd/Il1b/Rela/Socs3/Ccl5,7
Organismal Systems,Immune system,mmu04625,C-type lectin receptor signaling pathway,6/60,96/5931,0.0625,6.178125,5.170525068911163,3.802888310578415e-4,0.01003973029080063,0.008552249715315414,Cd209b/Ccl22/Cd209a/Il1b/Rela/Cd209d,6
Environmental Information Processing,Signaling molecules and interaction,mmu04061,Viral protein interaction with cytokine and cytokine receptor,5/60,65/5931,0.07692307692307693,7.603846153846154,5.411647846271376,4.642649845456939e-4,0.01003973029080063,0.008552249715315414,Cxcl12/Ccl22/Ccr7/Ccl8/Ccl5,5
Organismal Systems,Immune system,mmu04657,IL-17 signaling pathway,5/60,65/5931,0.07692307692307693,7.603846153846154,5.411647846271376,4.642649845456939e-4,0.01003973029080063,0.008552249715315414,Tradd/Il17rc/Il1b/Rela/Jund,5
Human Diseases,Infectious disease: bacterial,mmu05152,Tuberculosis,7/60,144/5931,0.04861111111111111,4.805208333333334,4.67282886241104,5.65783738723589e-4,0.010469305983330771,0.008918179724163722,Cd209b/Cd209a/Tradd/Atp6v0c/Il1b/Rela/Cd209d,7
Genetic Information Processing,Information processing in viruses,mmu03273,Virion - Lassa virus and SFTS virus,3/60,17/5931,0.17647058823529413,17.444117647058825,6.863431561662027,6.051621955682526e-4,0.010469305983330771,0.008918179724163722,Cd209b/Cd209a/Cd209d,3
Environmental Information Processing,Signal transduction,mmu04668,TNF signaling pathway,6/60,107/5931,0.056074766355140186,5.5429906542056075,4.793690389243813,6.802679983447246e-4,0.010698760337603396,0.009113638255336025,Junb/Tradd/Il1b/Rela/Socs3/Ccl5,6
Organismal Systems,Immune system,mmu04062,Chemokine signaling pathway,7/60,161/5931,0.043478260869565216,4.297826086956522,4.288443693364101,0.0010982490634002065,0.015833090664019642,0.01348726919965166,Cxcl12/Ccl22/Ccr7/Ccl8/Rela/Gnb2/Ccl5,7
Environmental Information Processing,Signal transduction,mmu04064,NF-kappa B signaling pathway,5/60,93/5931,0.053763440860215055,5.314516129032258,4.239244422974864,0.0023540283949112254,0.031326685563049385,0.026685342128548308,Cxcl12/Ltb/Tradd/Il1b/Rela,5
Human Diseases,Cancer: specific types,mmu05221,Acute myeloid leukemia,4/60,61/5931,0.06557377049180328,6.481967213114754,4.350400421517209,0.0032134017516353753,0.03970846450235142,0.03382528159616185,Flt3/Rela/Per2/Eif4ebp1,4
Organismal Systems,Endocrine system,mmu04920,Adipocytokine signaling pathway,4/60,63/5931,0.06349206349206349,6.276190476190476,4.255911804632727,0.0036132843824973897,0.04167321321146989,0.03549893428418488,Tradd/Rela/Acsbg3/Socs3,4
Organismal Systems,Environmental adaptation,mmu04710,Circadian rhythm,3/60,32/5931,0.09375,9.2671875,4.740132813421335,0.003963272631622692,0.04184055092179096,0.035641479337089964,Dbp/Per3/Per2,3
Human Diseases,Infectious disease: viral,mmu05163,Human cytomegalovirus infection,7/60,203/5931,0.034482758620689655,3.4086206896551725,3.5298955807795767,0.004111499223528592,0.04184055092179096,0.035641479337089964,Cxcl12/Tradd/Il1b/Rela/Gnb2/Ccl5/Eif4ebp1,7
Human Diseases,Endocrine and metabolic disease,mmu04936,Alcoholic liver disease,5/60,111/5931,0.04504504504504504,4.452702702702703,3.7119841530748756,0.005055025841533517,0.04858441503251658,0.04138617648039137,C4b/Tradd/Il17rc/Il1b/Rela,5
