gene_id,gene_name,log2FoldChange,padj,sig (padj<=0.05 & |log2FC|>=0.263),Category
ENSMUSG00000025158.8,Rfng,0.3053343500192411,0.06333772973848872,NS,Neg_Regulators
ENSMUSG00000061143.16,Maml3,-0.3012035360762104,0.06463698737305422,NS,Core_Complex
ENSMUSG00000022528.9,Hes1,0.2911081949396553,0.07440019198911833,NS,Target_Genes
ENSMUSG00000023067.15,Cdkn1a,-0.21774557254865307,0.08642963045771412,NS,Target_Genes
ENSMUSG00000029570.6,Lfng,0.2589164497579121,0.10527348922430506,NS,Neg_Regulators
ENSMUSG00000028086.16,Fbxw7,-0.25864097719438256,0.10597217963127924,NS,Neg_Regulators
ENSMUSG00000018169.13,Mfng,0.25259943411566976,0.12180288489740483,NS,Neg_Regulators
ENSMUSG00000067071.9,Hes6,0.20314639976532187,0.2177690873428074,NS,Target_Genes
ENSMUSG00000027314.7,Dll4,-0.13771296927440488,0.3854653528589672,NS,Ligands
ENSMUSG00000021224.16,Numb,-0.133987699033272,0.38982052121225047,NS,Neg_Regulators
ENSMUSG00000063160.13,Numbl,0.1322557902994473,0.43090860026294003,NS,Neg_Regulators
ENSMUSG00000055024.13,Ep300,-0.12859240809897715,0.4359777209538276,NS,Core_Complex
ENSMUSG00000022346.18,Myc,0.1387962924596162,0.436417374039627,NS,Target_Genes
ENSMUSG00000027276.8,Jag1,0.10526944741155966,0.5780766469803483,NS,Ligands
ENSMUSG00000026923.16,Notch1,0.09537381255359624,0.5902232373322227,NS,Receptors
ENSMUSG00000032744.5,Heyl,-0.10184796204792848,0.5902232373322227,NS,Target_Genes
ENSMUSG00000027598.17,Itch,-0.10087937436616987,0.5940805822509103,NS,Neg_Regulators
ENSMUSG00000040289.9,Hey1,0.0787226164200619,0.6597950894517929,NS,Target_Genes
ENSMUSG00000015468.15,Notch4,-0.04523294275745491,0.8242323862359889,NS,Receptors
ENSMUSG00000078202.4,Nrarp,-0.04181459420880136,0.8316933438599352,NS,Target_Genes
ENSMUSG00000070348.6,Ccnd1,-0.037957819629043654,0.8560799638371135,NS,Target_Genes
ENSMUSG00000027878.12,Notch2,-0.03560826337845867,0.8633244639960796,NS,Receptors
ENSMUSG00000002799.7,Jag2,-0.03686331789262945,0.8684096545528953,NS,Ligands
ENSMUSG00000039191.13,Rbpj,0.031571345557903134,0.8945694416478932,NS,Core_Complex
ENSMUSG00000014773.14,Dll1,0.029151445490477535,0.8998610483133807,NS,Ligands
ENSMUSG00000031925.18,Maml2,-0.02470237158559099,0.9187339552386447,NS,Core_Complex
ENSMUSG00000050567.17,Maml1,-0.019039303649317777,0.9307603401260074,NS,Core_Complex
ENSMUSG00000028800.16,Hdac1,0.019005106853503775,0.9338506342911553,NS,Core_Complex
ENSMUSG00000038146.9,Notch3,0.00488179758369679,0.9868976524265327,NS,Receptors
ENSMUSG00000019777.17,Hdac2,5.831075757813899e-4,0.9991873950139958,NS,Core_Complex
ENSMUSG00000019789.10,Hey2,0.1425154664886445,NA,NS,Target_Genes
