ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GOBP_MITOTIC_CELL_CYCLE_PROCESS,GOBP_MITOTIC_CELL_CYCLE_PROCESS,66/212,320/2106,0.20625,2.0488797169811317,6.814969904554712,3.8173654305065767e-10,1.515494075911111e-7,1.4546171429930325e-7,12575/68097/12236/12190/12235/18973/70799/17219/12449/110033/233406/16600/12571/215387/21877/12021/20460/68743/73804/16551/20877/108000/12447/218977/18005/12428/209737/70218/108907/19348/18817/68298/76464/12442/17865/52276/192176/12189/107995/208628/17279/26934/72119/17215/67052/12615/17345/16571/12577/56438/16881/21335/15937/54141/16412/105988/19090/71819/14211/20135/74370/24075/12534/27401/12578/20336,66
GOBP_MITOTIC_CELL_CYCLE,GOBP_MITOTIC_CELL_CYCLE,70/212,373/2106,0.1876675603217158,1.8642824624411958,6.154812517644234,8.248443486999412e-9,1.6373160321693832e-6,1.5715455485756774e-6,12575/68097/12236/15234/12190/12235/18973/70799/17219/12449/110033/233406/16600/12571/15205/215387/21877/12021/20460/68743/73804/16551/20877/14451/108000/12447/218977/18005/12428/209737/70218/108907/19348/18817/68298/76464/12442/17865/52276/192176/12189/107995/208628/17279/26934/72119/17215/67052/12615/17345/16571/12577/56438/16881/21335/15937/54141/16412/105988/19090/71819/108961/14211/20135/74370/24075/12534/27401/12578/20336,70
GOBP_CELL_CYCLE_PROCESS,GOBP_CELL_CYCLE_PROCESS,77/212,468/2106,0.16452991452991453,1.634433962264151,5.205427408303028,5.453471041461378e-7,7.216760011533891e-5,6.92686497196147e-5,12575/68097/12236/12190/12235/18973/70799/17219/12449/110033/233406/16600/12571/215387/21877/12021/20460/68743/73804/16551/20877/108000/12447/218977/18005/12428/209737/70218/108907/19348/18817/68298/17886/76464/12442/17865/52276/12034/107503/192176/12189/56419/107995/26403/208628/17279/26934/21973/72119/17215/67052/12615/17345/16571/12577/56438/16881/21335/15937/54141/30939/16412/105988/19090/71819/22427/12125/108961/14211/20135/18286/74370/24075/12534/27401/12578/20336,77
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,39/212,193/2106,0.20207253886010362,2.0073809756574446,4.911553823828753,6.344234431594332e-6,6.296652673357375e-4,6.04371806378197e-4,12575/68097/12236/12235/18973/12449/16600/12571/12021/20460/68743/20877/108000/12447/218977/18005/12428/18817/76464/12442/52276/12189/107995/208628/17279/67052/12577/56438/21335/15937/16412/105988/19090/20135/74370/24075/12534/27401/12578,39
GOBP_CELL_CYCLE_PHASE_TRANSITION,GOBP_CELL_CYCLE_PHASE_TRANSITION,42/212,229/2106,0.18340611353711792,1.8219494108923129,4.406915128161601,3.4593427443085314e-5,0.0027467181389809743,0.0026363833125046072,12575/68097/12236/12190/12235/18973/12449/16600/12571/12021/20460/68743/20877/108000/12447/218977/18005/12428/18817/76464/12442/52276/107503/12189/107995/26403/208628/17279/67052/12577/56438/21335/15937/16412/105988/19090/20135/74370/24075/12534/27401/12578,42
GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING,GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING,17/212,65/2106,0.26153846153846155,2.5981132075471702,4.377707191943788,1.3610841371463454e-4,0.009005840040784986,0.008644078204332932,12575/68097/12236/12235/12021/20877/108000/18817/76464/52276/12189/107995/208628/67052/15937/19090/12534,17
GOBP_REGULATION_OF_CELL_CYCLE_PROCESS,GOBP_REGULATION_OF_CELL_CYCLE_PROCESS,47/212,289/2106,0.16262975778546712,1.6155578768688383,3.7682902269364558,2.6436075336243976e-4,0.014993031297841226,0.01439076582213582,12575/68097/12236/12190/12235/12449/233406/16600/215387/12021/20460/68743/73804/16551/20877/108000/12447/218977/18005/108907/19348/18817/68298/76464/52276/107503/12189/107995/208628/26934/72119/67052/17345/12577/56438/21335/15937/54141/105988/19090/71819/108961/14211/20135/74370/12534/12578,47
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS,GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS,23/212,110/2106,0.20909090909090908,2.0771012006861063,3.8812943256640353,3.71810641053842e-4,0.018451103062296907,0.017709927902827736,68097/12235/215387/20460/20877/12447/218977/108907/18817/68298/76464/52276/107995/26934/67052/54141/105988/71819/108961/14211/20135/74370/12534,23
GOBP_REGULATION_OF_CELL_CYCLE_CHECKPOINT,GOBP_REGULATION_OF_CELL_CYCLE_CHECKPOINT,9/212,25/2106,0.36,3.5762264150943395,4.3343301250413,4.3497814816066146e-4,0.01918736942442029,0.018416618670661924,68097/12190/12021/20877/76464/52276/12189/67052/56438,9
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING,GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING,19/212,86/2106,0.22093023255813954,2.19471259324265,3.783911546139527,5.981631560409036e-4,0.023174652125929698,0.0222437334471339,12575/68097/12236/12190/12235/12021/20877/108000/18817/76464/52276/12189/107995/208628/67052/56438/15937/19090/12534,19
