ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005819,spindle,52/523,406/13250,0.12807881773399016,3.24482664431237,9.312687915151225,4.2398200946022656e-14,2.009674724841474e-11,1.7494836600885138e-11,Kif14/Bub1b/Hmmr/Spdl1/Ckap2l/Kif22/Cep295/Prc1/Knstrn/Eml4/Capn6/Kif2c/Kif11/Aurkb/Shcbp1/Cenpf/Aspm/Dlgap5/Nek2/Kif15/Kif18b/Cd180/Nusap1/Kif20a/Plk1/Myh9/Kifc1/Atm/Ino80/Cntrl/Ccsap/Cdca8/Ckap2/Diaph3/Cdc20/Kntc1/Racgap1/Tpx2/Irag2/Arhgef7/Ska3/Tacc3/Spag5/Espl1/Kif23/Luzp1/Nsl1/Kif18a/Odf2/Ptpn7/Ccnb1/Cdk1,52
GO:0000775,"chromosome, centromeric region",35/523,234/13250,0.14957264957264957,3.7893644490202805,8.726775276992432,9.053765666342437e-12,2.1457424629231577e-9,1.8679348111611766e-9,Bub1b/Bub1/Spdl1/Dnmt1/Knstrn/Cenpi/Kif2c/Aurkb/Ncapg/Cenpf/Nek2/Zwilch/Ikzf1/Plk1/Ncapd2/Cenph/Knl1/Nuf2/Cdca8/Cdc20/Nup107/Kntc1/Top2a/Ndc80/Cenpa/Mki67/Ska3/Spag5/Ercc6l/Wdhd1/Cenpp/Luzp1/Nsl1/Kif18a/Ccnb1,35
GO:0072686,mitotic spindle,30/523,179/13250,0.16759776536312848,4.246023692278111,8.863457486387746,1.5637648491769918e-11,2.470748461699647e-9,2.1508625293943186e-9,Ckap2l/Kif22/Cep295/Prc1/Knstrn/Eml4/Kif11/Aurkb/Aspm/Dlgap5/Kif18b/Cd180/Nusap1/Kif20a/Plk1/Kifc1/Cntrl/Ccsap/Ckap2/Racgap1/Tpx2/Arhgef7/Ska3/Tacc3/Spag5/Espl1/Kif23/Kif18a/Ptpn7/Cdk1,30
GO:0098687,chromosomal region,42/523,335/13250,0.1253731343283582,3.1762792157758053,8.178415767910927,2.7119367260221843e-11,3.2136450203362883e-9,2.797576833159727e-9,Bub1b/Brca2/Bub1/Spdl1/Dnmt1/Knstrn/Cenpi/Kif2c/Aurkb/Slx4/Ncapg/Cenpf/Nek2/Zwilch/Ikzf1/Plk1/Atf7/Ncapd2/Cenph/Dna2/Knl1/Atm/Nuf2/Cdca8/Cdc20/Nup107/Kntc1/Top2a/Ndc80/Cenpa/Mki67/Pif1/Ska3/Spag5/Ercc6l/Wdhd1/Cenpp/Luzp1/Wrn/Nsl1/Kif18a/Ccnb1,42
GO:0000793,condensed chromosome,35/523,252/13250,0.1388888888888889,3.5186955598045464,8.183084825087944,7.629217751141493e-11,7.232498428082136e-9,6.2961123335736125e-9,Bub1b/Brca2/Bub1/Spdl1/Knstrn/Ncaph/Cenpi/Kif2c/Aurkb/Ncapg/Cenpf/Nek2/Zwilch/Plk1/Ncapd2/Cenph/Knl1/Fancd2/Nuf2/Brca1/Cdc20/Nup107/Kntc1/Top2a/Ndc80/Cenpa/Mki67/Ska3/Spag5/Ercc6l/Cenpp/Nsl1/Smc2/Kif18a/Ccnb1,35
GO:0005874,microtubule,46/523,406/13250,0.11330049261083744,2.8704235699686347,7.759472661460932,9.877797134816522e-11,7.803459736505052e-9,6.7931517137685565e-9,Kif14/Mid1/Mtcl2/Kif22/Cep295/Prc1/Knstrn/Eml4/Dync2h1/Capn6/Gtse1/Kif2c/Kif11/Aurkb/Kif21b/Aspm/Nek2/Kif15/Kif18b/Nusap1/Kif20a/Plk1/Kifc1/Ino80/Ccsap/Rassf5/Ckap2/Akna/Map3k11/Kntc1/Tpx2/Kif4/Kif9/Cep57l1/Ska3/Spag5/Iqgap1/Kif23/Luzp1/Bcl2l11/Gramd2b/Kif18a/Odf2/Hook3/Cdk1/Macf1,46
GO:0000779,"condensed chromosome, centromeric region",28/523,172/13250,0.16279069767441862,4.12423851660812,8.360208555587713,1.5260356818372063e-10,9.201246927284907e-9,8.009968455464543e-9,Bub1b/Bub1/Spdl1/Knstrn/Cenpi/Kif2c/Aurkb/Ncapg/Cenpf/Nek2/Zwilch/Plk1/Ncapd2/Cenph/Knl1/Nuf2/Cdc20/Nup107/Kntc1/Ndc80/Cenpa/Ska3/Spag5/Ercc6l/Cenpp/Nsl1/Kif18a/Ccnb1,28
GO:0000940,outer kinetochore,11/523,22/13250,0.5,12.667304015296367,11.10233005673637,1.5529530678961866e-10,9.201246927284907e-9,8.009968455464543e-9,Bub1b/Bub1/Spdl1/Cenpf/Plk1/Knl1/Nuf2/Ndc80/Ska3/Nsl1/Ccnb1,11
GO:0000922,spindle pole,26/523,173/13250,0.15028901734104047,3.8075133456382146,7.534773323283491,4.058984233745524e-9,2.137731696439309e-7,1.8609611925476552e-7,Spdl1/Ckap2l/Prc1/Knstrn/Kif11/Aurkb/Cenpf/Aspm/Dlgap5/Nek2/Kif15/Plk1/Kifc1/Cntrl/Ckap2/Diaph3/Cdc20/Kntc1/Tpx2/Irag2/Arhgef7/Tacc3/Spag5/Nsl1/Odf2/Ccnb1,26
GO:0000776,kinetochore,25/523,162/13250,0.15432098765432098,3.9096617331161623,7.553404435044752,4.648660689950041e-9,2.2034651670363194e-7,1.9181842004846486e-7,Bub1b/Bub1/Spdl1/Knstrn/Cenpi/Kif2c/Aurkb/Cenpf/Nek2/Zwilch/Plk1/Cenph/Knl1/Nuf2/Cdc20/Nup107/Kntc1/Ndc80/Ska3/Spag5/Ercc6l/Cenpp/Nsl1/Kif18a/Ccnb1,25
GO:0030496,midbody,26/523,198/13250,0.13131313131313133,3.3267667110879353,6.686922298220186,7.005078738283781e-8,3.018552110860466e-6,2.62774245493516e-6,Kif14/Mtcl2/Prc1/Eml4/Anln/Aurkb/Shcbp1/Cenpf/Aspm/Nek2/Kif20a/Plk1/Syne1/Cntrl/Exoc1/Cdca8/Racgap1/Cep55/Kif4/Spag5/Iqgap1/Kif23/Luzp1/Usp3/Cdk1/Exoc4,26
