ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,186,0.4979925999085052,2.048508504964994,1.2078785090553853e-9,6.039392545276927e-8,3.5600629740579785e-8,3161,"tags=43%, list=24%, signal=33%",15937/18081/16477/240672/16176/19697/12702/20304/211770/15205/15936/230734/12051/16600/21664/14373/56708/16598/21847/12226/22695/14528/13655/14221/15939/14281/56722/20310/18124/11852/20971/13660/19698/21950/22151/14825/17119/17133/12227/20303/106869/18024/12778/16362/20893/13653/20527/20311/20918/13197/17872/14063/18227/12608/17869/227659/50723/17681/192656/16835/14282/16169/16323/21354/20698/55991/57783/16476/13614/384783/18787/16449/19225/22029/12609/14066/14584/65112/21926/19252
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,77,0.5969282291658157,2.153747030210498,7.845219458879496e-8,1.9613048647198743e-6,1.1561376044664522e-6,2913,"tags=43%, list=22%, signal=34%",16994/16176/12702/12804/57914/21937/16188/15368/18712/55985/56744/12703/17000/20310/12982/16178/14825/50498/12018/16362/23897/17874/19246/12768/16169/54635/16196/20848/16172/21803/11482/20306/16476
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,47,0.6568916036129384,2.16499427085111,5.493560127047191e-7,9.155933545078653e-6,5.397181879204258e-6,1748,"tags=38%, list=13%, signal=33%",14778/16477/14325/22166/216161/18477/625249/76650/110854/11758/11927/109815/21672/12581/13871/14159/56615/20655
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,146,0.48216052790833347,1.9082760048961631,1.2703148847710928e-6,1.587893605963866e-5,9.360214940418581e-6,2525,"tags=39%, list=19%, signal=32%",76025/18971/59022/13135/66162/79059/14923/69745/24075/50773/11821/21357/56334/625249/20016/66420/13716/268395/20018/110074/21341/27632/69241/69020/18102/70239/107939/66679/56520/58202/21681/67710/19891/13871/23918/69833/69870/57813/13870/19361/66653/245841/66914/56436/20021/194309/68969/74167/72151/67967/22059/236733/18969/15452/12856/66464/27369
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,141,0.4604922453927034,1.8175885719593368,5.714166610676447e-6,5.7141666106764474e-5,3.368350844188222e-5,2778,"tags=33%, list=21%, signal=27%",12445/14778/232910/16477/15270/113868/20751/12349/15368/110213/18391/12226/14528/103963/66144/66168/17308/15587/14281/56437/73340/11852/216869/59001/13350/17701/14825/56177/12227/12018/245841/16362/22117/20364/20887/14991/59045/12579/14282/14228/14411/74325/21354/12122/13559/59041/20182
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,183,0.4285965662088634,1.7542355401320298,7.261722285027403e-6,6.0514352375228365e-5,3.567161824223987e-5,2920,"tags=36%, list=22%, signal=28%",12445/15937/18081/17988/170742/20194/67880/15368/12028/12578/12703/16600/12226/14694/55948/15939/17347/14281/319162/56437/27280/19124/19730/15254/107939/71839/66383/29858/21950/16324/235320/232440/17119/12227/12018/65972/192231/217344/224624/108100/12795/17254/12520/15183/13197/17872/14149/231712/68098/22032/22059/68428/12579/23853/70186/18590/19367/114714/21354/20698/53619/21803/22320/16476/15468
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,155,0.44223806007306454,1.7665355317027198,1.0342447956629102e-5,7.387462826163645e-5,4.354714929106991e-5,2989,"tags=32%, list=22%, signal=25%",233016/18081/55942/71093/109672/21937/11522/19171/12349/67880/17750/15368/110213/110172/20498/14528/22235/64292/13202/55927/29858/330817/14114/19662/20514/13106/56351/66054/67103/14872/51793/110351/53328/18984/68943/22361/20733/19015/14873/15452/14411/269378/12846/11529/14854/12583/69071/18787/50500
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,198,-0.4175568923539404,-1.7220163278230662,2.922382276035721e-5,1.8264889225223256e-4,1.07666715432895e-4,2599,"tags=31%, list=19%, signal=26%",192786/223435/56427/12190/20740/71704/74018/226407/26920/17886/13383/72333/24061/232314/232533/211673/226525/217232/214444/269587/72416/236266/13006/17973/108686/18003/237860/17974/381921/16798/18080/56430/18015/54126/11789/78757/75786/56376/110380/18472/22330/286940/16573/71602/70799/228012/69632/75547/77579/13518/226751/217944/76707/20662/11855/233276/12488/18536/227800/16561/17318/320191
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,140,-0.4413903184464676,-1.7269424917773952,1.0258866762474355e-4,5.699370423596864e-4,3.3596288812781514e-4,1564,"tags=31%, list=12%, signal=27%",69562/12832/21813/217692/11990/12825/13548/16011/68055/71175/18750/67972/99633/18186/56376/207615/69219/545156/252875/106583/57810/67252/23797/381290/20238/17389/11480/64009/213109/234515/18710/17755/226751/21872/16367/22589/236915/14815/226519/110593/11787/12166/16531
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,162,0.4092084623204342,1.6570249860249107,1.3431532107122717e-4,6.715766053561359e-4,3.9587673578888005e-4,2511,"tags=27%, list=19%, signal=22%",20315/233016/22403/17229/16625/12709/20716/12349/67880/13603/72169/16600/53314/22695/56017/22433/22235/13655/55948/56488/14281/64292/26941/69724/19218/12017/56177/22393/232174/14229/15360/22117/20520/217837/17300/63959/13731/74246/57444/110826/14228/15452/98952/11898
