ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
mmu04820,Cytoskeleton in muscle cells,211,-0.51367446202977185,-2.0884276600711664,1e-10,3.28e-8,2.631578947368421e-8,2688,"tags=41%, list=20%, signal=33%",Lmod1/Myh8/Tmod3/Agrn/Itga6/Synpo2/Sptan1/Tpm1/Col6a3/Ldb3/Myh9/Thbs3/Fbn2/Eno3/Myom1/Tln2/Tmod4/Mybpc1/Col11a1/Mypn/Tmod1/Syne3/Nrap/Itga2/Col5a3/Nebl/Myom2/Ank3/Itga4/Tnnt3/Myh1/Dtna/Itga8/Myot/Col5a2/Pdlim3/Myoz3/Col3a1/Itgav/Atp1a2/Pdlim5/Vcl/Tpm2/Sntb2/Atp1b2/Myl1/Myh15/Myh4/Diaph2/Itga10/Mybpc2/Xirp2/Sspn/Capn3/Syne1/Myh10/Itgb1/Ampd1/Col6a2/Fbn1/Sgcb/Dag1/3425401B19Rik/Mylpf/Capza2/Actc1/Col4a1/Col6a1/Lama2/Neb/Col4a2/Daam2/Nid1/Fmnl3/Trim55/Itgb6/Itga1/Sgcd/Lmod3/Atp1b4/Vcan/Sgcg/Ttn/Daam1/Dmd/Ank2
mmu05410,Hypertrophic cardiomyopathy,84,-0.5722659350489578,-2.052879182156702,6.735317228143187e-7,1.1045920254154827e-4,8.86225951071472e-5,1688,"tags=32%, list=13%, signal=28%",Nos1/Itga4/Dtna/Itga8/Prkab2/Itgav/Prkaa1/Cacna2d4/Tpm2/Sntb2/Itga10/Sspn/Slc8a1/Itgb1/Tgfb2/Sgcb/Dag1/Actc1/Lama2/Cacna2d1/Prkaa2/Itgb6/Itga1/Sgcd/Sgcg/Ttn/Dmd
mmu05414,Dilated cardiomyopathy,86,-0.560382479984298,-2.0128422501051015,1.7714996645585225e-6,1.936839633250651e-4,1.5539470741741428e-4,2804,"tags=40%, list=21%, signal=31%",Atp2a1/Cacna1s/Cacna1c/Itga6/Tpm1/Adcy1/Adcy2/Itga2/Adcy9/Prkacb/Nos1/Itga4/Dtna/Itga8/Itgav/Cacna2d4/Tpm2/Sntb2/Itga10/Sspn/Slc8a1/Itgb1/Tgfb2/Sgcb/Dag1/Actc1/Lama2/Cacna2d1/Itgb6/Itga1/Sgcd/Sgcg/Ttn/Dmd
mmu04512,ECM-receptor interaction,67,-0.5780426659238268,-1.9824876310096693,4.262307337299498e-6,3.495092016585588e-4,2.8041495640128276e-4,3170,"tags=49%, list=24%, signal=38%",Col4a5/Col1a1/Tnc/Col1a2/Dmp1/Col6a6/Agrn/Itga6/Col6a3/Thbs3/Tnn/Itga2/Npnt/Frem1/Itga4/Itga8/Itgav/Lama3/Itga10/Itgb1/Col6a2/Dag1/Frem2/Col4a1/Col6a1/Lama2/Lamb1/Col4a2/Lama4/Lamc1/Fras1/Itgb6/Itga1
mmu05322,Systemic lupus erythematosus,55,0.599336336982062,2.0168136954735494,9.241161132966125e-6,5.367976046486569e-4,4.30678437619269e-4,3167,"tags=53%, list=24%, signal=40%",C4b/C7/H2ax/C1qa/C6/H2az2/H2-DMa/Macroh2a1/H2ac25/C1qc/Snrpb/H3c14/H2-Ab1/C1qb/H2aj/H3f3b/H3c15/H2az1/H2bc4/H2-Eb1/H2-DMb1/C2/C3/H2ac18/Actn4/H3f3a/Snrpd1/Tnf/H2ac19
mmu05412,Arrhythmogenic right ventricular cardiomyopathy,68,-0.5731653811437739,-1.9791107145244278,9.819468377719334e-6,5.367976046486569e-4,4.30678437619269e-4,1688,"tags=31%, list=13%, signal=27%",Nos1/Itga4/Dtna/Itga8/Itgav/Cacna2d4/Sntb2/Itga10/Sspn/Slc8a1/Itgb1/Sgcb/Dag1/Ctnna3/Lama2/Cacna2d1/Itgb6/Itga1/Sgcd/Sgcg/Dmd
mmu05164,Influenza A,130,0.44744302011365755,1.7461065082076246,3.1160073468673e-5,0.0014600720139606776,0.0011714313334087593,2494,"tags=28%, list=19%, signal=23%",Ccnd3/Tpsb2/Tradd/Il1b/Rela/Socs3/Ccl5/Tnfrsf1a/Bax/Cdk4/Tpsab1/Prkcb/Cpsf4/H2-DMa/Mapk3/Nxt1/Rnasel/Map2k2/Rae1/H2-Ab1/Akt1/Bak1/Pik3cd/Nfkbib/Actb/Il33/Irf3/Fadd/Rab11a/Akt2/Myd88/H2-Eb1/Actg1/Ticam1/H2-DMb1/Nlrx1
mmu04060,Cytokine-cytokine receptor interaction,173,0.41393698989022,1.683439870804234,7.34794829968468e-5,0.0030126588028707188,0.002417088256475224,2879,"tags=35%, list=22%, signal=28%",Cxcl12/Ccl22/Ltb/Ccr7/Ccl8/Il17rc/Il1b/Cntfr/Tnfsf13/Ccl5/Crlf2/Tnfrsf1a/Gdf10/Il11ra1/Osm/Tnfsf12/Il3ra/Cxcl13/Pf4/Clcf1/Tnfrsf4/Ltbr/Gdf1/Cxcr6/Il1rl1/Cxcl2/Ccl6/Csf2ra/Tnfsf9/Inhbb/Il1r2/Cxcl1/Ebi3/Ccl4/Tnfrsf11b/Ccl21a/Amhr2/Tnfrsf25/Il33/Ackr3/Bmp4/Cxcl5/Ccl11/Tslp/Cx3cl1/Ccr1/Il15ra/Ccl9/Inhba/Lep/Il21r/Ccl12/Il7/Cxcl14/Il17ra/Cd4/Il17d/Tgfb1/Ccl24/Acvrl1/Ccl7
mmu04623,Cytosolic DNA-sensing pathway,65,0.5251838447726191,1.8300297068824507,1.1532106174610765e-4,0.004202812028080367,0.00337196086976923,1811,"tags=28%, list=14%, signal=24%",Il1b/Rela/Ccl5/Pcbp1/Polr1c/Polr2e/Polr3h/Polr1d/Trex1/Polr2l/Ccl4/Polr2f/Polr3gl/Nfkbib/Il33/Polr2h/Irf3/Fadd
mmu00480,Glutathione metabolism,50,0.564510661604332,1.8578507328739264,2.0498058629870585e-4,0.00611214839145232,0.004903841777481001,3128,"tags=50%, list=23%, signal=38%",Gpx3/Srm/Ggt5/Ggt7/Gstt1/Gpx4/Prdx6/Gpx1/Gstp1/Mgst1/Oplah/Gstt2/Mgst2/Gsto1/Gstk1/Chac1/Nat8f7/Gpx7/Gss/Gstt3/Rrm2/Gstm1/Gstm2/Idh2/Gstm4
