ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0060348,bone development,26/454,206/12672,0.1262135922330097,3.522860442239425,7.037146423596987,2.228286070826708e-8,9.040156589343955e-5,8.218857254922932e-5,Col6a1/Dchs2/Adamts12/Bgn/Tnn/Sh3pxd2b/Mmp14/Nab2/Gli3/Fbn1/Frem1/Trp53/Sema4d/Tmem119/Ano6/Enpp1/P3h1/Nsd2/Lrrc17/Has2/Asxl2/Bnc2/Akap13/Ext1/Glg1/Bbx,26
GO:0031589,cell-substrate adhesion,32/454,326/12672,0.09815950920245399,2.7398178427610067,6.13455063713544,2.2882148517427874e-7,3.744046886403329e-4,3.403899767771692e-4,Adamts12/Emilin1/Tnn/Srgap2/Mmp14/Postn/Col16a1/Svep1/Cdh11/Frem1/Myh9/Lrp1/Itga5/Ptpn1/Sfrp1/Carmil1/Fermt3/Ston1/Peak1/Epha3/Has2/Itgav/Flna/Zfp469/Macf1/Tbcd/Col8a1/Stk4/Prex1/Wdpcp/Ptpra/Dock5,32
GO:0002009,morphogenesis of an epithelium,39/454,449/12672,0.08685968819599109,2.424418433523346,5.923865117889351,2.7685828590608796e-7,3.744046886403329e-4,3.403899767771692e-4,Dchs2/Adamts12/Mmp14/Gli3/Prkacb/Runx1/Col5a1/Igf1r/Sema5a/Hgf/Itga5/Klhl3/Maged1/Tnc/Ptk7/Plxnb2/Sfrp1/Setdb2/Myo9a/Robo1/Htt/Enpp1/Casp3/Itgav/Kif26b/Tmtc3/Flna/Abl2/Pml/Mical2/Ext1/Kdm5b/Hs2st1/Stk4/Luzp1/Wdpcp/Med12/Col4a1/Ctnnd1,39
GO:0001501,skeletal system development,37/454,459/12672,0.08061002178649238,2.2499784054591,5.258125964704726,3.3780339357009478e-6,0.0034261709192846862,0.0031149028712358215,Col6a1/Dchs2/Adamts12/Vcan/Fbn2/Bgn/Tnn/Sh3pxd2b/Mmp14/Nab2/Gli3/Fbn1/Col18a1/Frem1/Runx1/Trp53/Sema4d/Tmem119/Wdr19/Sfrp1/Ano6/Enpp1/P3h1/Nsd2/Lrrc17/Rassf2/Has2/Asxl2/Bnc2/Akap13/Slc39a14/Ext1/Col5a2/Glg1/Med12/Bbx/Prkg2,37
GO:0035987,endodermal cell differentiation,9/454,37/12672,0.24324324324324326,6.789379688058102,6.7979596658687065,4.570504952833217e-6,0.003708507718728872,0.0033715893378373878,Col6a1/Mmp14/Myh9/Col5a1/Itga5/Col4a2/Itgav/Col5a2/Col8a1,9
GO:0060562,epithelial tube morphogenesis,28/454,309/12672,0.09061488673139159,2.529233138018049,5.245952054860895,6.284282824135521e-6,0.003930801230589062,0.0035736874568929786,Dchs2/Adamts12/Mmp14/Gli3/Prkacb/Sema5a/Klhl3/Maged1/Tnc/Ptk7/Plxnb2/Sfrp1/Setdb2/Robo1/Casp3/Kif26b/Tmtc3/Abl2/Pml/Mical2/Ext1/Kdm5b/Hs2st1/Stk4/Luzp1/Med12/Col4a1/Ctnnd1,28
GO:0070613,regulation of protein processing,10/454,49/12672,0.20408163265306123,5.696304953699541,6.349014959888946,7.390296366740443e-6,0.003930801230589062,0.0035736874568929786,Plat/Mmp14/Prkacb/Myh9/Spon1/Lrrk2/Inpp5b/Glg1/Furin/Ctnnd1,10
GO:0030199,collagen fibril organization,11/454,60/12672,0.18333333333333332,5.117180616740088,6.161931628086179,7.751148593717647e-6,0.003930801230589062,0.0035736874568929786,Col6a1/Adamts12/Emilin1/Col5a1/Cyp1b1/P3h1/Pxdn/Zfp469/P4ha3/Ext1/Col5a2,11
GO:1903317,regulation of protein maturation,10/454,51/12672,0.19607843137254902,5.472920445711324,6.169680722976991,1.0776519832105158e-5,0.004857815662094514,0.004416482513648711,Plat/Mmp14/Prkacb/Myh9/Spon1/Lrrk2/Inpp5b/Glg1/Furin/Ctnnd1,10
GO:0007160,cell-matrix adhesion,21/454,205/12672,0.1024390243902439,2.859267218222843,5.173340625289846,1.4713415206700015e-5,0.005969232549358196,0.005426927040450196,Adamts12/Emilin1/Tnn/Mmp14/Postn/Col16a1/Svep1/Cdh11/Frem1/Myh9/Lrp1/Itga5/Fermt3/Ston1/Peak1/Epha3/Itgav/Zfp469/Macf1/Wdpcp/Ptpra,21
GO:0010810,regulation of cell-substrate adhesion,21/454,209/12672,0.10047846889952153,2.8045444006492,5.0706394311655325,1.975088473270188e-5,0.007284485396415593,0.0066226890051088415,Emilin1/Mmp14/Postn/Col16a1/Myh9/Lrp1/Itga5/Ptpn1/Carmil1/Peak1/Epha3/Has2/Flna/Macf1/Tbcd/Col8a1/Stk4/Prex1/Wdpcp/Ptpra/Dock5,21
GO:0001706,endoderm formation,9/454,45/12672,0.2,5.582378854625551,5.93581655059795,2.5235218472510012e-5,0.008214677502741987,0.0074683730445384644,Col6a1/Mmp14/Myh9/Col5a1/Itga5/Col4a2/Itgav/Col5a2/Col8a1,9
GO:0043931,ossification involved in bone maturation,7/454,26/12672,0.2692307692307692,7.514740765842087,6.4097418040867655,2.6322604765996013e-5,0.008214677502741987,0.0074683730445384644,Dchs2/Adamts12/Sema4d/Ano6/Enpp1/Asxl2/Ext1,7
GO:0048771,tissue remodeling,19/454,184/12672,0.10326086956521739,2.8822064738555833,4.957503629199643,3.3462642504381444e-5,0.009696995760019679,0.008816022506417488,Col6a1/Bgn/Mmp14/Trp53/Lrp1/Lrrc25/Tmem119/Csf1r/Sfrp1/Enpp1/Rassf2/Ubash3b/Itgav/Flna/Pml/F2r/Ext1/Slc4a2/Dock5,19
GO:0007492,endoderm development,11/454,71/12672,0.15492957746478872,4.324377985977539,5.414649856678034,4.061445881302138e-5,0.010177997442197776,0.009253325126801243,Col6a1/Mmp14/Myh9/Col5a1/Itga5/Col4a2/Itgav/Ext1/Col5a2/Col8a1/Med12,11
GO:0010165,response to X-ray,7/454,28/12672,0.25,6.977973568281938,6.104134213825166,4.45250900724257e-5,0.010177997442197776,0.009253325126801243,Brca2/Ccnd1/Trp53/Blm/Sfrp1/Casp3/Atm,7
GO:0070977,bone maturation,7/454,28/12672,0.25,6.977973568281938,6.104134213825166,4.45250900724257e-5,0.010177997442197776,0.009253325126801243,Dchs2/Adamts12/Sema4d/Ano6/Enpp1/Asxl2/Ext1,7
GO:0007044,cell-substrate junction assembly,13/454,98/12672,0.1326530612244898,3.702598219904702,5.177154285806696,4.5157494197574554e-5,0.010177997442197776,0.009253325126801243,Mmp14/Col16a1/Cdh11/Myh9/Lrp1/Itga5/Ston1/Peak1/Epha3/Itgav/Macf1/Wdpcp/Ptpra,13
GO:0001704,formation of primary germ layer,13/454,100/12672,0.13,3.6285462555066084,5.086824439540786,5.599074362304121e-5,0.011338634827309228,0.010308518463186834,Col6a1/Mmp14/Myh9/Pofut2/Col5a1/Itga5/Col4a2/Htt/Itgav/Macf1/Ext1/Col5a2/Col8a1,13
GO:0007162,negative regulation of cell adhesion,23/454,261/12672,0.08812260536398467,2.459668843992101,4.593085349653281,6.51838842137132e-5,0.011338634827309228,0.010308518463186834,Mad1l1/Mmp14/Postn/Gli3/Runx1/Ptpn22/Sema5a/Lrp1/Ptpn1/Sema4d/Tnc/Cd276/Plxnb2/Zfp608/Cyp1b1/Casp3/Ubash3b/Swap70/Abl2/Slc4a2/Tbcd/Akna/Lgals9,23
GO:0030198,extracellular matrix organization,23/454,261/12672,0.08812260536398467,2.459668843992101,4.593085349653281,6.51838842137132e-5,0.011338634827309228,0.010308518463186834,Col6a1/Myo1e/Adamts12/Emilin1/Sh3pxd2b/Mmp14/Postn/Adamts4/Col18a1/Col5a1/Sema5a/Lrp1/Cyp1b1/P3h1/Hmcn1/Has2/Pxdn/Zfp469/Abl2/P4ha3/Ext1/Col5a2/Col4a1,23
GO:0043062,extracellular structure organization,23/454,261/12672,0.08812260536398467,2.459668843992101,4.593085349653281,6.51838842137132e-5,0.011338634827309228,0.010308518463186834,Col6a1/Myo1e/Adamts12/Emilin1/Sh3pxd2b/Mmp14/Postn/Adamts4/Col18a1/Col5a1/Sema5a/Lrp1/Cyp1b1/P3h1/Hmcn1/Has2/Pxdn/Zfp469/Abl2/P4ha3/Ext1/Col5a2/Col4a1,23
GO:0045229,external encapsulating structure organization,23/454,261/12672,0.08812260536398467,2.459668843992101,4.593085349653281,6.51838842137132e-5,0.011338634827309228,0.010308518463186834,Col6a1/Myo1e/Adamts12/Emilin1/Sh3pxd2b/Mmp14/Postn/Adamts4/Col18a1/Col5a1/Sema5a/Lrp1/Cyp1b1/P3h1/Hmcn1/Has2/Pxdn/Zfp469/Abl2/P4ha3/Ext1/Col5a2/Col4a1,23
GO:0048041,focal adhesion assembly,12/454,88/12672,0.13636363636363635,3.8061674008810567,5.091888298433238,6.707597630155817e-5,0.011338634827309228,0.010308518463186834,Mmp14/Col16a1/Cdh11/Myh9/Lrp1/Ston1/Peak1/Epha3/Itgav/Macf1/Wdpcp/Ptpra,12
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,12/454,89/12672,0.1348314606741573,3.763401475028461,5.042898204058771,7.506171316982984e-5,0.012181014813199985,0.011074368124087738,Dchs2/Pcdhb21/Pcdhgc3/Cdh11/Nrcam/Pcdhgc5/Pcdhgb2/Plxnb2/Pcdhga12/Robo1/Nectin4/Hmcn1,12
