ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0009055,electron transfer activity,24/1246,39/12591,0.6153846153846154,6.218545499444376,10.816704082407364,3.682363001368454e-15,3.31044433823024e-12,3.0544232053456233e-12,Etfb/Uqcrh/Fdx1/Cox7a1/Cox5a/Ndufs4/Ndufa2/Uqcrfs1/Ndufs3/Cox7a2/Ndufv2/Ndufb7/Etfa/Ndufs7/Ndufa10/Ndufs2/Cyc1/Fdx2/Sdhc/Cycs/Ndufv1/Sdhb/Ndufs8/Ndor1,24
GO:0015453,oxidoreduction-driven active transmembrane transporter activity,17/1246,24/12591,0.7083333333333334,7.157804975922954,10.00657326868516,1.3330761464285629e-12,5.99217727819639e-10,5.528757912556356e-10,Uqcrh/Cox7a1/Cox5a/Ndufs4/Ndufa2/Uqcrfs1/Ndufs3/Cox7a2/Ndufv2/Ndufb7/Ndufs7/Ndufa10/Ndufs2/Cyc1/Nnt/Ndufv1/Ndufs8,17
GO:0015078,proton transmembrane transporter activity,36/1246,103/12591,0.34951456310679613,3.5318923467718055,8.550411957129999,4.32107727705436e-12,1.2948828240239565e-9,1.1947399629188898e-9,Uqcrh/Cox7a1/Cox5a/Ndufs4/Ndufa2/Uqcrfs1/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Cox7a2/Atp5pb/Ndufv2/Atp5pf/Atp5f1e/Ndufb7/Atp5f1d/Ndufs7/Atp5mf/Atp5pd/Ndufa10/Atp5mc2/Ndufs2/Cyc1/Nnt/Slc38a3/Slc25a3/Slc2a4/Slc25a27/Ndufv1/Atp5f1a/Ndufs8/Slc25a13/Slc9a1/Slc16a1/Slc47a1,36
GO:0008137,NADH dehydrogenase (ubiquinone) activity,10/1246,11/12591,0.9090909090909091,9.186487669633737,9.00167378153758,8.733094254007925e-10,1.962762933588281e-7,1.810967966357433e-7,Ndufs4/Ndufa2/Ndufs3/Ndufv2/Ndufb7/Ndufs7/Ndufa10/Ndufs2/Ndufv1/Ndufs8,10
GO:0051537,"2 iron, 2 sulfur cluster binding",13/1246,24/12591,0.5416666666666666,5.473615569823434,7.269727143097659,7.224303531716192e-8,1.2989297750025714e-5,1.1984739332615495e-5,Fdx1/Isca2/Aox1/Uqcrfs1/Ndufv2/Cisd1/Glrx5/Cisd3/Iscu/Fdx2/Bola2/Sdhb/Fxn,13
GO:0051540,metal cluster binding,23/1246,70/12591,0.32857142857142857,3.320259114881908,6.451127654404258,1.1931401762830817e-7,1.787721697464151e-5,1.649463963001875e-5,Fdx1/Isca2/Aox1/Uqcrfs1/Ndufv2/Glrx3/Cisd1/Glrx5/Cisd3/Ndufs7/Iscu/Lias/Ndufs2/Rev3l/Fdx2/Mettl17/Bola2/Ndufv1/Sdhb/Gstp1/Ndufs8/Fxn/Gstp2,23
GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",9/1246,12/12591,0.75,7.578852327447833,7.555919783850455,1.4778069070722863e-7,1.897926299225693e-5,1.7511456282300177e-5,Atp5me/Atp5mg/Atp5pb/Atp5pf/Atp5f1e/Atp5f1d/Atp5mf/Atp5pd/Atp5f1a,9
GO:0016684,"oxidoreductase activity, acting on peroxide as acceptor",16/1246,41/12591,0.3902439024390244,3.943467877696434,6.256032586836668,7.213177381398416e-7,8.10580808234647e-5,7.478926021765727e-5,Gstk1/Prdx5/Gpx4/Gstt1/Gstt2/Gpx3/Prdx6/Duox1/Mgst3/Sesn3/Pxdn/Cat/Gstp1/Prdx3/Prdx2/Gstp2,16
GO:0051536,iron-sulfur cluster binding,21/1246,68/12591,0.3088235294117647,3.1207038995373435,5.810987445100751,1.3389432966531195e-6,1.3374555818790605e-4,1.2340202546931675e-4,Fdx1/Isca2/Aox1/Uqcrfs1/Ndufv2/Glrx3/Cisd1/Glrx5/Cisd3/Ndufs7/Iscu/Lias/Ndufs2/Rev3l/Fdx2/Mettl17/Bola2/Ndufv1/Sdhb/Ndufs8/Fxn,21
GO:0016209,antioxidant activity,19/1246,58/12591,0.3275862068965517,3.3103033154369848,5.844200598525357,1.5672989717988346e-6,1.4090017756471525e-4,1.3000332523973495e-4,Sod1/Gstk1/Prdx5/Gpx4/Gstt1/Gstt2/Txnrd2/Sod2/Gpx3/Prdx6/Duox1/Mgst3/S100a9/Pxdn/Cat/Gstp1/Prdx3/Prdx2/Gstp2,19
GO:0004601,peroxidase activity,15/1246,39/12591,0.38461538461538464,3.886590937152735,5.983161395730759,1.996046962439155e-6,1.6313147447570914e-4,1.5051531161742147e-4,Gstk1/Prdx5/Gpx4/Gstt1/Gstt2/Gpx3/Prdx6/Duox1/Mgst3/Pxdn/Cat/Gstp1/Prdx3/Prdx2/Gstp2,15
GO:0022853,active monoatomic ion transmembrane transporter activity,20/1246,67/12591,0.29850746268656714,3.016458637790182,5.484345747469809,4.282952453119613e-6,3.2086452127954435e-4,2.960496958823031e-4,Uqcrh/Cox7a1/Cox5a/Ndufs4/Ndufa2/Uqcrfs1/Ndufs3/Atp5mg/Cox7a2/Ndufv2/Atp5f1e/Ndufb7/Ndufs7/Atp1a2/Ndufa10/Ndufs2/Cyc1/Nnt/Ndufv1/Ndufs8,20
GO:0015252,proton channel activity,9/1246,17/12591,0.5294117647058824,5.349778113492588,5.947363353919147,1.0298981676077406e-5,7.122141943687377e-4,6.571334057286637e-4,Atp5me/Atp5mg/Atp5pb/Atp5pf/Atp5f1e/Atp5f1d/Atp5mf/Atp5pd/Atp5f1a,9
GO:0008324,monoatomic cation transmembrane transporter activity,59/1246,342/12591,0.17251461988304093,1.7432837712258173,4.618351910970288,1.4555190870036973e-5,9.346511851545169e-4,8.623676996683562e-4,Uqcrh/Cox7a1/Cox5a/Ndufs4/Orai2/Ndufa2/Uqcrfs1/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Cox7a2/Atp5pb/Ndufv2/Atp5pf/Atp5f1e/Ndufb7/Tmbim1/Atp5f1d/Ndufs7/Atp5mf/Slc22a3/Romo1/Atp5pd/Atp1a2/Lrg1/Trpc3/Ndufa10/P2rx5/Atp5mc2/Tmbim4/Slc5a3/Ndufs2/Cyc1/Nnt/Catsper2/Slc38a3/Slc25a3/Slc23a2/Panx1/Cacna1c/Cacna1d/Ano6/Tmem37/Piezo2/Slc2a4/Slc25a27/Ndufv1/Atp5f1a/Slc39a14/Slc30a7/Ndufs8/Gria3/Slc25a13/Slc9a1/Slc16a1/Kcnc1/Orai1/Slc47a1,59
GO:0015075,monoatomic ion transmembrane transporter activity,66/1246,398/12591,0.1658291457286432,1.6757261427522847,4.539694278081037,1.735284513730788e-5,0.0010400138518959856,9.595818925051657e-4,Uqcrh/Cox7a1/Cox5a/Ndufs4/Slc26a10/Orai2/Ndufa2/Uqcrfs1/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Cox7a2/Atp5pb/Ndufv2/Atp5pf/Atp5f1e/Ndufb7/Tmbim1/Atp5f1d/Ndufs7/Atp5mf/Slc22a3/Romo1/Atp5pd/Atp1a2/Lrg1/Trpc3/Ndufa10/Tmem120a/P2rx5/Atp5mc2/Tmbim4/Slc5a3/Ndufs2/Cyc1/Nnt/Catsper2/Slc38a3/Sfxn3/Ttyh3/Slc25a3/Slc23a2/Panx1/Cacna1c/Cacna1d/Ano6/Tmem37/Piezo2/Slc2a4/Slc25a27/Ndufv1/Atp5f1a/Slc39a14/Slc30a7/Vdac1/Ndufs8/Slc4a2/Gria3/Slc25a13/Slc9a1/Sfxn4/Slc16a1/Kcnc1/Orai1/Slc47a1,66
