category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Energy metabolism,mmu00190,Oxidative phosphorylation,78/675,112/5932,0.6964285714285714,6.12031746031746,19.601588469762937,6.113359374264177e-49,1.968501718513065e-46,1.808267351756036e-46,Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Ppa2/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Cox17/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Atp5mf/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Sdhd/Cox8a/Ndufa10/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ndufa11/Ndufb2/Sdhc/Ppa1/Cox6a1/Cycs/Cox11/Ndufv1/Atp5f1a/Sdhb/Ndufs8/Ndufa9,78
Organismal Systems,Environmental adaptation,mmu04714,Thermogenesis,92/675,193/5932,0.47668393782383417,4.189169065438495,16.1393093085514,6.510537019433505e-38,1.0481964601287942e-35,9.628741591899026e-36,Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Cpt2/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Cox17/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Atp5me/Atp5mg/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Cox20/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Pnpla2/Ndufb5/Prkacb/Ndufs7/Atp5mf/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Sdhd/Slc25a20/Adrb3/Cox8a/Ndufa10/Atp5mc2/Cpt1b/Ndufb11/Ndufs2/Cyc1/Ndufa11/Coa6/Ndufb2/Cox16/Mgll/Sdhc/Cox19/Cox6a1/Cox11/Ndufv1/Atp5f1a/Prdm16/Sdhb/Ndufaf2/Ndufaf3/Ndufs8/Ndufa9/Cnr1/Prkg2/Cox14,92
Human Diseases,Cancer: overview,mmu05208,Chemical carcinogenesis - reactive oxygen species,88/675,191/5932,0.4607329842931937,4.048989722707001,15.347079067693945,8.444346825428283e-35,9.06359892595969e-33,8.325829677001222e-33,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Vegfa/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Gstt1/Gstt2/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Sod2/Atp5pd/Map3k14/Ndufa8/Ndufb6/Sdhd/Ephx2/Cox8a/Ndufa10/Hgf/Atp5mc2/Cyp2e1/Ptpn1/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Mgst3/Ndufb2/Gsta4/Sdhc/Cox6a1/Cyp1b1/Ndufv1/Atp5f1a/Sdhb/Cat/Abl2/Vdac1/Ndufs8/Ndufa9/Prkd3,88
Human Diseases,Endocrine and metabolic disease,mmu04932,Non-alcoholic fatty liver disease,70/675,142/5932,0.49295774647887325,4.332185706833594,14.400611940661843,4.854508392301313e-30,3.907879255802557e-28,3.5897812058859715e-28,Ndufab1/Cox8b/Cox6b1/Ndufa7/Nr1h3/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Ndufs3/Mlxipl/Uqcrb/Ndufc2/Cox7a2/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Ndufc1/Ndufb1/Uqcrq/Srebf1/Ndufb7/Ndufa13/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Ndufa8/Ndufb6/Sdhd/Cox8a/Ndufa10/Cyp2e1/Ndufb11/Ndufs2/Cyc1/Ndufa11/Ndufb2/Sdhc/Cox6a1/Cycs/Casp3/Ndufv1/Sdhb/Ndufs8/Ndufa9/Adipoq/Ern1,70
Human Diseases,Cardiovascular disease,mmu05415,Diabetic cardiomyopathy,79/675,180/5932,0.4388888888888889,3.8570205761316876,13.947200427401992,1.9329385329361585e-29,1.244812415210886e-27,1.1434857426422328e-27,Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Cpt2/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Mpc2/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Mpc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Sdhd/Cox8a/Ndufa10/Atp5mc2/Cpt1b/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Pdhb/Ndufb2/Sdhc/Cox6a1/Slc2a4/Ndufv1/Atp5f1a/Sdhb/Plcb2/Vdac1/Ndufs8/Ndufa9,79
Human Diseases,Neurodegenerative disease,mmu05012,Parkinson disease,88/675,227/5932,0.3876651982378855,3.406859193995758,13.248986210377618,6.532094345508088e-28,3.505557298756007e-26,3.220207914189075e-26,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Txn2/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Prkacb/Ndufs7/Maob/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Trp53/Ndufa8/Ndufb6/Sdhd/Mapt/Cox8a/Ndufa10/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Pink1/Lrrk2/Ndufb2/Sdhc/Cox6a1/Cycs/Sem1/Ubc/Casp3/Uba52/Ndufv1/Atp5f1a/Sdhb/Slc39a14/Vdac1/Ndufs8/Ndufa9/Mfn2/Ern1,88
Human Diseases,Neurodegenerative disease,mmu05016,Huntington disease,88/675,246/5932,0.35772357723577236,3.143727792833484,12.304971843902736,5.808855136150719e-25,2.672073362629331e-23,2.454568862042635e-23,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Sod2/Atp5pd/Trp53/Ndufa8/Ndufb6/Sdhd/Gpx3/Cox8a/Ndufa10/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Polr2l/Ndufb2/Sdhc/Polr2i/Cox6a1/Htt/Dnah8/Cycs/Sem1/Casp3/Ndufv1/Polr2k/Atp5f1a/Sdhb/Plcb2/Vdac1/Ndufs8/Taf4/Gria3/Ndufa9/Ern1,88
Human Diseases,Neurodegenerative disease,mmu05020,Prion disease,83/675,225/5932,0.3688888888888889,3.2418502057613168,12.284027317746755,1.3296367826844375e-24,5.35178805030486e-23,4.91615705176746e-23,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Prkacb/Hspa1l/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Atp5pd/Ndufa8/Ndufb6/Sdhd/Cox8a/Ndufa10/Csnk2b/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ppif/Ndufa11/Hspa1a/Ndufb2/Sdhc/Cacna1c/Cacna1d/Cox6a1/Cycs/Sem1/Casp3/Ndufv1/Atp5f1a/Sdhb/Vdac1/Hspa1b/Ndufs8/Ndufa9,83
Organismal Systems,Nervous system,mmu04723,Retrograde endocannabinoid signaling,50/675,102/5932,0.49019607843137253,4.307915758896151,12.074443105903407,1.5411248021474096e-21,5.513802069905177e-20,5.064983267876282e-20,Ndufab1/Ndufa7/Ndufa3/Ndufb3/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Ndufs3/Ndufc2/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Ndufc1/Ndufb1/Ndufb7/Ndufa13/Ndufb9/Ndufb5/Prkacb/Ndufs7/Ndufa12/Abhd6/Ndufa8/Ndufb6/Ndufa10/Ndufb11/Ndufs2/Ndufa11/Gng5/Gnao1/Ndufb2/Mgll/Cacna1c/Cacna1d/Ndufv1/Plcb2/Ndufs8/Gnb5/Gria3/Ndufa9/Cnr1,50
Human Diseases,Neurodegenerative disease,mmu05014,Amyotrophic lateral sclerosis,87/675,291/5932,0.29896907216494845,2.627384497899962,10.200124654159175,1.0063281866927784e-18,3.240376761150747e-17,2.9766128469544296e-17,Sod1/Ndufab1/Cox8b/Cox6b1/Ndufa7/Uqcrh/Cox4i1/Cox6c/Ndufa3/Cox7a1/Uqcr11/Cox5a/Ndufb3/Cox7c/Ndufs6/Ndufa6/Ndufa5/Ndufs4/Ndufa1/Ndufb8/Uqcr10/Ndufs5/Ndufv3/Ndufb10/Ndufa2/Ndufa4/Cox5b/Uqcrfs1/Atp5mc3/Ndufs3/Uqcrb/Ndufc2/Cox7a2/Atp5pb/Ndufv2/Ndufb4/Ndufb4c/Ndufb4b/Atp5pf/Atp5f1e/Ndufc1/Ndufb1/Uqcrq/Ndufb7/Ndufa13/Atp5f1d/Ndufb9/Ndufb5/Ndufs7/Ndufa12/Cox7a2l/Cox7b/Chchd10/Atp5pd/Trp53/Ndufa8/Ndufb6/Sdhd/Gpx3/Cox8a/Ndufa10/Atp5mc2/Ndufb11/Ndufs2/Cyc1/Ndufa11/Pink1/Ndufb2/Map1lc3a/Sdhc/Tomm40l/Cox6a1/Dnah8/Cycs/Ubqln4/Sem1/Casp3/Ndufv1/Atp5f1a/Atxn2l/Sdhb/Cat/Vdac1/Ndufs8/Ndufa9/Chmp2b/Ern1,87
