ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0006119,oxidative phosphorylation,127,0.8168609185687071,3.1354834893595633,1e-10,4.470192307692308e-9,3.479757085020243e-9,710,"tags=55%, list=5%, signal=53%",Ndufab1/Cox8b/Ndufa3/Atp5me/Cox7a1/Cox7c/Cox6c/Ndufa5/Ndufb1/Ndufa7/Uqcrb/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Ndufs5/Dnajc15/Ndufs4/Ndufb4/Coq7/Ndufa6/Ndufv3/Cox7b/Ndufb3/Cox5b/Ndufb8/Ndufa2/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Uqcc2/Chchd2/Atp5mf/Ndufa13/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Iscu/Ndufb7/Atp5f1d/Ndufb11/Cox4i2/Cycs/Cyc1/Sdhd/Ndufa11/Cox6b2/Ndufs7/Ppif/Fxn/Pink1/Uqcc3/Sdhc
GO:0015986,proton motive force-driven ATP synthesis,61,0.8848286777320962,3.0014867804637935,1e-10,4.470192307692308e-9,3.479757085020243e-9,1035,"tags=79%, list=7%, signal=73%",Ndufab1/Ndufa3/Atp5me/Ndufa5/Ndufb1/Ndufa7/Atp5pf/Ndufs6/Ndufc1/Ndufa1/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufa6/Ndufv3/Ndufb3/Ndufb8/Ndufa2/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Atp5mf/Ndufa13/Ndufa8/Ndufb2/Atp5pd/Ndufb7/Atp5f1d/Ndufb11/Sdhd/Ndufa11/Ndufs7/Atp5mc1/Sdhc/Atp5mc2/Ndufa10/Atp5f1a/Atp5po/Dnajc30
GO:0042776,proton motive force-driven mitochondrial ATP synthesis,57,0.8815572922236256,2.9385329417206845,1e-10,4.470192307692308e-9,3.479757085020243e-9,1035,"tags=77%, list=7%, signal=72%",Ndufab1/Ndufa3/Atp5me/Ndufa5/Ndufb1/Ndufa7/Atp5pf/Ndufs6/Ndufc1/Ndufa1/Atp5f1e/Ndufb10/Ndufs5/Ndufs4/Ndufb4/Ndufa6/Ndufv3/Ndufb3/Ndufb8/Ndufa2/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Atp5mf/Ndufa13/Ndufa8/Ndufb2/Atp5pd/Ndufb7/Atp5f1d/Ndufb11/Sdhd/Ndufa11/Ndufs7/Sdhc/Ndufa10/Atp5f1a/Atp5po/Dnajc30
GO:0006754,ATP biosynthetic process,88,0.804844340996683,2.9248747958297914,1e-10,4.470192307692308e-9,3.479757085020243e-9,1035,"tags=58%, list=7%, signal=54%",Ndufab1/Ndufa3/Atp5me/Ndufa5/Ndufb1/Ndufa7/Atp5pf/Ndufs6/Ndufc1/Ndufa1/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufa6/Ndufv3/Ndufb3/Ndufb8/Ndufa2/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Atp5mf/Ndufa13/Ndufa8/Ndufb2/Atp5pd/Ndufb7/Atp5f1d/Ndufb11/Cox11/Sdhd/Ndufa11/Ndufs7/Uqcc3/Atp5mc1/Sdhc/Atp5mc2/Nudt2/Ndufa10/Atp5f1a/Atp5po/Dnajc30
GO:0009145,purine nucleoside triphosphate biosynthetic process,99,0.7866730107745952,2.891296431787114,1e-10,4.470192307692308e-9,3.479757085020243e-9,1035,"tags=53%, list=7%, signal=49%",Ndufab1/Ndufa3/Atp5me/Ndufa5/Ndufb1/Ndufa7/Atp5pf/Ndufs6/Ndufc1/Ndufa1/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufa6/Ndufv3/Ndufb3/Ndufb8/Ndufa2/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Atp5mf/Ndufa13/Ndufa8/Ndufb2/Atp5pd/Nme3/Ndufb7/Atp5f1d/Ndufb11/Cox11/Sdhd/Ndufa11/Ndufs7/Uqcc3/Atp5mc1/Sdhc/Atp5mc2/Nudt2/Ndufa10/Atp5f1a/Atp5po/Dnajc30
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,98,0.789133411484997,2.890667617240045,1e-10,4.470192307692308e-9,3.479757085020243e-9,1035,"tags=53%, list=7%, signal=49%",Ndufab1/Ndufa3/Atp5me/Ndufa5/Ndufb1/Ndufa7/Atp5pf/Ndufs6/Ndufc1/Ndufa1/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufa6/Ndufv3/Ndufb3/Ndufb8/Ndufa2/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Atp5mf/Ndufa13/Ndufa8/Ndufb2/Atp5pd/Nme3/Ndufb7/Atp5f1d/Ndufb11/Cox11/Sdhd/Ndufa11/Ndufs7/Uqcc3/Atp5mc1/Sdhc/Atp5mc2/Nudt2/Ndufa10/Atp5f1a/Atp5po/Dnajc30
GO:0009201,ribonucleoside triphosphate biosynthetic process,103,0.7761110619807042,2.8810656864011817,1e-10,4.470192307692308e-9,3.479757085020243e-9,1035,"tags=50%, list=7%, signal=47%",Ndufab1/Ndufa3/Atp5me/Ndufa5/Ndufb1/Ndufa7/Atp5pf/Ndufs6/Ndufc1/Ndufa1/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufa6/Ndufv3/Ndufb3/Ndufb8/Ndufa2/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Atp5mf/Ndufa13/Ndufa8/Ndufb2/Atp5pd/Nme3/Ndufb7/Atp5f1d/Ndufb11/Cox11/Sdhd/Ndufa11/Ndufs7/Uqcc3/Atp5mc1/Sdhc/Atp5mc2/Nudt2/Ndufa10/Atp5f1a/Atp5po/Dnajc30
GO:0022900,electron transport chain,87,0.7932317453583921,2.8728920511540474,1e-10,4.470192307692308e-9,3.479757085020243e-9,899,"tags=55%, list=6%, signal=52%",Cox8b/Cox7a1/Fdx1/Cox7c/Ndufa5/Ndufa7/Uqcrb/Cox5a/Ndufs6/Uqcr10/Cox7a2/Uqcrh/Uqcr11/Dnajc15/Ndufs4/Coq7/Ndufv3/Cox7b/Ndufb3/Cox5b/Ndufb8/Cox4i1/Ndufa12/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Uqcrfs1/Chchd2/Etfb/Cox7a2l/Ndufa8/Uqcrq/Iscu/Cox4i2/Cycs/Cyc1/Sdhd/Fdx2/Ndufa11/Ndufs7/Pink1/Uqcc3/Sdhc/Sod2/Etfa/Ndufa10
GO:0009142,nucleoside triphosphate biosynthetic process,110,0.7631084660315092,2.868265584986525,1e-10,4.470192307692308e-9,3.479757085020243e-9,1035,"tags=47%, list=7%, signal=44%",Ndufab1/Ndufa3/Atp5me/Ndufa5/Ndufb1/Ndufa7/Atp5pf/Ndufs6/Ndufc1/Ndufa1/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufa6/Ndufv3/Ndufb3/Ndufb8/Ndufa2/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Atp5mf/Ndufa13/Ndufa8/Ndufb2/Atp5pd/Nme3/Ndufb7/Atp5f1d/Ndufb11/Cox11/Sdhd/Ndufa11/Ndufs7/Uqcc3/Atp5mc1/Sdhc/Atp5mc2/Nudt2/Ndufa10/Atp5f1a/Atp5po/Dnajc30
GO:0009152,purine ribonucleotide biosynthetic process,140,0.7209436580754284,2.8095139493941916,1e-10,4.470192307692308e-9,3.479757085020243e-9,1035,"tags=39%, list=7%, signal=36%",Ndufab1/Ndufa3/Atp5me/Ndufa5/Ndufb1/Ndufa7/Atp5pf/Ndufs6/Ndufc1/Ndufa1/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufa6/Ndufv3/Ndufb3/Ndufb8/Ndufa2/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Atp5mf/Ndufa13/Ndufa8/Ndufb2/Atp5pd/Nme3/Ndufb7/Atp5f1d/Ndufb11/Cox11/Sdhd/Ndufa11/Ndufs7/Ostn/Uqcc3/Atp5mc1/Sdhc/Atp5mc2/Nudt2/Ndufa10/Guk1/Atp5f1a/Atp5po/Dnajc30
GO:0022904,respiratory electron transport chain,80,0.793667914036571,2.8010547608435608,1e-10,4.470192307692308e-9,3.479757085020243e-9,899,"tags=56%, list=6%, signal=53%",Cox8b/Cox7a1/Cox7c/Ndufa5/Ndufa7/Uqcrb/Cox5a/Ndufs6/Uqcr10/Cox7a2/Uqcrh/Uqcr11/Dnajc15/Ndufs4/Coq7/Ndufv3/Cox7b/Cox5b/Ndufb8/Cox4i1/Ndufa12/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Uqcrfs1/Chchd2/Etfb/Cox7a2l/Ndufa8/Uqcrq/Iscu/Cox4i2/Cycs/Cyc1/Sdhd/Ndufa11/Ndufs7/Pink1/Uqcc3/Sdhc/Sod2/Etfa/Ndufa10
GO:0042773,ATP synthesis coupled electron transport,62,0.8231322581721712,2.8002699819239245,1e-10,4.470192307692308e-9,3.479757085020243e-9,710,"tags=63%, list=5%, signal=60%",Cox8b/Cox7a1/Cox7c/Ndufa7/Uqcrb/Cox5a/Ndufs6/Uqcr10/Cox7a2/Uqcrh/Uqcr11/Dnajc15/Coq7/Ndufv3/Cox7b/Cox5b/Ndufb8/Cox4i1/Ndufa12/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Uqcrfs1/Chchd2/Cox7a2l/Ndufa8/Uqcrq/Iscu/Cox4i2/Cycs/Cyc1/Sdhd/Ndufa11/Ndufs7/Pink1/Uqcc3/Sdhc
GO:0042775,mitochondrial ATP synthesis coupled electron transport,62,0.8231322581721712,2.8002699819239245,1e-10,4.470192307692308e-9,3.479757085020243e-9,710,"tags=63%, list=5%, signal=60%",Cox8b/Cox7a1/Cox7c/Ndufa7/Uqcrb/Cox5a/Ndufs6/Uqcr10/Cox7a2/Uqcrh/Uqcr11/Dnajc15/Coq7/Ndufv3/Cox7b/Cox5b/Ndufb8/Cox4i1/Ndufa12/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Uqcrfs1/Chchd2/Cox7a2l/Ndufa8/Uqcrq/Iscu/Cox4i2/Cycs/Cyc1/Sdhd/Ndufa11/Ndufs7/Pink1/Uqcc3/Sdhc
GO:0019646,aerobic electron transport chain,54,0.8471495222690065,2.78949369978882,1e-10,4.470192307692308e-9,3.479757085020243e-9,1553,"tags=78%, list=11%, signal=69%",Cox8b/Cox7a1/Cox7c/Ndufa7/Uqcrb/Cox5a/Ndufs6/Uqcr10/Cox7a2/Uqcrh/Uqcr11/Dnajc15/Cox7b/Cox5b/Ndufb8/Cox4i1/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Uqcrfs1/Cox7a2l/Ndufa8/Uqcrq/Iscu/Cox4i2/Cycs/Cyc1/Sdhd/Ndufa11/Ndufs7/Pink1/Uqcc3/Sdhc/Ndufa10/Cox8a/Ndufs8/Sdhb/Ndufaf1/Cox6a1/Ndufs2
GO:0033108,mitochondrial respiratory chain complex assembly,90,0.7606209403682266,2.7624645941905506,1e-10,4.470192307692308e-9,3.479757085020243e-9,1977,"tags=61%, list=14%, signal=53%",Cox7a1/Fmc1/Cox20/Ndufs6/Higd1a/Ndufs5/Ndufs4/Ndufa6/Ndufaf2/Cox17/Uqcc6/Ndufc2/Pet100/Ndufs3/Uqcc2/Sdhaf4/Lyrm2/Ndufa13/Chchd7/Cox7a2l/Cox16/Uqcc4/Tmem126a/Coa6/Uqcc5/Atp5f1d/Ndufaf6/Higd2a/Ndufs7/Higd1b/Timmdc1/Smim20/Uqcc3/Ndufaf5/Cox14/Tmem223/Atf4/Coa8/Tmem70/Cox19/Sdhaf3/Dmac1/Coa3/Rab5if/Ndufs8/Ndufaf3/Slc25a33/Ndufaf1/Ndufs2/Surf1/Cox18/Ndufaf8/Tmem242/Ttc19/Sco2
GO:0009060,aerobic respiration,264,0.6487697429994465,2.7353380013656565,1e-10,4.470192307692308e-9,3.479757085020243e-9,1553,"tags=37%, list=11%, signal=33%",Ndufab1/Cox8b/Ndufa3/Atp5me/Cox7a1/Cox7c/Cox6c/Ndufa5/Ndufb1/Ndufa7/Uqcrb/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Mpc2/Ndufs5/Dnajc15/Ndufs4/Ndufb4/Coq7/Ndufa6/Ndufv3/Cox7b/Ndufb3/Cox5b/Ndufb8/Ndufa2/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Uqcc2/Chchd2/Bloc1s1/Atp5mf/Ndufa13/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Iscu/Ndufb7/Mpc1/Atp5f1d/Ndufb11/Cox4i2/Cycs/Ier3/Cyc1/Sdhd/Ndufa11/Cox6b2/Ndufs7/Ppif/Fxn/Pink1/Uqcc3/Sdhc/Pgam2/Ndufa10/Prkag2/Atp5f1a/Atp5po/Vdac1/Pfkfb1/Dnajc30/Mdh2/Cox8a/Pdhx/Mlxipl/Ndufs8/Sdhb/Galt/Rasl2-9/Mfn2/Slc25a33/Mtfr1/Ndufaf1/Gck/Cox6a1/Ndufs2
GO:0009260,ribonucleotide biosynthetic process,155,0.6874473995697329,2.7149498045135347,1e-10,4.470192307692308e-9,3.479757085020243e-9,1035,"tags=35%, list=7%, signal=33%",Ndufab1/Ndufa3/Atp5me/Ndufa5/Ndufb1/Ndufa7/Atp5pf/Ndufs6/Ndufc1/Ndufa1/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufa6/Ndufv3/Ndufb3/Ndufb8/Ndufa2/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Atp5mf/Ndufa13/Ndufa8/Ndufb2/Atp5pd/Nme3/Ndufb7/Atp5f1d/Ndufb11/Cox11/Rfk/Sdhd/Ndufa11/Ndufs7/Ostn/Uqcc3/Atp5mc1/Sdhc/Atp5mc2/Nudt2/Ndufa10/Guk1/Atp5f1a/Atp5po/Dnajc30
