ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,190,0.7702399252974969,3.145497652367328,1e-10,1e-9,6.31578947368421e-10,1165,"tags=45%, list=8%, signal=42%",70316/66091/11958/14148/12867/12864/68202/102631912/66416/67530/110323/11957/12858/407785/66152/66377/17992/12866/54405/66576/66594/67126/228033/17993/68194/67130/66142/12856/66495/12859/67264/17991/12857/11950/72900/68197/27425/230075/68349/66046/66694/110826/109672/57423/16922/30057/20463/18115/625249/68375/22272/68198/71679/66383/66916/69833/55951/12034/66043/66290/69802/13063/66445/66925/30056/75406/109731/14297/11951/66052/67942/30055/11739/223696/18674/110842/13177/67863/11946/16832/28080/22333/17448/12868/66447
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,197,-0.6237693553878135,-2.630486629233047,1e-10,1e-9,6.31578947368421e-10,2850,"tags=51%, list=21%, signal=41%",20775/56403/50927/103573/226525/217232/17869/26965/20878/269966/16211/20842/12455/15361/15260/26885/12443/12531/16647/12544/19076/16882/13557/24061/16765/16906/11350/14056/238247/78733/17765/12649/27214/16201/18854/26909/20588/17975/11987/272551/17216/19366/56150/19650/11799/107823/240641/52033/20873/23834/22137/70099/22589/72391/105727/16319/229841/27221/242705/12534/18286/14211/22427/71819/105988/30939/21335/16571/17345/12615/67052/17215/72119/21973/26934/107995/17865/12442/76464/18817/108907/209737/12428/18005/108000/20877/16551/73804/77782/20460/12021/17218/233406/110033/12449/15366/17219/20539/18973/12235/12190
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,200,-0.6150147964376844,-2.5956847976749207,1e-10,1e-9,6.31578947368421e-10,2834,"tags=48%, list=20%, signal=39%",56403/51797/218210/50927/103573/69263/17869/20878/20842/97165/15361/20833/140917/66471/12531/16647/69270/67967/233726/19076/20425/72107/17535/58184/24061/16765/16906/14056/12419/12649/13178/16201/69716/70472/66570/17121/66442/17220/70699/17216/56150/11799/67629/15201/106795/20873/70099/72391/12704/229841/19687/19360/76131/12534/66929/212377/20135/108961/19090/105988/54141/30939/21335/16881/16571/17345/17215/21973/26934/17279/103468/107995/12189/56419/52276/17865/12442/66622/68298/18817/14793/70218/218977/12447/20877/73804/12021/21877/17218/13433/110033/15366/17219/18973/12190/12236/12575
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,199,-0.5756118400384416,-2.432144149448617,1e-10,1e-9,6.31578947368421e-10,2245,"tags=43%, list=16%, signal=36%",78757/20740/381921/15185/76707/17925/101497/233276/13589/232533/328580/277360/24061/11308/16906/13424/226407/11350/53860/214444/13998/227800/74018/213498/16328/224014/108903/108686/22350/269713/11799/74470/240641/22330/18080/236266/13605/16569/22137/70099/171207/16319/18536/229841/21844/19687/75786/12534/320191/12488/75547/12125/71819/105988/54126/242687/16571/208084/67052/72119/21973/26934/208628/26403/192176/26920/12442/17886/18817/108907/209737/18005/218977/108000/16551/73804/68743/94176/71602/233406/110033/17318/70799/12235/12190
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,196,0.5407751949285519,2.2188037926036803,1e-10,1e-9,6.31578947368421e-10,2448,"tags=33%, list=18%, signal=27%",70316/68202/66152/66594/14778/66148/66142/20655/19285/68349/110826/16922/625249/27362/22272/103172/66916/29864/66445/22340/13120/22190/110391/66052/11600/20324/22117/28080/17448/12868/13602/66447/20887/23945/13202/67680/67247/69721/12861/22057/11363/13197/235339/11836/26379/216820/19376/12896/11861/27047/19043/11757/67914/15107/12819/12359/11512/12053/52538/17713/67834/209378/13850/51798
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,173,-0.4911360241764034,-2.041334497885493,1.6348922736948987e-8,1.3624102280790824e-7,8.60469617734157e-8,2581,"tags=34%, list=19%, signal=28%",320207/18174/54123/17069/15945/21857/11303/56696/19164/52118/50778/13732/14367/18033/15894/12227/108078/19734/321019/218215/11308/12986/20698/20529/54598/54199/17096/16174/15975/12506/11987/19106/18438/19267/11988/21939/216799/19204/17387/20343/20354/21938/269346/67972/16197/23845/21897/18439/20288/12267/13058/24088/12977/18793/12475/16402/13733/16154/12575
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,187,-0.38878369075247854,-1.6269152101052546,9.637106499948945e-5,6.883647499963532e-4,4.347566842082231e-4,2711,"tags=33%, list=20%, signal=27%",17869/16410/11520/21817/22634/15945/12048/12043/67547/11746/66395/384009/22247/12505/19347/21941/15900/12524/100604/18671/19734/21943/13730/15258/225010/11658/18755/12506/16004/17913/72729/16403/229521/12367/18810/23959/59026/18438/20947/69863/23834/18605/20527/20343/21844/18186/21938/94185/20430/18550/170743/20750/12977/12447/14064/17979/16001/12833/71602/14744/16154/18986
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,141,0.44198621006467914,1.7363681046295967,1.1436242271311905e-4,7.14765141956994e-4,4.5143061597283833e-4,3500,"tags=39%, list=25%, signal=29%",73724/17025/270076/66925/18207/11522/56690/66052/13177/22276/22361/17448/23945/14373/11992/12351/11363/20194/11758/20916/68263/12896/67956/15107/171210/76238/22235/13180/52538/14194/51798/15446/109857/68728/11832/20520/15159/381045/17319/12408/17449/56451/16828/22629/68021/12349/11674/23986/15505/12040/15360/57436/11364/11529/12908
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,95,-0.463808106311597,-1.7594314516902185,1.921775179778242e-4,0.0010676528776545789,6.743070806239446e-4,4213,"tags=57%, list=30%, signal=40%",319236/243771/100038882/231712/12362/16423/67775/65972/67168/17454/22169/24110/71586/246730/71701/67138/69550/229003/17858/15959/16190/80861/109032/58185/108670/54123/17069/209086/20821/15958/15945/56417/21354/23960/80285/211329/12799/100121/231655/12370/234311/13709/547253/74157/74153/54199/53312/19106/15018/19039/20343/217069/12977/74735
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,146,0.43061305615801704,1.693410653864947,2.7477842259655355e-4,0.0013738921129827677,8.677213345154322e-4,2272,"tags=29%, list=16%, signal=25%",17749/70456/12856/69920/59022/625249/79059/235459/69833/56438/66979/330959/66467/66464/24075/20018/68969/13870/66162/20022/56334/14923/67710/69870/22088/68240/66136/66420/74167/20930/20021/110074/27369/16434/18970/108143/56436/21681/66406/99730/13135/11512/21357
