ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
mmu00190,Oxidative phosphorylation,112,0.8692147587991469,3.309754218307725,1e-10,2.7500000000000002e-9,1.8771929824561406e-9,737,"tags=64%, list=5%, signal=61%",Ndufab1/Cox8b/Ndufa3/Atp5me/Cox7a1/Cox7c/Cox6c/Ndufa5/Ndufb1/Ndufa7/Uqcrb/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Cox17/Ndufb3/Cox5b/Ndufb8/Ndufa2/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Atp5mf/Ndufa13/Ppa2/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Ndufb7/Atp5f1d/Atp6v1g1/Ndufb11/Cox11/Cox4i2/Cycs/Cyc1/Sdhd/Ndufa11/Cox6b2/Ndufs7/Atp5mc1/Sdhc/Atp5mc2
mmu04714,Thermogenesis,195,0.7415877977232558,3.003525001416001,1e-10,2.7500000000000002e-9,1.8771929824561406e-9,1561,"tags=50%, list=11%, signal=45%",Ndufab1/Cox8b/Ndufa3/Atp5me/Cox7a1/Cox7c/Cox6c/Ndufa5/Ndufb1/Ndufa7/Uqcrb/Cox6b1/Atp5pf/Cox5a/Cox20/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Ndufaf2/Cox17/Ndufb3/Cox5b/Ndufb8/Ndufa2/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Cnr1/Ndufc2/Atp5mg/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Atp5mf/Ndufa13/Cox7a2l/Cox16/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Ndufb7/Coa6/Atp5f1d/Ndufb11/Cox11/Cox4i2/Ndufaf6/Cyc1/Sdhd/Ndufa11/Cox6b2/Ndufs7/Atp5mc1/Ndufaf5/Sdhc/Atp5mc2/Cox14/Ndufa10/Prkag2/Atp5f1a/Atp5po/Gnas/Cox19/Cox8a/Hras/Coa3/Mgll/Ndufs8/Sdhb/Prdm16/Ndufaf3/Cpt1b/Ndufaf1/Cox6a1/Ndufa4l2/Ndufs2/Smarcb1
mmu05415,Diabetic cardiomyopathy,181,0.7369433368014837,2.9559895033514874,1e-10,2.7500000000000002e-9,1.8771929824561406e-9,748,"tags=39%, list=5%, signal=37%",Ndufab1/Cox8b/Ndufa3/Cox7a1/Cox7c/Cox6c/Ndufa5/Ndufb1/Ndufa7/Uqcrb/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Mpc2/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Ndufb3/Mcpt4/Cox5b/Ndufb8/Ndufa2/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Ndufa13/Cma1/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Ndufb7/Mpc1/Atp5f1d/Ndufb11/Cox4i2/Cyc1/Sdhd/Ndufa11/Cox6b2/Ndufs7/Ppif/Atp5mc1/Sdhc/Atp5mc2/Slc25a4
mmu05012,Parkinson disease,230,0.7144398357446446,2.9455392274326275,1e-10,2.7500000000000002e-9,1.8771929824561406e-9,1554,"tags=43%, list=11%, signal=39%",Ndufab1/Cox8b/Ndufa3/Cox7a1/Cox7c/Cox6c/Ndufa5/Ndufb1/Ndufa7/Uqcrb/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Sod1/Ndufb3/Cox5b/Ndufb8/Ndufa2/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Ndufa13/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Ndufb7/Txn2/Sem1/Atp5f1d/Ndufb11/Cox4i2/Cycs/Cyc1/Sdhd/Ndufa11/Cox6b2/Ndufs7/Maob/Slc18a2/Ppif/Tuba1a/Pink1/Ubc/Atp5mc1/Uba52/Sdhc/Txn1/Atp5mc2/Slc25a4/Xbp1/Ddit3/Atf4/Calml4/Ndufa10/Psma6/Atp5f1a/Atp5po/Vdac1/Gnas/Cox8a/Psma3/Tubb4b/Ndufs8/Sdhb/Mfn2/Gnai1/Psma2/Cox6a1/Ndufa4l2/Ndufs2/Septin5
mmu04932,Non-alcoholic fatty liver disease,142,0.744730260124071,2.9205758302837976,1e-10,2.7500000000000002e-9,1.8771929824561406e-9,946,"tags=44%, list=7%, signal=41%",Ndufab1/Cox8b/Ndufa3/Cox7a1/Cox7c/Cox6c/Ndufa5/Ndufb1/Ndufa7/Uqcrb/Cox6b1/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Ndufb10/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Ndufb3/Cox5b/Ndufb8/Ndufa2/Cox4i1/Ndufa12/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Ndufa13/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Ndufb7/Ndufb11/Cox4i2/Cycs/Cyc1/Sdhd/Ndufa11/Cox6b2/Ndufs7/Sdhc/Xbp1/Ddit3/Atf4/Ndufa10/Prkag2
mmu05208,Chemical carcinogenesis - reactive oxygen species,194,0.7188512143964966,2.909005968096858,1e-10,2.7500000000000002e-9,1.8771929824561406e-9,1174,"tags=41%, list=8%, signal=38%",Ndufab1/Cox8b/Ndufa3/Cox7a1/Cox7c/Cox6c/Ndufa5/Ndufb1/Ndufa7/Uqcrb/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Vegfa/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Gstt1/Sod1/Ndufb3/Cox5b/Ndufb8/Ndufa2/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Ndufa13/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Ndufb7/Atp5f1d/Ndufb11/Cox4i2/Cyc1/Sdhd/Cyp2f2/Ndufa11/Cox6b2/Ndufs7/Ppif/Nox4/Atp5mc1/Sdhc/Atp5mc2/Slc25a4/Sod2/Ndufa10/Atp5f1a/Atp5po/Vdac1/Nqo1/Cox8a/Mgst3/Hras
mmu05020,Prion disease,230,0.7023965000901365,2.8958861764342636,1e-10,2.7500000000000002e-9,1.8771929824561406e-9,1004,"tags=36%, list=7%, signal=34%",C7/Ndufab1/Cox8b/Ndufa3/Cox7a1/Cox7c/Cox6c/Ndufa5/Ndufb1/Ndufa7/Uqcrb/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Sod1/Ndufb3/Cox5b/Ndufb8/Ndufa2/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Ccl5/Ndufa13/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Ndufb7/Sem1/Atp5f1d/Ndufb11/Csnk2b/Cox4i2/Cycs/Cyc1/Sdhd/Ndufa11/Cox6b2/Ndufs7/Csnk2a1/Ppif/Tuba1a/Casp12/Atp5mc1/Sdhc/Atp5mc2/Slc25a4/Ddit3/Atf4/Ndufa10/Psma6/Atp5f1a/Atp5po/Vdac1
mmu05016,Huntington disease,252,0.6759697223905732,2.8155791105964885,1e-10,2.7500000000000002e-9,1.8771929824561406e-9,1004,"tags=34%, list=7%, signal=32%",Ndufab1/Cox8b/Ndufa3/Cox7a1/Cox7c/Cox6c/Ndufa5/Ndufb1/Ndufa7/Uqcrb/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Polr2k/Atp5mc3/Gpx3/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Sod1/Ndufb3/Cox5b/Ndufb8/Ndufa2/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Ndufb6/Polr2i/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Ndufa13/Cox7a2l/Ndufa8/Uqcrq/Ndufb2/Atp5pd/Ndufb7/Polr2f/Sem1/Atp5f1d/Ndufb11/Cox4i2/Cycs/Cyc1/Sdhd/Ndufa11/Cox6b2/Ndufs7/Ppif/Tuba1a/Atp5mc1/Sdhc/Atp5mc2/Slc25a4/Taf4/Sod2/Hdac2/Polr2j/Polr2l/Ndufa10/Psma6/Polr2g/Atp5f1a/Atp5po/Vdac1
mmu04723,Retrograde endocannabinoid signaling,107,0.699985054263959,2.6533716624970625,1e-10,2.7500000000000002e-9,1.8771929824561406e-9,541,"tags=35%, list=4%, signal=33%",Ndufab1/Ndufa3/Ndufa5/Ndufb1/Ndufa7/Ndufs6/Ndufc1/Ndufa4/Ndufa1/Ndufb10/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Ndufb3/Ndufb8/Ndufa2/Ndufa12/Ndufv2/Cnr1/Ndufc2/Ndufb6/Gng5/Ndufb9/Ndufs3/Ndufb5/Ndufa13/Ndufa8/Ndufb2/Ndufb7/Ndufb11/Ndufa11/Ndufs7/Gng11
mmu05014,Amyotrophic lateral sclerosis,296,0.6201478641565018,2.6231580941020116,1e-10,2.7500000000000002e-9,1.8771929824561406e-9,1670,"tags=34%, list=12%, signal=31%",Ndufab1/Cox8b/Ndufa3/Cox7a1/Cox7c/Cox6c/Ndufa5/Ndufb1/Ndufa7/Uqcrb/Cox6b1/Atp5pf/Cox5a/Ndufs6/Uqcr10/Ndufc1/Ndufa4/Cox7a2/Ndufa1/Uqcrh/Uqcr11/Atp5f1e/Ndufb10/Atp5mc3/Gpx3/Ndufs5/Ndufs4/Ndufb4/Ndufb4c/Ndufb4b/Ndufa6/Ndufv3/Cox7b/Sod1/Ndufb3/Cox5b/Ndufb8/Ndufa2/Cox4i1/Ndufa12/Atp5pb/Ndufv2/Ndufc2/Ndufb6/Ndufb9/Ndufs3/Ndufb5/Uqcrfs1/Ndufa13/Cox7a2l/Ndufa8/Chmp2b/Uqcrq/Ndufb2/Atp5pd/Chchd10/Ndufb7/Sem1/Atp5f1d/Ubqln2/Ndufb11/Cox4i2/Cycs/Cyc1/Sdhd/Ndufa11/Cox6b2/Ndufs7/Atxn2/Tuba1a/Pink1/Casp12/Atp5mc1/Sdhc/Atp5mc2/Xbp1/Ddit3/Tomm40l/Atf4/Ndufa10/Psma6/Atp5f1a/Atp5po/Vdac1/Cox8a/Psma3/Rac1/Tubb4b/Ndufs8/Sdhb/Alyref2/Map1lc3a/Nrbf2/Nup35/Psma2/Cox6a1/Ndufa4l2/Ndufs2/Ang/Vapb/Psma7/Psmb1
