gene_id,gene_name,cDC1_TNFa_1,cDC1_TNFa_2,cDC1_TNFa_3,cDC1_un_1,cDC1_un_2,cDC1_un_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000000278.11,Scpep1,14295,13706,14247,4071,4383,4155,15028.875476435516,1.7232150467571892,0.044509659042541526,0,0,Up
ENSMUSG00000000303.14,Cdh1,8969,8478,8648,668,709,641,2705.427698145604,3.6730923339628188,0.050733380271770684,0,0,Up
ENSMUSG00000001020.9,S100a4,12617.62,11099.411,12067,426,472,458,4245.545350711025,4.697042437413992,0.1062552654613021,0,0,Up
ENSMUSG00000001403.14,Ube2c,326,310.987,335,2314,2571,2533.999,1281.44223794553,-2.9463102953401266,0.07283494599878408,0,0,Down
ENSMUSG00000002845.15,Tmem39a,9472.999,10173,10179.002,558.999,595.001,553,4864.794739848374,4.104691286609984,0.0983856102098015,0,0,Up
ENSMUSG00000002983.19,Relb,29597,30082.002,30829.999,1195,1439.999,1134,16155.14177653136,4.566243109165744,0.10842813641950651,0,0,Up
ENSMUSG00000003352.15,Cacnb3,48004.001,52008,53761,457,453,408,33524.78588690882,6.8345526935967555,0.1448250490513259,0,0,Up
ENSMUSG00000003541.7,Ier3,3886,3739,4032,71,69,70,1846.3207779118673,5.768684149165294,0.11579831301119245,0,0,Up
ENSMUSG00000004040.17,Stat3,26945,26906,27948.001,5169.002,5878.999,5188,18575.74812119366,2.312197092906073,0.05785184991896585,0,0,Up
ENSMUSG00000004296.15,Il12b,25110,23558,24636,163,209,184,26214.284194836204,7.015898761975516,0.12226330150136423,0,0,Up
ENSMUSG00000006398.16,Cdc20,353,299,324,2642.996,2967,2860.991,1459.642884743877,-3.1318721858284304,0.07599794608048191,0,0,Down
ENSMUSG00000007659.19,Bcl2l1,6371,6403,6752.001,1056,1074.999,1034,4207.507827048965,2.603221176342245,0.05271880520455043,0,0,Up
ENSMUSG00000007872.4,Id3,1010,934,996,22445.001,26199,24262,7634.694135915266,-4.648410926986767,0.05707762213811544,0,0,Down
ENSMUSG00000015312.10,Gadd45b,31308.001,31299,34050,242.999,264.999,252,18891.31631225641,6.957330028367851,0.14955603359013356,0,0,Up
ENSMUSG00000015837.16,Sqstm1,47947.001,46558,50415,13254,13700.999,12572,42047.28148254799,1.8538015039414697,0.03825369446791301,0,0,Up
ENSMUSG00000015944.10,Castor2,5936,6051,6254,217,240,216,4550.162379243791,4.737555011703059,0.10825128427675651,0,0,Up
ENSMUSG00000016494.10,Cd34,1520,1378,1537,13135.001,13978.001,13809.999,4355.1034193310325,-3.223617835286391,0.05585986846498296,0,0,Down
ENSMUSG00000016496.8,Cd274,13595,14769,14897,119,121,87,7925.751005751974,7.011826829594244,0.17533969954569198,0,0,Up
ENSMUSG00000017009.4,Sdc4,2704,2581,2767,116,116,109,1986.8226733048625,4.539357521452921,0.09091036048657432,0,0,Up
ENSMUSG00000017652.17,Cd40,23692.001,22621.999,24236.998,175.999,184,180,8457.287326971227,7.001141223266395,0.1174145415674434,0,0,Up
ENSMUSG00000019188.17,H13,4449.999,4175,4128.999,11204,12196,11278.999,6828.729469242369,-1.459691992203418,0.037424728146365493,0,0,Down
ENSMUSG00000019850.12,Tnfaip3,49617,45546,48789,1587.999,1606.999,1675.999,17416.01725728454,4.860088366147644,0.08828183807077679,0,0,Up
ENSMUSG00000020023.19,Tmcc3,6009,6326.001,6348,97.999,86,72,4192.090319694706,6.16016230118634,0.13880878571030555,0,0,Up
ENSMUSG00000020178.7,Adora2a,4980,5041.001,5100,44,46,57,2888.209154210053,6.6485841633245615,0.1612242085126784,0,0,Up
ENSMUSG00000020400.18,Tnip1,12314.002,11699,12716.999,1492.002,1658.999,1584,7748.788076245326,2.934300583404147,0.052047769433224735,0,0,Up
ENSMUSG00000020589.18,Cyria,11354,11499.001,11840.001,284,349,277,5417.780867206754,5.232928696033817,0.09333437671653481,0,0,Up
ENSMUSG00000020798.15,Spns3,2246,2042.001,2168,112,137,118,988.0500195981092,4.114122902857907,0.10101967948673723,0,0,Up
ENSMUSG00000020914.18,Top2a,4216,3902,3896.001,12904.001,14076,13571.999,7365.261734587515,-1.7717795949136337,0.04542852076711185,0,0,Down
ENSMUSG00000021025.9,Nfkbia,38462,36197,39083,2951,3494,3036,17670.63913759099,3.563147368865034,0.08895337863233803,0,0,Up
ENSMUSG00000021280.10,Exoc3l4,3891,3952,4180,147,138,151,2084.5555900208055,4.76060134585333,0.10433524160926233,0,0,Up
ENSMUSG00000021843.18,Ktn1,10238.999,10059.002,10168,1090,1192,1001.999,7187.239683866315,3.1938403648469,0.06146647290459862,0,0,Up
ENSMUSG00000022037.16,Clu,6569,6531.999,7050,13,12,16,2233.9268363313813,8.877271732126513,0.23104756731413956,0,0,Up
ENSMUSG00000022257.5,Laptm4b,5800.999,5635.001,5827.997,831,970,945,7943.941739433562,2.6305095286044122,0.05772306618294966,0,0,Up
ENSMUSG00000022280.10,Rnf19a,7180,7274,7465.999,1292,1459,1218,3326.5125872646436,2.44585754715593,0.05319496742736489,0,0,Up
ENSMUSG00000022799.5,Arhgap31,15913.001,16108,16571,1627,1803,1576,8888.052263948928,3.2595145158848444,0.0578063029040788,0,0,Up
ENSMUSG00000022817.16,Itgb5,2096,2048,2183.903,214.999,230.999,215.062,1345.704030815375,3.2369657690759683,0.0717665381601547,0,0,Up
ENSMUSG00000022876.19,Samsn1,14166.999,14264,14994,296,306,264,9509.886642333759,5.621962691686597,0.12561045099944498,0,0,Up
ENSMUSG00000022994.10,Adcy6,26241,27613.002,26951,212.999,246,196.999,17676.70475364398,6.918485830537525,0.12829559937017723,0,0,Up
ENSMUSG00000023015.15,Racgap1,1352.999,1289,1318,5926.91,6556.979,6340.972,3159.2412114273625,-2.264489395659895,0.054519089965120456,0,0,Down
ENSMUSG00000023032.13,Slc4a8,6163,6354,6531,122.999,130,107,5360.743780621326,5.702478351669696,0.10417825037572152,0,0,Up
ENSMUSG00000023067.15,Cdkn1a,44691.999,43278,45120.001,2326,2444,2310,31319.74123793105,4.213152885325214,0.03707239524768372,0,0,Up
ENSMUSG00000023249.16,Parp3,2866.001,2789,2920,599,699,590,2729.0058779865362,2.162777794341568,0.05413188870173772,0,0,Up
ENSMUSG00000023367.15,Tmem176a,6360,5917,6627,217,224.001,257,4943.442278962577,4.735259773828332,0.08712148291043136,0,0,Up
ENSMUSG00000023495.14,Pcbp4,6382.998,6447.998,6778.001,114,114,122,4780.699395099972,5.785443375207574,0.088662804074098,0,0,Up
ENSMUSG00000023903.9,Mmp25,38224.001,38348,41143,719.001,800,725,19807.259664050176,5.689707560036759,0.10354783894225754,0,0,Up
ENSMUSG00000024014.9,Pim1,53140.001,51596,53473.001,6388,6744,5985.001,29775.201520996936,3.0270947574337024,0.06588027376233155,0,0,Up
ENSMUSG00000025225.16,Nfkb2,28807,28160,29787,2745,3080.999,2666,16520.346904741982,3.3308431534710903,0.08405868608773073,0,0,Up
ENSMUSG00000025279.8,Dnase1l3,15237,13701,14749,457,516,519,4884.930325809621,4.848123395027015,0.09291281166500498,0,0,Up
ENSMUSG00000025321.15,Itgb8,3103,3086,3016,33,33,18,960.838100235623,6.740185820979502,0.16892121817363118,0,0,Up
ENSMUSG00000025351.15,Cd63,15139.752,15070.507,14526.761,364.994,446.986,382.992,22455.541210233634,5.207770912920507,0.0633934826253176,0,0,Up
ENSMUSG00000025583.17,Rptor,5367,5449.999,5683.001,1271,1303,1266,3519.1121964672116,2.0812171896981644,0.05167136061269287,0,0,Up
ENSMUSG00000025969.16,Nrp2,5539.999,5604,5786.002,58,68,67,7100.520614918564,6.429140010635571,0.11388807309325924,0,0,Up
ENSMUSG00000026203.17,Dnajb2,2997,2953.999,2942.001,505.001,534.001,492,2494.632994161887,2.515651246154415,0.06303010416356288,0,0,Up
ENSMUSG00000026421.15,Csrp1,27566,26611,29702,5072,5463,5323,23157.016520985107,2.380096847208091,0.055681001320677354,0,0,Up
ENSMUSG00000026605.15,Cenpf,293,290,266,2337,2465,2293,1084.540597959114,-3.0760040997603677,0.0794802160935923,0,0,Down
ENSMUSG00000026656.16,Fcgr2b,103.877,89.906,108.001,3634.401,4018.713,3627.863,1300.4904532675666,-5.232216997044686,0.1346614507683283,0,0,Down
ENSMUSG00000026797.17,Stxbp1,3983.001,3925.999,3969,177,226,199,2572.794685851164,4.281915400623032,0.08820758785605408,0,0,Up
ENSMUSG00000026875.15,Traf1,20100,19704.001,20931,704,707.999,667,15192.763072622292,4.843023250256219,0.1144289541443595,0,0,Up
ENSMUSG00000027078.15,Ube2l6,9487,8817.999,9648,1029,1131,1039,5666.0296230543545,3.1051415944614367,0.06628035041453867,0,0,Up
ENSMUSG00000027276.8,Jag1,5194,5062,5308,29,36,21,2017.9277192944185,7.462284281510592,0.16755332964114836,0,0,Up
ENSMUSG00000027331.16,Knstrn,402.001,421.002,419,2146.999,2456.999,2219.999,1195.1795627474785,-2.4704296311775176,0.06415819927002052,0,0,Down
ENSMUSG00000027398.14,Il1b,6770,6594,6870.001,43,55,47,5213.638695451649,7.089735623828965,0.16179861700652426,0,0,Up
ENSMUSG00000027452.12,Acss1,451,414,421,5053.001,5466,5134,1829.3915866961754,-3.6197063860203404,0.08840311183326088,0,0,Down
ENSMUSG00000027533.11,Fabp5,4420.869,4251.526,4501.123,443.054,466.995,443,3300.181779445008,3.2629994493262955,0.05282614511348063,0,0,Up
ENSMUSG00000027580.18,Helz2,26881,27956,27597,1279.001,1423,1158,22406.42379740207,4.3979679087465025,0.08247512695853611,0,0,Up
ENSMUSG00000027611.13,Procr,3366.001,3240,3450,61,72,62,1949.1977395443516,5.663768061196761,0.11161902885844371,0,0,Up
ENSMUSG00000027646.16,Src,4661.999,4828,4897.999,57,47,42,4134.281072454266,6.594775120550322,0.12757341602096808,0,0,Up
ENSMUSG00000027737.11,Slc7a11,3750,4090,3716,39,52,45,1643.8065460172713,6.3780745550101265,0.15525123728042842,0,0,Up
ENSMUSG00000028270.13,Gbp2,11798.686,11635.939,13196.913,74,107,81,7427.961289607653,7.094160151197937,0.1674139569198318,0,0,Up
ENSMUSG00000028341.10,Nr4a3,5634.001,5455,5862,93,67,86,7437.944490249984,6.076769236868862,0.122873420573971,0,0,Up
ENSMUSG00000028452.8,Vcp,43637.171,42383.435,43932.168,17614.145,19513.152,17838.987,33338.48033827232,1.222460841503391,0.026700445386709085,0,0,Up
ENSMUSG00000028480.15,Glipr2,13170,12953,13785,155,178,175,10453.816261812057,6.266697117349867,0.13271752473229448,0,0,Up
ENSMUSG00000028793.16,Rnf19b,27129,26287.999,26937.001,2507,2577,2505.001,14241.80355972106,3.379350936058352,0.08731367108952282,0,0,Up
ENSMUSG00000028838.12,Extl1,2902,3003,3061,25,47,35,1839.7018743661808,6.357625082429982,0.15582029930280175,0,0,Up
ENSMUSG00000029101.17,Rgs12,5827.999,6018.999,5829.999,581,670,583,3105.423911488778,3.2478838753189354,0.07701488067407272,0,0,Up
ENSMUSG00000029177.10,Cenpa,836.999,785.001,841,3631,3821.001,3356.999,1792.3711218226974,-2.1487192850611803,0.05048872841980434,0,0,Down
ENSMUSG00000029310.14,Nudt9,8595,8229.001,8621.001,1413,1538.999,1535.001,6167.284140790871,2.4816085535402244,0.049216244277638294,0,0,Up
ENSMUSG00000029484.13,Anxa3,12670.999,13097,13336.874,162,149,147,5099.312000072986,6.387284823257219,0.12293763219277865,0,0,Up
