ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0000793,condensed chromosome,117/3552,242/10761,0.4834710743801653,1.4647050201027474,5.13219230275735,4.1290636179460917e-7,2.696278542518798e-4,2.6121760361953695e-4,Cdc20/Top2a/Cenpf/Knstrn/Cenpa/Ncapd2/Birc5/Bub1b/Cenpe/Ccnb1/Smc4/Incenp/Aurkb/Ndc80/H2ax/Spag5/Sun2/Mad2l1/Plk1/Nek2/Spc24/Nuf2/Ncaph/Aurka/Spc25/Nsl1/Hmgb2/Knl1/Sgo2a/Cenpv/Ncapg/Hjurp/Kif2c/Sgo1/Bub1/Septin6/Ncaph2/Ttk/Cenpn/Ska1/Pmf1/Ska2/Cenpm/Zwilch/Kntc1/Psen1/Cenpi/Kif18a/Ercc6l/Hmgb1/Fancd2/Ska3/Chmp6/Rad51/Macroh2a1/Cenph/Cbx3/Smc2/Mki67/Dctn5/Cenpp/Cenpo/Kmt5c/Add3/Rcc1/Smc3/Phf10/Trappc12/Dync1li2/Stag3/Brca1/Cenpw/Smc1a/Firrm/Nsmce4a/Dsn1/Bub3/Ckap5/Mlh3/Ncapg2/Cdt1/Cenpt/Mad1l1/Brca2/Nup107/Cenpq/Cenpu/Rangap1/Cenpk/Cenps/Nup37/Cbx5/Topbp1/Nifk/Xlr/Rpa1/Zfp276/Nup133/Meaf6/Tubg1/Nsmce2/Cenpx/Msh5/Cenpc1/Nsmce1/Ncapd3/Top3b/Kifap3/Hus1/Cdk2/Rad9b/Blm/Rad1/Cebpb/Itgb3bp/Chek1/Psmc3ip,117
GO:0000794,condensed nuclear chromosome,35/3552,54/10761,0.6481481481481481,1.963604229229229,4.982723378190948,1.62389156757386e-6,5.302005968128653e-4,5.136625432167842e-4,Ncapd2/Smc4/Incenp/H2ax/Sun2/Plk1/Nek2/Ncaph/Ncapg/Ncaph2/Rad51/Smc2/Add3/Rcc1/Smc3/Stag3/Brca1/Smc1a/Mlh3/Ncapg2/Brca2/Topbp1/Nifk/Xlr/Rpa1/Tubg1/Msh5/Ncapd3/Kifap3/Hus1/Rad9b/Blm/Rad1/Chek1/Psmc3ip,35
GO:0000939,inner kinetochore,15/3552,17/10761,0.8823529411764706,2.673141891891892,4.845954537456819,3.837439917038728e-6,8.352827552754297e-4,8.092285579439563e-4,Cenpn/Cenpm/Cenpi/Cenph/Cenpp/Cenpo/Cenpw/Cenpt/Cenpq/Cenpu/Cenpk/Cenps/Cenpx/Cenpc1/Itgb3bp,15
GO:0036064,ciliary basal body,124/3552,271/10761,0.4575645756457565,1.3862197067916626,4.519979161708636,6.717725133831346e-6,0.0010966686280979674,0.0010624612645875368,Cenpf/Ncapd2/Bub1b/Kif11/Spag5/Nek2/Kif20b/Cep128/Aurka/Ckap2/Cep89/Mns1/Tacc3/Cip2a/Rrm1/Ift172/Ska1/Nedd9/Stil/Tbc1d31/Cntrob/Smad6/Cep68/Arl2bp/Cdc45/Cep19/Prkd3/Disc1/Ift81/Cep131/Ssna1/Wdr90/Cfap410/Poc1a/Arl3/Ccsap/Spice1/Enkd1/Cby1/Abcc3/Crocc/Acaa2/Ift122/Pcnt/Cep72/Hipk1/Ruvbl1/Slc1a5/Ift80/Adcy9/Cibar1/Ckap5/Pqbp1/Ttll4/Kif7/Cep152/Nme3/Spata7/Spaca9/Dync2li1/Fbf1/Cfap20/Wdr11/Tcea2/Cfap298/Cep20/Cep250/Ruvbl2/Lrrc45/4933427D14Rik/Gnai2/Cdk5rap2/Egfr/Cetn2/Nphp4/Haus3/Katnip/Gle1/Mical1/Ccdc14/Rpap3/Camsap3/Tubg1/Sema4d/Bbs2/Ncbp2/Nek4/Sclt1/Smad7/Pola2/Lca5/Dync2i2/Lrrk2/Rab28/Cep41/Rab11fip5/Jade1/Cep78/Kifap3/Sting1/Rab6b/Prkca/Cep44/Cspp1/Utrn/Odf2l/Poc1b/Ttll5/Rttn/Ccdc61/2700049A03Rik/Cilk1/Nme7/Dnaaf2/Bbs1/Ift88/Whrn/Wdr35/Rpgrip1l/Mks1/Bbs4/Kif17/Ttll11/Ttll1,124
GO:0000940,outer kinetochore,17/3552,22/10761,0.7727272727272727,2.341024262899263,4.4194798304095935,2.633228387028129e-5,0.0034389962734587363,0.0033317268644292753,Cenpf/Bub1b/Cenpe/Ccnb1/Ndc80/Plk1/Spc24/Nuf2/Spc25/Nsl1/Knl1/Bub1/Ska1/Pmf1/Ska2/Ska3/Dsn1,17
GO:0072686,mitotic spindle,81/3552,171/10761,0.47368421052631576,1.4350551209103841,4.025311199310606,5.9975818239808904e-5,0.0065273682184325355,0.006323766098618447,Racgap1/Knstrn/Kif23/Cenpe/Tpx2/Kif20a/Aspm/Kif11/Kif22/Aurkb/Nusap1/Kifc1/Kif18b/Spag5/Dlgap5/Mad2l1/Plk1/Ckap2l/Kif20b/Aurka/Prc1/Ckap2/Cd180/Cdk1/Tacc3/Gpsm2/Arhgap6/Kifc5b/Tubb4b/Ect2/Ska1/Tfdp2/Nedd9/Hepacam2/Kif18a/Fam83d/Ttc28/Ska3/Ptpn7/Haus4/Ccsap/Pkp4/Kat14/Map1s/Smc3/Sgf29/Haus1/Haus2/Smc1a/Nudc/Rmdn1/Ckap5/Rcc2/Tubb5/Haus5/Mad1l1/Cdc7/Cdc6/Agbl5/Ik/Rangap1/Wdr5/Kat2a/Espl1/Trappc14/Cdk5rap2/Cdc16/Haus3/Tubg1/Tmem9/Haus6/Nsmce1/Capg/Taf1d/Pycr3/Poldip2/Klhl22/Mbip/Ngrn/Aaas/Ift88,81
GO:0005657,replication fork,41/3552,75/10761,0.5466666666666666,1.6561599099099098,4.002559904644338,8.637803327266004e-5,0.007681590224606249,0.007441985532341993,H2ax/Hmces/E2f6/Prim1/Eme1/Rfc5/Rpa2/Mcm10/Polh/Pcna/Hltf/Zranb3/Pola1/Pold4/Tex264/Prpf19/Dnmt1/Brip1/Rfc2/Tipin/Ercc5/Pold2/Mms22l/Rfc4/Xrcc3/Timeless/Rpa1/Xrcc2/Rad51c/Etaa1/Helb/Pola2/Rfc3/Rad51d/Xpa/Wdhd1/Rad51b/Prim2/Blm/Rad18/Chek1,41
GO:0005819,spindle,162/3552,385/10761,0.42077922077922075,1.274776237276237,3.8538930364059127,9.410830290482388e-5,0.007681590224606249,0.007441985532341993,Cdc20/Racgap1/Cenpf/Knstrn/Kif23/Birc5/Bub1b/Cenpe/Ccnb1/Tpx2/Cdc25b/Kif20a/Cdca8/Aspm/Kif11/Incenp/Kif22/Aurkb/Hmmr/Nusap1/Unc119/Kifc1/Kif15/Myc/Kif18b/Spag5/Dlgap5/Mad2l1/Plk1/Ckap2l/Nek2/Kif20b/Kif14/Cep128/Aurka/Prc1/Ckap2/Cep89/Cd180/Fbxo5/Nsl1/Cenpv/Cdk1/Kif2c/Anapc5/Tacc3/Sgo1/Gpsm2/Arhgap6/Calm2/Kifc5b/Lemd2/Shcbp1/Septin6/Tubb4b/Ect2/Ska1/Tfdp2/Pmf1/Ska2/Dynlt1b/Rgs14/Nedd9/Hepacam2/Kntc1/Bora/Kif18a/Fam83d/Ttc28/Ccdc69/Ska3/Chmp6/Ptpn7/Cbx3/Cep19/Ccar2/Haus4/Calm3/Bmyc/Poc1a/Arl3/Diaph3/Ccsap/Tpt1/Haspin/Spice1/Pkp4/Enkd1/Ubxn2b/Kat14/Map1s/Smc3/Aunip/Sgf29/Haus1/Haus2/Smc1a/Ralbp1/Firrm/Dsn1/Nudc/Prpf19/Rmdn1/Klhl42/Ckap5/Rcc2/Ddx11/Tubb5/Mapk14/Haus5/Terf1/Mzt2/Mad1l1/Irag2/Cdc7/Cdc6/Agbl5/Ik/Rangap1/Wdr5/Kat2a/Nsun2/Fbf1/Topbp1/Espl1/Cep250/Trappc14/Katnb1/Nr3c1/Cdk5rap2/Cdc16/Haus3/Tubg1/Tmem9/Haus6/Nsmce1/Cbx1/Fry/Capg/Ctdp1/Taf1d/Wdr62/Pycr3/Mapk1ip1/Kifap3/Poldip2/Klhl22/Mbip/Cep44/Cep104/Cspp1/Tbccd1/Poc1b/Ccdc57/Psrc1/Ngrn/Wdr73/Cep95/Aaas/Septin1/Nme7/Ift88,162
GO:0005814,centriole,67/3552,140/10761,0.4785714285714286,1.4498612451737454,3.7606680106611714,1.7267059896841408e-4,0.012528211236263822,0.012137430407019515,Top2a/Birc5/Ccnf/Plk1/Cep128/Aurka/Cep89/Stard9/Cep55/Ccdc92/Stil/Tedc1/Cntrob/Cep19/Sass6/Ift81/Cep131/Ssna1/Wdr90/Poc1a/Ccsap/Spice1/Enkd1/Cby1/Crocc/Pcnt/Cep164/Cchcr1/Lrrcc1/Kif24/Cibar1/Cep152/Mdm1/Fbf1/Cep76/Cfap20/Cep20/Cep250/Cetn2/Nphp4/Gle1/Tubg1/Mphosph9/Ccp110/Cep97/Agbl3/Sclt1/Capg/Dync2i2/Wdr62/Cep41/Cep78/Cep44/Cep104/Odf2l/Poc1b/Tubd1/Rttn/Ccdc57/2700049A03Rik/Smo/Ppp1r35/Tedc2/Ift88/Mks1/Bbs4/Ccdc15,67
GO:0000775,"chromosome, centromeric region",103/3552,233/10761,0.44206008583690987,1.3392479120751655,3.6747458429572273,2.0631133469250292e-4,0.01347213015542044,0.013051906542125711,Cdc20/Top2a/Cenpf/Knstrn/Cenpa/Ncapd2/Birc5/Bub1b/Cenpe/Ccnb1/Smc4/Cdca8/Incenp/Aurkb/Ndc80/Spag5/Mad2l1/Plk1/Nek2/Mis18a/Spc24/Nuf2/Aurka/Spc25/Nsl1/Knl1/Sgo2a/Cenpv/Ncapg/Hjurp/Kif2c/Sgo1/Bub1/Mis18bp1/Esco2/Septin6/Ttk/Cenpn/Ska1/Pmf1/Ska2/Cenpm/Zwilch/Kntc1/Psen1/Cenpi/Kif18a/Ercc6l/Ska3/Chmp6/Macroh2a1/Cenph/Cbx3/Mki67/Dctn5/Cenpp/Cenpo/Kmt5c/Smc3/Ezh2/Phf10/Trappc12/Dync1li2/Stag3/Cenpw/Smc1a/Firrm/Dsn1/Oip5/Bub3/Dnmt1/Ppp2r5a/Ckap5/Rcc2/Cdt1/Cenpt/Mad1l1/Nup107/Cenpq/Cenpu/Pole3/Zfp512/Rangap1/Cenpk/H4c9/Cenps/Nup37/Cbx5/H2bc21/Zfp276/Nup133/Meaf6/Cenpx/Cenpc1/Nsmce1/Cbx1/Ncapd3/Ercc6l2/Wdhd1/Dscc1/Cebpb/Dnmt3b/Itgb3bp,103
