ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0038023,signaling receptor activity,314/6409,411/10555,0.7639902676399026,1.2582177055608008,6.638826827503952,5.060383377283901e-12,2.413802870964421e-9,2.2185786069881525e-9,Stat3/Il12b/Sqstm1/Sdc4/Cd40/Adora2a/Nrp2/Fcgr2b/Procr/Nr4a3/Cd69/Il21r/Il2rg/Tlr3/Ccr7/Ramp3/Sort1/Prnp/Kctd12/Adgre5/Oprd1/Lrp8/Ly75/Adgrg6/Cxcr3/Plxnd1/Acvrl1/Ptger3/Fzd1/Gpr55/Lgals3/P2rx7/Plxnc1/Tnfrsf9/Adora3/Tmigd3/Nod2/Itga2b/H2-Eb2/Ifnlr1/Scarb1/Ifih1/Nrg2/Axl/Il15ra/Hrh2/Itgam/Ccrl2/Ifngr1/Tlr11/Tlr1/Slamf8/Itga4/Nr4a2/Grin2d/Paqr7/Itga1/Flt4/Il4ra/Sigmar1/Vdr/Kdr/Cd180/Clec2i/Gpr162/Nptxr/Tnfrsf1b/Ccr2/Gpr65/Ifnar2/Rora/Clec2d/Il13ra1/Cd80/Clec7a/Cnr2/Spn/Hrh1/Palld/Plxna1/Ptger4/Itga5/Fas/Cd44/Itgb2/Adgra2/Gpr132/Nrp1/Lpar6/Tlr4/Ptprf/Gprc5a/Pecam1/Tnfrsf13c/Tmem63b/Pycard/Notch1/Cdon/Tnfrsf4/Ahr/Fcer1g/Lpar5/Amot/Klrd1/Il6ra/Met/Gpr171/Tmem63a/Itgax/Amfr/Kit/Cd72/Paqr8/Eng/Notch2/Ebi3/Fzd5/Cd200r1/Csf2rb/Pira2/Clec4a2/Ffar2/Tgfbr1/Rxra/S1pr1/Tnfrsf11a/Cd300a/Pglyrp2/Fcrl1/Ramp1/Il2ra/Cd36/S1pr4/Gpr141/Tas1r3/Csf2rb2/Ctsh/Clec4a4/P2ry1/Cd247/Rarg/Rack1/Mfsd6/P2ry14/P2ry6/Adgre1/Gpr34/Csf1r/P2ry2/Itgal/Cd226/Lrp1/Gpr4/Cd300c2/Erbb3/Vipr1/Gpr85/Cxcr4/Abca7/Lag3/Ffar4/Tgfbr2/Tspo/Gpr146/L1cam/Gpr82/Ogfrl1/Tlr2/Gpr35/Il20rb/Ddr1/Kremen2/Thra/Adgrl1/Gpr157/Itgb1/Itga8/Fcgr3/Ahrr/Tlr6/Lrp5/Fgfr1/Rgmb/Rxrb/Tex264/Lrp4/Rtn4rl1/Pirb/Cd302/S1pr2/Tnfrsf10b/Xcr1/Rigi/Cd93/Lpar3/Cd47/Calcrl/Notch4/Chrnb1/Clec4a1/Gpr160/Igf2r/Il3ra/P2rx4/Il6st/Cysltr1/Ighm/Ptger2/Nlrp1a/Ifngr2/Ccr5/Abhd2/Ptafr/Nr2f6/Slc39a9/Itga6/Or8b53/Tlr9/P2ry13/Nfam1/Unc13b/Treml4/Clec4n/Tlr12/Rara/Dcbld2/Extl3/Aim2/Cry1/C3ar1/Havcr2/Agtrap/Bmpr1a/Klrk1/Inpp5k/Tnfrsf1a/Il10ra/Adgrg5/Trim5/Nr3c1/Lrp6/Egfr/Antxr2/Tnfrsf18/Il7r/Ptch1/Kremen1/Nr4a1/Crlf2/Tlr13/Sema4d/Ryk/Adra1b/Pglyrp1/Lifr/Clec12a/Esrra/Nectin1/Lmbr1l/P2ry10b/Grin1/Itgav/Pira13/Klri1/Htr7/Tmem116/6030468B19Rik/Nr2c2/Nrxn2/Epha2/Gucy2c/Gpr68/Trem6l/Acvr2b/Thrb/Tas1r1/Acvr1b/Chadl/Smo/Nr1d1/Ccr9/Itga3/Cd300lf/Igf1r/Itgae/Grm1/Klri2/Klrb1b/Nr6a1/Trpv4/Tlr7/Ptgir/Reck/Neo1/Kiss1r/Il12rb2/Nod1/Gpr141b/Ptger1/Nradd/Mertk/Lilra6/Gpr18/Gprc5c/Cd4/Acvr2a/Gpr153/Clec1b/P2ry12/Adgrg3/Ccr1/Rarb/Grik5/Celsr2,314
GO:0060089,molecular transducer activity,314/6409,411/10555,0.7639902676399026,1.2582177055608008,6.638826827503952,5.060383377283901e-12,2.413802870964421e-9,2.2185786069881525e-9,Stat3/Il12b/Sqstm1/Sdc4/Cd40/Adora2a/Nrp2/Fcgr2b/Procr/Nr4a3/Cd69/Il21r/Il2rg/Tlr3/Ccr7/Ramp3/Sort1/Prnp/Kctd12/Adgre5/Oprd1/Lrp8/Ly75/Adgrg6/Cxcr3/Plxnd1/Acvrl1/Ptger3/Fzd1/Gpr55/Lgals3/P2rx7/Plxnc1/Tnfrsf9/Adora3/Tmigd3/Nod2/Itga2b/H2-Eb2/Ifnlr1/Scarb1/Ifih1/Nrg2/Axl/Il15ra/Hrh2/Itgam/Ccrl2/Ifngr1/Tlr11/Tlr1/Slamf8/Itga4/Nr4a2/Grin2d/Paqr7/Itga1/Flt4/Il4ra/Sigmar1/Vdr/Kdr/Cd180/Clec2i/Gpr162/Nptxr/Tnfrsf1b/Ccr2/Gpr65/Ifnar2/Rora/Clec2d/Il13ra1/Cd80/Clec7a/Cnr2/Spn/Hrh1/Palld/Plxna1/Ptger4/Itga5/Fas/Cd44/Itgb2/Adgra2/Gpr132/Nrp1/Lpar6/Tlr4/Ptprf/Gprc5a/Pecam1/Tnfrsf13c/Tmem63b/Pycard/Notch1/Cdon/Tnfrsf4/Ahr/Fcer1g/Lpar5/Amot/Klrd1/Il6ra/Met/Gpr171/Tmem63a/Itgax/Amfr/Kit/Cd72/Paqr8/Eng/Notch2/Ebi3/Fzd5/Cd200r1/Csf2rb/Pira2/Clec4a2/Ffar2/Tgfbr1/Rxra/S1pr1/Tnfrsf11a/Cd300a/Pglyrp2/Fcrl1/Ramp1/Il2ra/Cd36/S1pr4/Gpr141/Tas1r3/Csf2rb2/Ctsh/Clec4a4/P2ry1/Cd247/Rarg/Rack1/Mfsd6/P2ry14/P2ry6/Adgre1/Gpr34/Csf1r/P2ry2/Itgal/Cd226/Lrp1/Gpr4/Cd300c2/Erbb3/Vipr1/Gpr85/Cxcr4/Abca7/Lag3/Ffar4/Tgfbr2/Tspo/Gpr146/L1cam/Gpr82/Ogfrl1/Tlr2/Gpr35/Il20rb/Ddr1/Kremen2/Thra/Adgrl1/Gpr157/Itgb1/Itga8/Fcgr3/Ahrr/Tlr6/Lrp5/Fgfr1/Rgmb/Rxrb/Tex264/Lrp4/Rtn4rl1/Pirb/Cd302/S1pr2/Tnfrsf10b/Xcr1/Rigi/Cd93/Lpar3/Cd47/Calcrl/Notch4/Chrnb1/Clec4a1/Gpr160/Igf2r/Il3ra/P2rx4/Il6st/Cysltr1/Ighm/Ptger2/Nlrp1a/Ifngr2/Ccr5/Abhd2/Ptafr/Nr2f6/Slc39a9/Itga6/Or8b53/Tlr9/P2ry13/Nfam1/Unc13b/Treml4/Clec4n/Tlr12/Rara/Dcbld2/Extl3/Aim2/Cry1/C3ar1/Havcr2/Agtrap/Bmpr1a/Klrk1/Inpp5k/Tnfrsf1a/Il10ra/Adgrg5/Trim5/Nr3c1/Lrp6/Egfr/Antxr2/Tnfrsf18/Il7r/Ptch1/Kremen1/Nr4a1/Crlf2/Tlr13/Sema4d/Ryk/Adra1b/Pglyrp1/Lifr/Clec12a/Esrra/Nectin1/Lmbr1l/P2ry10b/Grin1/Itgav/Pira13/Klri1/Htr7/Tmem116/6030468B19Rik/Nr2c2/Nrxn2/Epha2/Gucy2c/Gpr68/Trem6l/Acvr2b/Thrb/Tas1r1/Acvr1b/Chadl/Smo/Nr1d1/Ccr9/Itga3/Cd300lf/Igf1r/Itgae/Grm1/Klri2/Klrb1b/Nr6a1/Trpv4/Tlr7/Ptgir/Reck/Neo1/Kiss1r/Il12rb2/Nod1/Gpr141b/Ptger1/Nradd/Mertk/Lilra6/Gpr18/Gprc5c/Cd4/Acvr2a/Gpr153/Clec1b/P2ry12/Adgrg3/Ccr1/Rarb/Grik5/Celsr2,314
GO:0004888,transmembrane signaling receptor activity,211/6409,273/10555,0.7728937728937729,1.2728809132304217,5.679429532566584,2.9879981513603257e-9,9.501834121325835e-7,8.73334196520404e-7,Il12b/Adora2a/Nrp2/Fcgr2b/Cd69/Il21r/Il2rg/Tlr3/Ccr7/Ramp3/Sort1/Kctd12/Adgre5/Oprd1/Lrp8/Adgrg6/Cxcr3/Plxnd1/Acvrl1/Ptger3/Fzd1/Gpr55/P2rx7/Plxnc1/Adora3/Tmigd3/H2-Eb2/Ifnlr1/Nrg2/Axl/Il15ra/Hrh2/Ccrl2/Ifngr1/Tlr1/Grin2d/Flt4/Il4ra/Sigmar1/Kdr/Clec2i/Gpr162/Nptxr/Tnfrsf1b/Ccr2/Gpr65/Ifnar2/Clec2d/Il13ra1/Cnr2/Spn/Hrh1/Palld/Plxna1/Ptger4/Fas/Cd44/Itgb2/Adgra2/Gpr132/Nrp1/Lpar6/Tlr4/Ptprf/Gprc5a/Pecam1/Tmem63b/Notch1/Tnfrsf4/Fcer1g/Lpar5/Klrd1/Il6ra/Met/Gpr171/Tmem63a/Kit/Cd72/Ebi3/Fzd5/Csf2rb/Pira2/Ffar2/Tgfbr1/S1pr1/Tnfrsf11a/Cd300a/Ramp1/Il2ra/S1pr4/Gpr141/Tas1r3/Csf2rb2/Ctsh/P2ry1/Cd247/Mfsd6/P2ry14/P2ry6/Adgre1/Gpr34/Csf1r/P2ry2/Itgal/Gpr4/Cd300c2/Erbb3/Vipr1/Gpr85/Cxcr4/Abca7/Lag3/Ffar4/Tgfbr2/Gpr146/L1cam/Gpr82/Tlr2/Gpr35/Il20rb/Ddr1/Kremen2/Adgrl1/Gpr157/Fcgr3/Tlr6/Lrp5/Fgfr1/Pirb/S1pr2/Tnfrsf10b/Xcr1/Lpar3/Calcrl/Chrnb1/Gpr160/Il3ra/P2rx4/Il6st/Cysltr1/Ighm/Ptger2/Ifngr2/Ccr5/Ptafr/Slc39a9/Or8b53/P2ry13/Nfam1/C3ar1/Havcr2/Agtrap/Bmpr1a/Klrk1/Inpp5k/Tnfrsf1a/Il10ra/Adgrg5/Lrp6/Egfr/Antxr2/Tnfrsf18/Il7r/Ptch1/Kremen1/Crlf2/Sema4d/Ryk/Adra1b/Lifr/Clec12a/Lmbr1l/P2ry10b/Grin1/Pira13/Klri1/Htr7/Tmem116/6030468B19Rik/Nrxn2/Epha2/Gpr68/Acvr2b/Tas1r1/Acvr1b/Smo/Ccr9/Cd300lf/Igf1r/Grm1/Klri2/Trpv4/Ptgir/Kiss1r/Il12rb2/Gpr141b/Ptger1/Nradd/Mertk/Lilra6/Gpr18/Gprc5c/Cd4/Acvr2a/Gpr153/Clec1b/P2ry12/Adgrg3/Ccr1/Grik5/Celsr2,211
GO:0030545,signaling receptor regulator activity,130/6409,171/10555,0.7602339181286549,1.2520313630594404,4.131039385026547,1.4733478284696458e-5,0.003513934570900105,0.0032297335292505655,S100a4/Il12b/Cd274/Clu/Jag1/Il1b/Src/Ccl22/Ccl5/Sema7a/Pvr/Agrn/H2-Q7/H2-Q6/H2-M2/Nampt/H2-Q4/Sema4b/Lgals3/Ltb/Efnb2/Nrg2/Insl6/Tnfsf9/Itpripl1/Cx3cl1/Cxcl16/Wnt11/H2-K1/Cmtm3/Cdc42ep2/Lgals1/Ccl9/Pde4d/Il1rn/Jak2/Flrt3/Hmgb2/Il18/Tnf/Sema4f/Il16/H2-D1/Fbrs/Cd80/Sema6d/Nectin2/Gmfg/Tnfsf8/Osgin1/Cxcl2/Csf1/App/Cmtm7/Apoe/Ccl6/Dll4/Eng/Ebi3/Cd86/Cxcl9/Gpi1/Ly6i/Vegfa/Hmgb1/Sema4c/Cxcl10/Fkbp1a/Il15/Fn1/P2ry1/Nbl1/Ly6c2/Bmp1/H2-Q10/Prkce/Lyn/Grn/Dkkl1/Cd48/Enho/Osgin2/Sema3f/Ptk2b/Metrn/Tnfrsf14/Dut/Icosl/C3/Wnt9a/Vegfb/Fgf13/Pdgfb/Hspa1a/Lrpap1/Tnfsf12/Flt3l/Sema4a/Nmb/C1qtnf12/Cklf/Hdgf/Crlf2/Sema4d/Pglyrp1/Clec12a/Spp1/Metrnl/Chlsn/Jag2/Gpnmb/Ly6e/Tgfb1/6030468B19Rik/Mdk/Cmtm8/Wnt6/Plau/Cdnf/Tnfsf13/Cd320/C1qtnf4/Lynx1/Clcf1/Cntf/Hdgfl3/Ccl4/Pgf/Dand5/AI182371,130
GO:0004930,G protein-coupled receptor activity,86/6409,108/10555,0.7962962962962963,1.3114225943840547,4.044410512873487,1.9730111365386103e-5,0.0037645052485156686,0.003460038477340342,Adora2a/Ccr7/Ramp3/Kctd12/Adgre5/Oprd1/Adgrg6/Cxcr3/Ptger3/Fzd1/Gpr55/Adora3/Hrh2/Ccrl2/Sigmar1/Gpr162/Ccr2/Gpr65/Cnr2/Hrh1/Ptger4/Adgra2/Gpr132/Lpar6/Gprc5a/Lpar5/Gpr171/Fzd5/Ffar2/S1pr1/Ramp1/S1pr4/Gpr141/Tas1r3/P2ry1/P2ry14/P2ry6/Adgre1/Gpr34/P2ry2/Gpr4/Vipr1/Gpr85/Cxcr4/Ffar4/Gpr146/Gpr82/Gpr35/Adgrl1/Gpr157/S1pr2/Xcr1/Lpar3/Calcrl/Gpr160/Cysltr1/Ptger2/Ccr5/Ptafr/Slc39a9/Or8b53/P2ry13/C3ar1/Agtrap/Inpp5k/Adgrg5/Adra1b/P2ry10b/Htr7/Tmem116/Gpr68/Tas1r1/Smo/Ccr9/Grm1/Ptgir/Kiss1r/Gpr141b/Ptger1/Gpr18/Gprc5c/Gpr153/P2ry12/Adgrg3/Ccr1/Celsr2,86
GO:0048018,receptor ligand activity,114/6409,149/10555,0.7651006711409396,1.2600464321879572,3.9745791954075727,2.9700640800264766e-5,0.004594189700019388,0.004222619463881883,S100a4/Il12b/Cd274/Clu/Jag1/Il1b/Ccl22/Ccl5/Sema7a/Pvr/Agrn/H2-Q7/H2-Q6/H2-M2/Nampt/H2-Q4/Sema4b/Lgals3/Ltb/Efnb2/Nrg2/Insl6/Tnfsf9/Itpripl1/Cx3cl1/Cxcl16/Wnt11/H2-K1/Cmtm3/Cdc42ep2/Lgals1/Ccl9/Il1rn/Flrt3/Hmgb2/Il18/Tnf/Sema4f/Il16/H2-D1/Fbrs/Cd80/Sema6d/Nectin2/Gmfg/Tnfsf8/Osgin1/Cxcl2/Csf1/App/Cmtm7/Apoe/Ccl6/Dll4/Ebi3/Cd86/Cxcl9/Gpi1/Vegfa/Hmgb1/Sema4c/Cxcl10/Il15/Fn1/Nbl1/Bmp1/H2-Q10/Grn/Cd48/Enho/Osgin2/Sema3f/Metrn/Tnfrsf14/Icosl/C3/Wnt9a/Vegfb/Fgf13/Pdgfb/Hspa1a/Lrpap1/Tnfsf12/Flt3l/Sema4a/Nmb/C1qtnf12/Cklf/Hdgf/Crlf2/Sema4d/Pglyrp1/Spp1/Metrnl/Chlsn/Jag2/Gpnmb/Tgfb1/6030468B19Rik/Mdk/Cmtm8/Wnt6/Plau/Cdnf/Tnfsf13/Cd320/C1qtnf4/Clcf1/Cntf/Hdgfl3/Ccl4/Pgf/Dand5/AI182371,114
GO:0030546,signaling receptor activator activity,120/6409,158/10555,0.759493670886076,1.2508122478081654,3.949228784052188,3.3709987316704106e-5,0.004594189700019388,0.004222619463881883,S100a4/Il12b/Cd274/Clu/Jag1/Il1b/Src/Ccl22/Ccl5/Sema7a/Pvr/Agrn/H2-Q7/H2-Q6/H2-M2/Nampt/H2-Q4/Sema4b/Lgals3/Ltb/Efnb2/Nrg2/Insl6/Tnfsf9/Itpripl1/Cx3cl1/Cxcl16/Wnt11/H2-K1/Cmtm3/Cdc42ep2/Lgals1/Ccl9/Il1rn/Jak2/Flrt3/Hmgb2/Il18/Tnf/Sema4f/Il16/H2-D1/Fbrs/Cd80/Sema6d/Nectin2/Gmfg/Tnfsf8/Osgin1/Cxcl2/Csf1/App/Cmtm7/Apoe/Ccl6/Dll4/Eng/Ebi3/Cd86/Cxcl9/Gpi1/Vegfa/Hmgb1/Sema4c/Cxcl10/Il15/Fn1/Nbl1/Bmp1/H2-Q10/Prkce/Lyn/Grn/Cd48/Enho/Osgin2/Sema3f/Ptk2b/Metrn/Tnfrsf14/Icosl/C3/Wnt9a/Vegfb/Fgf13/Pdgfb/Hspa1a/Lrpap1/Tnfsf12/Flt3l/Sema4a/Nmb/C1qtnf12/Cklf/Hdgf/Crlf2/Sema4d/Pglyrp1/Spp1/Metrnl/Chlsn/Jag2/Gpnmb/Tgfb1/6030468B19Rik/Mdk/Cmtm8/Wnt6/Plau/Cdnf/Tnfsf13/Cd320/C1qtnf4/Clcf1/Cntf/Hdgfl3/Ccl4/Pgf/Dand5/AI182371,120
GO:0005125,cytokine activity,48/6409,56/10555,0.8571428571428571,1.4116309653835009,3.8398752486204812,4.064414236479879e-5,0.004846813977002255,0.004454811919720709,Il12b/Il1b/Ccl22/Ccl5/Nampt/Ltb/Tnfsf9/Cx3cl1/Cxcl16/Wnt11/Cmtm3/Ccl9/Il1rn/Il18/Tnf/Il16/Tnfsf8/Cxcl2/Csf1/Cmtm7/Ccl6/Ebi3/Cxcl9/Gpi1/Vegfa/Hmgb1/Cxcl10/Il15/Bmp1/Grn/C3/Wnt9a/Tnfsf12/Flt3l/Cklf/Crlf2/Pglyrp1/Spp1/Tgfb1/6030468B19Rik/Cmtm8/Wnt6/Tnfsf13/C1qtnf4/Clcf1/Cntf/Ccl4/AI182371,48
GO:0004725,protein tyrosine phosphatase activity,57/6409,69/10555,0.8260869565217391,1.360484915913084,3.7350442156576964,7.319756267477083e-5,0.007758941643525708,0.007131411661764221,Ptpn3/Dusp2/Ptpn18/Dusp6/Cdc25b/Pald1/Ssh1/Ptpre/Dusp7/Dusp16/Cdkn3/Ptprf/Ptprj/Ptpn22/Cdc25c/Ptpra/Ppp2ca/Dusp4/Dusp11/Ptpn23/Ptpn7/Dusp22/Pgp/Mdp1/Ptpn21/Dusp5/Ptpn2/Ubash3b/Ssh2/Ptpro/Cdc14b/Ptprh/Ptprv/Ptp4a1/Tns2/Ptprs/Ptpn1/Ssh3/Ptpn11/Dusp3/Cdc25a/Mtmr4/Ptp4a2/Ptpn9/Dusp10/Dusp18/Timm50/Ptpn12/Acp1/Dusp1/Cdc14a/Dusp12/Dusp28/Eya3/Dusp9/Ptpdc1/Ptpru,57
GO:0005509,calcium ion binding,191/6409,267/10555,0.7153558052434457,1.1781214736065797,3.665181317196322,1.2116224443240715e-4,0.011558878118851644,0.010624015748652122,Cdh1/S100a4/Jag1/Anxa3/Cd69/Plscr1/Agrn/S100a10/Adgre5/Ehd1/Anxa4/Aif1l/Lrp8/Gca/Anxa1/Itpr1/Cdk5r1/Atp2a3/Padi2/Cdh23/Man1a/Sned1/Calm1/Scube3/Edil3/Cdh2/Man1c1/Cacna1e/Chp1/Gnptab/Anxa6/Rab11fip4/Cblb/Clstn1/Melk/Pam/Gpd2/Micu1/Cib1/Atp2c1/Dgkg/Slc25a23/Mctp1/Calm2/Itga5/Edem1/Pla2g4f/Usp32/Slc25a12/Ehd4/Notch1/Scube1/Reps1/Susd1/Capn2/Ttyh2/Ryr1/Dll4/Actn1/Ppef2/Dst/Notch2/Slc25a13/Clec4a2/Lpcat1/Fam20c/Slc25a24/Lpcat2/Matn2/Tgm2/S100a9/Gch1/Ldlr/Slc25a25/Itsn2/Dgka/Acer3/Lpl/Clec4a4/Macf1/Cab39/Nucb2/Adgre1/Megf8/Calm3/Bmp1/Tpd52/Lrp1/Runx1/Sri/Nin/Camkk2/Tpt1/Ccdc47/Pdp1/Selenon/S100a8/Heg1/Rhot1/Ttyh3/Hpcal1/Pla2g4a/Itgb1/Edem2/Cpne1/S100a6/Asah2/Lrp4/Cd93/Iqgap1/Notch4/Pkd2/Gsn/Pef1/Clec4a1/Cbl/Sulf2/Eps15/Calr/Mcfd2/Creld2/Tbc1d8b/Anxa5/Tchh/Plcb2/Braf/Glce/Fkbp7/Ppp2r3a/Rcn2/Itsn1/Nucb1/Stim1/Unc13b/Arsa/Clec4n/Pitpnm1/Plcb3/Thbs3/Anxa11/Efcab11/Creld1/Pcdhgc3/Srr/Edem3/Anxa2/Nid2/Rhbdl3/Itpr3/Cetn2/Zzef1/Plcb4/Rcn1/Ppp3cb/Pla2g12a/Fat1/Egfl8/Lcp1/Trpm2/Tbc1d9/Cracr2b/Mmp12/Grin1/Cemip2/Jag2/Unc13a/Pitpnm2/Adam8/Rasgrp2/Ltbp2/Efcab7/Galnt3/Sparc/Pros1/Micu3/Thbs1/Tubb4a/Cd320/Ninl/Cdh24/Sell/Guca1a/Ltbp3/Cetn4/Aif1/Comp/Cib2/Pcdhb22/Celsr2/Cgref1/Cracr2a,191
