ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0038023,signaling receptor activity,163/2907,411/10555,0.39659367396593675,1.4399883827693372,5.609376898562178,3.953525656525372e-8,1.8522267700821366e-5,1.606379898335572e-5,Stat3/Il12b/Sqstm1/Sdc4/Cd40/Adora2a/Nrp2/Procr/Nr4a3/Cd69/Il21r/Il2rg/Ccr7/Ramp3/Sort1/Prnp/Oprd1/Lrp8/Ly75/Adgrg6/Plxnd1/Gpr55/Plxnc1/Tnfrsf9/Nod2/Itga2b/H2-Eb2/Ifnlr1/Ifih1/Axl/Il15ra/Hrh2/Ccrl2/Tlr1/Slamf8/Itga4/Nr4a2/Grin2d/Il4ra/Vdr/Kdr/Clec2i/Gpr162/Tnfrsf1b/Gpr65/Rora/Clec2d/Il13ra1/Cd80/Clec7a/Palld/Plxna1/Ptger4/Itga5/Fas/Gpr132/Ptprf/Gprc5a/Tmem63b/Cdon/Tnfrsf4/Ahr/Amot/Itgax/Kit/Cd72/Paqr8/Eng/Ebi3/Fzd5/Csf2rb/Pira2/Ffar2/Tgfbr1/S1pr1/Tnfrsf11a/Cd300a/Pglyrp2/Il2ra/Tas1r3/Csf2rb2/Ctsh/Clec4a4/P2ry1/Cd247/Rarg/Mfsd6/Csf1r/P2ry2/Gpr4/Erbb3/Gpr85/Cxcr4/Abca7/Lag3/Ffar4/Tgfbr2/Tspo/Ogfrl1/Tlr2/Gpr35/Il20rb/Ddr1/Gpr157/Itgb1/Ahrr/Tlr6/Rgmb/Lrp4/Pirb/Tnfrsf10b/Rigi/Lpar3/Cd47/Chrnb1/Clec4a1/Il3ra/P2rx4/Il6st/Ifngr2/Abhd2/Or8b53/P2ry13/Unc13b/Clec4n/Dcbld2/Cry1/Bmpr1a/Il10ra/Trim5/Lrp6/Il7r/Kremen1/Tlr13/Adra1b/Pglyrp1/Esrra/Nectin1/Lmbr1l/Grin1/Pira13/Htr7/6030468B19Rik/Nr2c2/Nrxn2/Epha2/Gpr68/Thrb/Acvr1b/Itga3/Igf1r/Itgae/Nr6a1/Trpv4/Ptgir/Reck/Neo1/Nod1/Cd4/Acvr2a/Gpr153/Ccr1/Celsr2,163
GO:0060089,molecular transducer activity,163/2907,411/10555,0.39659367396593675,1.4399883827693372,5.609376898562178,3.953525656525372e-8,1.8522267700821366e-5,1.606379898335572e-5,Stat3/Il12b/Sqstm1/Sdc4/Cd40/Adora2a/Nrp2/Procr/Nr4a3/Cd69/Il21r/Il2rg/Ccr7/Ramp3/Sort1/Prnp/Oprd1/Lrp8/Ly75/Adgrg6/Plxnd1/Gpr55/Plxnc1/Tnfrsf9/Nod2/Itga2b/H2-Eb2/Ifnlr1/Ifih1/Axl/Il15ra/Hrh2/Ccrl2/Tlr1/Slamf8/Itga4/Nr4a2/Grin2d/Il4ra/Vdr/Kdr/Clec2i/Gpr162/Tnfrsf1b/Gpr65/Rora/Clec2d/Il13ra1/Cd80/Clec7a/Palld/Plxna1/Ptger4/Itga5/Fas/Gpr132/Ptprf/Gprc5a/Tmem63b/Cdon/Tnfrsf4/Ahr/Amot/Itgax/Kit/Cd72/Paqr8/Eng/Ebi3/Fzd5/Csf2rb/Pira2/Ffar2/Tgfbr1/S1pr1/Tnfrsf11a/Cd300a/Pglyrp2/Il2ra/Tas1r3/Csf2rb2/Ctsh/Clec4a4/P2ry1/Cd247/Rarg/Mfsd6/Csf1r/P2ry2/Gpr4/Erbb3/Gpr85/Cxcr4/Abca7/Lag3/Ffar4/Tgfbr2/Tspo/Ogfrl1/Tlr2/Gpr35/Il20rb/Ddr1/Gpr157/Itgb1/Ahrr/Tlr6/Rgmb/Lrp4/Pirb/Tnfrsf10b/Rigi/Lpar3/Cd47/Chrnb1/Clec4a1/Il3ra/P2rx4/Il6st/Ifngr2/Abhd2/Or8b53/P2ry13/Unc13b/Clec4n/Dcbld2/Cry1/Bmpr1a/Il10ra/Trim5/Lrp6/Il7r/Kremen1/Tlr13/Adra1b/Pglyrp1/Esrra/Nectin1/Lmbr1l/Grin1/Pira13/Htr7/6030468B19Rik/Nr2c2/Nrxn2/Epha2/Gpr68/Thrb/Acvr1b/Itga3/Igf1r/Itgae/Nr6a1/Trpv4/Ptgir/Reck/Neo1/Nod1/Cd4/Acvr2a/Gpr153/Ccr1/Celsr2,163
GO:0005126,cytokine receptor binding,67/2907,140/10555,0.4785714285714286,1.737640670303209,5.416719613128696,2.0916970040771723e-7,6.533066976067701e-5,5.665930130342375e-5,Stat3/Il12b/Traf1/Il1b/Ccl22/Ccl5/Socs3/Cflar/Socs2/Ltb/Hsd17b7/Traf3/Smurf1/Spred1/Tnfsf9/Cx3cl1/Ccrl2/Cxcl16/Ccl9/Jak3/Il1rn/Jak2/Casp3/Tnf/Ddt/Traf6/Cxcl2/Csf1/Traf2/Jak1/Eng/Stat1/Ebi3/Cxcl9/Traf5/Pik3r1/Pdcl3/Tgfbr1/Vegfa/Cxcl10/Fkbp1a/Il15/Fem1b/Socs1/Tyk2/Tgfbr2/Grb2/Nup85/Frs2/Erap1/C3/Ripk1/Il6st/Zfp110/Adam17/Snx6/Myd88/Babam2/Prdm4/Ticam2/Irak4/Adam8/Traf4/Itgb3/Tnfsf13/Pgf/AI182371,67
GO:0030545,signaling receptor regulator activity,76/2907,171/10555,0.4444444444444444,1.6137293123877228,4.988267132074811,1.3537929991852448e-6,3.171260100591436e-4,2.750337356239497e-4,S100a4/Il12b/Cd274/Clu/Jag1/Il1b/Src/Ccl22/Ccl5/Sema7a/Pvr/Agrn/H2-Q7/H2-Q6/H2-M2/Nampt/H2-Q4/Sema4b/Ltb/Efnb2/Insl6/Tnfsf9/Cx3cl1/Cxcl16/Wnt11/H2-K1/Cdc42ep2/Ccl9/Pde4d/Il1rn/Jak2/Flrt3/Tnf/H2-D1/Fbrs/Cd80/Sema6d/Nectin2/Cxcl2/Csf1/App/Dll4/Eng/Ebi3/Cd86/Cxcl9/Ly6i/Vegfa/Cxcl10/Fkbp1a/Il15/Fn1/P2ry1/Nbl1/Bmp1/H2-Q10/Dkkl1/Osgin2/Sema3f/Ptk2b/Tnfrsf14/Icosl/C3/Hspa1a/Sema4a/Nmb/Pglyrp1/Metrnl/6030468B19Rik/Mdk/Plau/Tnfsf13/Cd320/Lynx1/Pgf/AI182371,76
GO:0050839,cell adhesion molecule binding,72/2907,163/10555,0.44171779141104295,1.6038291325571237,4.789778350347608,3.3498516397260185e-6,6.264353933311285e-4,5.432883487632771e-4,Cdh1/Itgb5/Itgb8/Il1b/Src/Isg15/Sema7a/Pvr/Icam1/Ninj1/Cdk5r1/Cd1d1/Cd200/Dscaml1/Cdh23/Sirpa/Cdh2/Cx3cl1/Itga4/Mfge8/Kdr/Itga5/Epcam/Nectin2/Ptprf/Ptprj/App/Actn1/Dst/Igsf9/Dscam/Fn1/Ptpn2/Tjp2/Icam5/Mmp14/Itgb1/Rtn4/Pirb/Cd47/Myh9/Calr/Lilrb4a/P2rx4/Adam9/Tjp3/Adam17/Tnc/F11r/Nlgn2/Pcdhgc3/Pdia4/Pxn/Jup/Lcp1/Nectin1/Vcam1/Ctnna1/Nlgn4l/Nrxn2/Adam8/Itga3/Itgb3/Thbs1/Cdh24/Neo1/Arvcf/Fap/Comp/Ctnnal1/Pcdhb22/Tbc1d2,72
GO:0030546,signaling receptor activator activity,70/2907,158/10555,0.4430379746835443,1.608622574057382,4.752035749115664,4.011325891127824e-6,6.264353933311285e-4,5.432883487632771e-4,S100a4/Il12b/Cd274/Clu/Jag1/Il1b/Src/Ccl22/Ccl5/Sema7a/Pvr/Agrn/H2-Q7/H2-Q6/H2-M2/Nampt/H2-Q4/Sema4b/Ltb/Efnb2/Insl6/Tnfsf9/Cx3cl1/Cxcl16/Wnt11/H2-K1/Cdc42ep2/Ccl9/Il1rn/Jak2/Flrt3/Tnf/H2-D1/Fbrs/Cd80/Sema6d/Nectin2/Cxcl2/Csf1/App/Dll4/Eng/Ebi3/Cd86/Cxcl9/Vegfa/Cxcl10/Il15/Fn1/Nbl1/Bmp1/H2-Q10/Osgin2/Sema3f/Ptk2b/Tnfrsf14/Icosl/C3/Hspa1a/Sema4a/Nmb/Pglyrp1/Metrnl/6030468B19Rik/Mdk/Plau/Tnfsf13/Cd320/Pgf/AI182371,70
GO:0031625,ubiquitin protein ligase binding,108/2907,271/10555,0.3985239852398524,1.4469971325100248,4.595846021879297,6.036168922848833e-6,8.079843258156224e-4,7.007402117953832e-4,Sqstm1/Cd40/Nfkbia/Clu/Laptm4b/Cdkn1a/Dnajb2/Traf1/Vcp/Isg15/Tank/Mfhas1/Dnm1l/Traf3/Atp6v0c/Kdm4a/Cdkn1b/Mdm2/Nploc4/Tnfrsf1b/Dlg3/Rela/Ikbke/Eif4e2/Bcl10/Traf2/Jak1/Cul2/Usp9x/Fzd5/Traf5/Pik3r1/Herc2/Tgfbr1/Ccdc50/Hif1a/Nfe2l2/Dnaja1/Foxo1/Hapstr1/Hspa5/Erbb3/Cxcr4/Hsp90ab1/Triobp/Ubash3b/Prkar1a/Sipa1l1/Psmd1/Sh3kbp1/Erlin2/Nae1/Ambra1/Cacul1/Mid1/Ptk2b/Rtn4/Tcp1/Polr2a/Rigi/Cul1/Trib3/Tnfrsf14/Rnf31/Calr/Nlk/Ripk1/Arih1/Rnf40/Becn1/Ube2j2/Stx8/Hspa1a/Cul9/Smg5/Sumo1/Hspa1b/Prdx6/Ube2j1/Arrb2/Ube2n/Rala/Faf2/Mul1/Ube2l3/Gabarap/Nek6/Gabarapl2/Sumo2/Cul7/Pias1/Ggn/Gabarapl1/Zfp746/Actg1/Usp2/Cul4a/Pias4/Apc/Washc1/Bag2/Spop/Traf4/Acvr1b/Spart/Egr2/Sorbs1/Rffl,108
GO:0048018,receptor ligand activity,66/2907,149/10555,0.4429530201342282,1.608314113352865,4.610374846568534,7.554055585052785e-6,8.847687603993074e-4,7.673330146922039e-4,S100a4/Il12b/Cd274/Clu/Jag1/Il1b/Ccl22/Ccl5/Sema7a/Pvr/Agrn/H2-Q7/H2-Q6/H2-M2/Nampt/H2-Q4/Sema4b/Ltb/Efnb2/Insl6/Tnfsf9/Cx3cl1/Cxcl16/Wnt11/H2-K1/Cdc42ep2/Ccl9/Il1rn/Flrt3/Tnf/H2-D1/Fbrs/Cd80/Sema6d/Nectin2/Cxcl2/Csf1/App/Dll4/Ebi3/Cd86/Cxcl9/Vegfa/Cxcl10/Il15/Fn1/Nbl1/Bmp1/H2-Q10/Osgin2/Sema3f/Tnfrsf14/Icosl/C3/Hspa1a/Sema4a/Nmb/Pglyrp1/Metrnl/6030468B19Rik/Mdk/Plau/Tnfsf13/Cd320/Pgf/AI182371,66
GO:0002020,protease binding,50/2907,106/10555,0.4716981132075472,1.7126844117322535,4.5464241395856195,1.177664858585904e-5,0.00122607996943888,0.0010633418372261027,Tnfaip3/Vcp/Serpinb9/Prnp/Cflar/Cdk5r1/Serpinb6b/Sh3pxd2a/Cstb/Casp3/Tnf/Panx1/Ddt/Fas/Bcl10/Cltc/Kit/Flot1/Fam20c/Spata2/Ldlr/Ripk2/Fn1/Riok3/Sri/Nlrc4/Csta2/Itgb1/Tnfrsf10b/Mbp/Bin1/Hspa1a/Sumo1/Hspa1b/Lcor/Sart3/Anxa2/Rad23a/Malt1/Rock2/Cradd/Apc/Cst7/Serpinc1/Itga3/Itgb3/Thbs1/Fap/Comp/Rffl,50
GO:0019955,cytokine binding,40/2907,80/10555,0.5,1.8154454764361885,4.513568383950022,1.570404490050371e-5,0.0013446387054619642,0.001166164220206298,Il12b/Gbp2/Il2rg/Ccr7/Agrn/Scube3/Hax1/Ccrl2/Itga4/Il1rn/Tnfrsf1b/Il13ra1/Il18bp/Zfp36/Kit/Traf2/Eng/Tgfbr1/Tnfrsf11a/Il2ra/Nbl1/Csf1r/Cxcr4/Tgfbr2/Il20rb/Casp1/Itgb1/Tnfrsf14/Il3ra/Il6st/Adam17/Bmpr1a/Hyal2/Il10ra/Itgb3/Thbs1/Ltbp3/Cd4/Comp/Ccr1,40
