ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,194,-0.7205029053847548,-2.116664217799787,1e-10,5e-9,4e-9,1253,"tags=34%, list=11%, signal=31%",66622/14056/13006/18538/77891/66422/230484/50883/56419/19891/106618/15374/19362/16881/17345/17220/68219/12021/67196/70472/21877/66570/21917/16647/76131/72391/54124/66471/53381/21335/73804/108961/12534/97165/106795/66929/66442/17279/20135/20878/15354/67629/66197/17121/18817/56150/218977/12704/54141/70218/17869/15270/16571/15366/20877/110033/52276/70099/98386/12531/16765/12580/14793/229841/12236/11799
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,183,-0.6751660534752401,-1.9661572306763229,5.394614802420917e-9,8.222421177393553e-8,6.577936941914843e-8,877,"tags=30%, list=8%, signal=28%",52033/17345/12544/14211/12443/77782/22036/12021/18129/20460/21917/16647/27214/22137/15331/72391/54124/12235/21335/73804/78733/12534/76464/67141/233406/20878/77605/15354/240641/66197/18005/18817/56150/242705/17869/15270/209737/16571/67052/108907/15366/12449/20877/110033/16319/16551/70099/98386/12531/16765/72119/12580/12428/229841/11799
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,141,0.7383732056108341,1.8839883866589318,6.377713775842117e-9,8.222421177393553e-8,6.577936941914843e-8,962,"tags=43%, list=9%, signal=39%",17872/12633/21928/17119/13660/15894/13537/170768/59027/18081/19347/12044/18037/16362/19225/21942/229055/18578/71586/56336/21950/14579/11796/16169/17118/54199/20850/11797/12522/16477/18227/18030/11852/17133/216850/21926/55991/23849/227659/26410/12519/19696/19219/108767/20310/19697/12226/12977/22695/67972/14345/319520/106628/230738/22339/14528/16835/15945/18024/192656
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,152,0.7261891406893182,1.8600839643824767,6.577936941914843e-9,8.222421177393553e-8,6.577936941914843e-8,1212,"tags=41%, list=11%, signal=37%",14990/21928/67138/15894/236573/59027/231655/434341/108670/98999/76074/16362/55932/22375/15930/19225/74157/18578/71586/78388/16169/12010/65972/17768/16190/16452/12367/100121/14964/19039/14962/14102/67245/12363/16068/19188/24110/12226/16364/52668/547253/64685/80861/20846/12369/12524/17329/15251/14528/21356/15945/16168/192656/192786/12984/15007/109552/243771/15958/19255/12703/56417
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,81,0.7531698691762205,1.7953387941121917,5.901867870043086e-6,5.901867870043086e-5,4.721494296034469e-5,1322,"tags=46%, list=12%, signal=41%",67138/231655/108670/16362/55932/22375/74157/71586/12010/65972/54199/16190/100121/19039/53312/74153/211329/17454/246730/19188/24110/12977/80285/52668/547253/64685/80861/68487/15945/16168/192656/15007/243771/15958/56417/12362/231712
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,153,0.6220829961604333,1.5944536106331384,1.5008223279569172e-4,0.001250685273297431,0.0010005482186379447,927,"tags=26%, list=8%, signal=24%",17119/11746/216233/80859/12444/19347/16994/55932/21942/64138/69863/20947/20430/12522/18030/11852/17133/16190/12367/29809/21938/23849/14744/19883/26410/17913/13808/12977/625249/22163/16364/11622/18612/13340/12524/52187/21817/16184/20973/15945
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,153,0.6015767746388903,1.5418943554416735,5.806105016941981e-4,0.004147217869244272,0.0033177742953954177,679,"tags=18%, list=6%, signal=17%",74747/17872/17119/56437/19143/12444/18081/12569/12579/98845/12192/21950/65972/217344/11783/66383/67776/22337/17246/102626/12578/17254/14102/21452/15468/12226/11820
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,112,0.6274760314514081,1.5616906064062814,0.0019132218548595429,0.011957636592872143,0.009566109274297714,962,"tags=36%, list=9%, signal=33%",17119/15894/59027/16362/21942/257632/50778/18578/21950/26362/16169/20312/16561/54199/21897/320207/16190/21938/23849/19219/16402/56696/19697/12977/11622/67972/56212/64685/50498/14367/17329/233079/15251/14528/21356/16835/14679/15945/16168/192656
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,186,0.5475032240076552,1.4334160269907246,0.003332159746154041,0.01851199858974467,0.014809598871795738,939,"tags=17%, list=8%, signal=16%",74747/17872/59027/15926/26941/50493/208715/22375/15982/14629/20539/65972/18036/17768/17113/14782/319554/18030/20775/192193/225363/27053/19141/13121/26377/15357/18710/18107/21366/23996/16835/14381
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,182,-0.4638052277440328,-1.3528454262277652,0.009555354514546139,0.04777677257273069,0.038221418058184554,685,"tags=19%, list=6%, signal=18%",216846/208084/18129/208628/18003/20742/192176/13605/94190/22137/13998/68743/12235/73804/12534/67141/233406/20878/240641/18005/18817/218977/223697/209737/16571/67052/108907/110033/16319/16551/70099/53860/72119/229841/11799
