category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,mmu04514,Cell adhesion molecule (CAM) interaction,70/3040,80/4912,0.875,1.4138157894736842,4.755075586524726,2.9481255302567746e-7,9.817258015755059e-5,8.099586983126506e-5,Cdh1/Cd34/Cd274/Sdc4/Cd40/Itgb8/Pvr/H2-Q7/H2-Q9/H2-Q6/H2-M2/Icam1/H2-Q4/Cadm1/Cd99l2/H2-Eb2/Cdh2/Itgam/H2-K1/Itga4/H2-D1/Cd80/Spn/Nectin2/Itgb2/Pdcd1lg2/Itgb7/Ptprf/Pecam1/Sdc3/Cadm3/Cd86/H2-DMb1/H2-DMa/H2-T24/H2-Oa/Itgal/H2-Q10/Cd226/Alcam/L1cam/Jaml/Icam2/Itgb1/Itga8/Vsir/H2-T22/H2-Ob/Icosl/Ptprs/Ocln/Itga6/H2-DMb2/F11r/Nlgn2/Cldn12/Ntng2/Cd6/Nectin1/Vcam1/Itgav/Cd28/Nrxn2/Cldn1/H2-Ab1/H2-M5/Sell/Neo1/Cd4/Sdc1,70
Human Diseases,Cancer: overview,mmu05200,Pathways in cancer,245/3040,335/4912,0.7313432835820896,1.1816967792615867,4.389833143132535,4.803335107846478e-6,7.997552954564386e-4,6.598265595515425e-4,Cdh1/Stat3/Il12b/Bcl2l1/Gadd45b/Nfkbia/Adcy6/Cdkn1a/Pim1/Nfkb2/Traf1/Jag1/Il2rg/Gng2/Stat4/Birc5/Ccna2/Ccnd2/Ptger3/Fzd1/Cdkn2b/Txnrd1/Rac2/Ptgs2/Bid/Tcf7/Itga2b/Traf3/Calm1/Gstt3/Birc3/Myc/Il15ra/E2f2/Stat5a/Ifngr1/Birc2/Gng12/Wnt11/Apaf1/Cks2/Bcl2l11/Adcy7/Flt4/Plekhg5/Cdkn1b/Gnb4/Jak3/Il4ra/Mdm2/Jak2/Casp3/Ncoa4/Hmox1/Appl1/Egln1/Ifnar2/Cdkn2a/Il13ra1/Calm2/Ptger4/Fas/Prkcb/Cks1b/Lpar6/Traf6/Rela/Pmaip1/Notch1/Nqo1/Stk4/Lpar5/Il6ra/Met/Mitf/Ccnd3/Mtor/Kit/Tpr/Traf2/Dll4/Pik3r3/Gadd45a/Jak1/Cul2/Stat1/Bax/Notch2/Cebpa/Casp7/Fzd5/Csf2rb/Traf5/Pik3r1/Gstm1/Tgfbr1/Rxra/Jun/Vegfa/Hif1a/Col4a2/Il2ra/Prkacb/Rad51/Gnai3/Ccnd1/Nfe2l2/Smad4/Il15/Csf2rb2/Fn1/Arhgef12/Bcl2/Foxo1/Calm3/Csf1r/Bbc3/Gng10/Col4a1/Runx1/Ikbkb/Cxcr4/Dapk2/Rasgrp4/Gadd45g/Hsp90ab1/Gnb2/Mgst3/Frat2/Tgfbr2/Pld2/Camk2b/Fh1/Grb2/Ccne2/Gna13/Arhgef1/Itgb1/Xiap/Pik3r2/Fos/Casp9/Lrp5/Stat5b/Fgfr1/Ralbp1/Bcr/Adcy9/Camk2g/Rxrb/Gna11/Slc2a1/Lpar3/Cul1/Notch4/Bak1/Cdk4/Cbl/E2f1/Hes1/Wnt9a/Msh3/Gsto1/Il3ra/Vegfb/Nfkb1/Plcb2/Gnb1/Akt1/Il6st/Stat6/Braf/Brca2/Kif7/Ptger2/Ifngr2/Dapk1/Nras/Pdgfb/Itga6/Txnrd3/Gna12/Hdac1/Ctbp1/Plcb3/Rara/Rala/Flt3l/Zbtb17/Abl1/Gng5/Max/Eloc/Ep300/Map2k1/Camk2d/Msh6/Gstt2/Tfg/Raf1/Skp2/Jup/Gnai2/Lrp6/Egfr/Plcb4/Dvl1/Il7r/Ptch1/Ralgds/Rassf5/Ccne1/Frat1/Rock2/Crebbp/Sos1/Ctnna1/Apc/Ncoa3/Itgav/Jag2/Rac3/Tgfb1/Cdk2/Prkca/Mapk8/Elk1/Rasgrp2/Traf4/Gstm4/Smo/Wnt6/Cdk6/Itga3/Igf1r/Ddb2/Il12rb2/Pim2/Ptger1/Mgst1/Egln3/Prkcg/Apc2/Rarb/Pgf,245
Environmental Information Processing,Signaling molecules and interaction,mmu04060,Cytokine-cytokine receptor interaction,83/3040,102/4912,0.8137254901960784,1.3148090815273479,4.093960391811021,1.4463533360030082e-5,0.0016054522029633391,0.001324555160339597,Il12b/Cd40/Il1b/Il21r/Il2rg/Ccl22/Ccl5/Ccr7/Cxcr3/Acvrl1/Relt/Ltb/Tnfrsf9/Ifnlr1/Tnfrsf13b/Tnfsf9/Il15ra/Cx3cl1/Ifngr1/Cxcl16/Ccl9/Il1rn/Il4ra/Il18/Tnf/Il16/Tnfrsf1b/Ccr2/Ifnar2/Il13ra1/Fas/Tnfsf8/Cxcl2/Tnfrsf13c/Csf1/Tnfrsf4/Il6ra/Tnfrsf21/Ccl6/Ebi3/Cxcl9/Csf2rb/Tgfbr1/Tnfrsf11a/Il2ra/Cxcl10/Il15/Csf2rb2/Csf1r/Cxcr4/Tgfbr2/Il20rb/Tnfrsf10b/Xcr1/Tnfrsf14/Il3ra/Il6st/Ifngr2/Ccr5/Tnfsf12/Bmpr1a/Tnfrsf1a/Il10ra/Tnfrsf18/Il7r/Tnfrsf12a/Crlf2/Lifr/Tgfb1/Rell1/Acvr2b/Tnfrsf25/Acvr1b/Rell2/Ccr9/Tnfsf13/Clcf1/Il12rb2/Cntf/Cd4/Acvr2a/Ccl4/Ccr1,83
Human Diseases,Infectious disease: parasitic,mmu05144,Malaria,25/3040,26/4912,0.9615384615384616,1.5536437246963561,3.606692868209736,6.285136664743275e-5,0.005232376273398776,0.004316896498678934,Cd40/Il1b/Icam1/Gypc/Il18/Tnf/Itgb2/Cd81/Tlr4/Pecam1/Met/Cd36/Itgal/Lrp1/Tlr2/Tlr9/Thbs3/Myd88/Klrk1/Vcam1/Tgfb1/Thbs1/Klrb1b/Comp/Sdc1,25
Environmental Information Processing,Signaling molecules and interaction,mmu04080,Neuroactive ligand-receptor interaction,49/3040,59/4912,0.8305084745762712,1.3419268510258697,3.3668432970244098,3.3782812713043e-4,0.02005409677393147,0.016545342999829665,Adora2a/Oprd1/Ptger3/P2rx7/Adora3/Hrh2/Grin2d/Cnr2/Hrh1/Ptger4/Lpar6/S1pr1/S1pr4/P2ry1/P2ry14/P2ry6/P2ry2/P2rx5/Vipr1/Pgrmc2/Tspo/Ogfrl1/Gpr35/Pgrmc1/Thra/S1pr2/Lpar3/Calcrl/Chrnb1/C3/P2rx4/Cysltr1/Ptger2/Ptafr/P2ry13/C3ar1/Nr3c1/Nmb/Adra1b/P2ry10b/Grin1/Htr7/Thrb/Grm1/Lynx1/Ptgir/Kiss1r/Ptger1/Grik5,49
Organismal Systems,Immune system,mmu04658,Th1 and Th2 cell differentiation,54/3040,66/4912,0.8181818181818182,1.3220095693779905,3.3559685145143723,3.6133507700777424e-4,0.02005409677393147,0.016545342999829665,Il12b/Nfkbia/Jag1/Il2rg/Stat4/Nfkbie/Mapk11/H2-Eb2/Nfkbib/Stat5a/Ifngr1/Jak3/Il4ra/Jak2/Nfatc2/Ppp3ca/Rela/Notch1/Dll4/Jak1/Stat1/Notch2/H2-DMb1/Nfatc1/Jun/Il2ra/H2-DMa/Cd247/H2-Oa/Ikbkb/Maml2/Tyk2/Rbpj/Fos/Stat5b/Maf/H2-Ob/Mapk14/Nfkb1/Stat6/Maml1/Ifngr2/H2-DMb2/Mapk13/Ppp3cc/Ppp3cb/Runx3/Jag2/Mapk8/H2-Ab1/Maml3/Il12rb2/Cd4/Lck,54
Organismal Systems,Endocrine system,mmu04925,Aldosterone synthesis and secretion,44/3040,53/4912,0.8301886792452831,1.3414101290963258,3.1842688158415458,6.964159355031069e-4,0.03312950093179065,0.0273330164159866,Adcy6/Itpr1/Calm1/Scarb1/Cacna1d/Adcy7/Nr4a2/Atp2b4/Calm2/Prkcb/Creb5/Atp2b1/Camk1d/Prkacb/Ldlr/Atp1a1/Prkd3/Calm3/Atp1b3/Prkd2/Prkce/Daglb/Creb1/Camk2b/Adcy9/Camk2g/Gna11/Plcb2/Plcb3/Camk1/Lipe/Creb3l2/Camk2d/Itpr3/Plcb4/Creb3/Nr4a1/Atp1b1/Atf2/Creb3l1/Atp1a3/Prkca/Orai1/Prkcg,44
Organismal Systems,Immune system,mmu04659,Th17 cell differentiation,60/3040,76/4912,0.7894736842105263,1.275623268698061,3.085662094920131,0.001050815273509418,0.04374018575982953,0.03608720873499449,Stat3/Nfkbia/Il1b/Il21r/Il2rg/Nfkbie/Mapk11/H2-Eb2/Nfkbib/Stat5a/Ifngr1/Jak3/Il4ra/Jak2/Nfatc2/Rora/Ppp3ca/Rela/Irf4/Ahr/Il6ra/Mtor/Jak1/Stat1/Ebi3/H2-DMb1/Nfatc1/Tgfbr1/Rxra/Jun/Hif1a/Il2ra/H2-DMa/Smad4/Cd247/H2-Oa/Runx1/Ikbkb/Hsp90ab1/Tyk2/Tgfbr2/Fos/Stat5b/Rxrb/H2-Ob/Mapk14/Nfkb1/Il6st/Stat6/Ifngr2/H2-DMb2/Rara/Mapk13/Ppp3cc/Ppp3cb/Tgfb1/Mapk8/H2-Ab1/Cd4/Lck,60
Environmental Information Processing,Signaling molecules and interaction,mmu04512,ECM-receptor interaction,31/3040,36/4912,0.8611111111111112,1.3913742690058482,3.0031740875475044,0.0013342929566893071,0.04826460132447045,0.03982001247253608,Sdc4/Itgb5/Itgb8/Agrn/Vwf/Itga2b/Hmmr/Itga4/Itga1/Itga5/Cd44/Itgb7/Col4a2/Cd36/Fn1/Col4a1/Itgb1/Itga8/Cd47/Itga6/Tnc/Thbs3/Spp1/Itgav/Col1a2/Itga3/Itgb3/Thbs1/Comp/Sdc1/Col9a3,31
Environmental Information Processing,Signaling molecules and interaction,mmu04518,Integrin signaling,68/3040,88/4912,0.7727272727272727,1.2485645933014353,2.99809775329217,0.0014493874271612748,0.04826460132447045,0.03982001247253608,Cdh1/Itgb5/Itgb8/Src/Icam1/Ccnd2/Rac2/Vwf/Parvb/Itga2b/Itgam/Itga4/Flnb/Itga1/Flt4/Kdr/Arhgef6/Itga5/Itgb2/Itgb7/Met/Nck2/Ccnd3/Itgax/Flna/Mtor/Pik3r3/Actn1/Pik3r1/Vegfa/Col4a2/Ccnd1/Fn1/Itgal/Col4a1/Icam2/Itgb1/Itga8/Pik3r2/C3/Vegfb/Akt1/Pdgfb/Itga6/Tnc/Thbs3/Fermt3/Actb/Pxn/Egfr/Lims1/Actg1/Spp1/Vcam1/Itgav/Rac3/Tgfb1/Col1a2/Vcl/Parvg/Itga3/Itgb3/Thbs1/Igf1r/Itgae/Comp/Pgf/Col9a3,68
