category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Global and overview maps,mmu01232,Nucleotide metabolism,36/1525,63/4912,0.5714285714285714,1.8405620608899296,4.505326371661067,1.4275177227336625e-5,0.0016733059574408106,0.0015325556232881332,Rrm2/Rrm1/Tk2/Tk1/Adk/Ctps2/Nme4/Entpd6/Tyms/Dctpp1/Entpd5/Dtymk/Dguok/Nudt16/Dut/Dck/Entpd1/Hprt1/Lacc1/Nt5c3b/Adss1/Nme3/Nt5m/Ampd3/Hddc2/Gmpr2/Cmpk1/Xdh/Uck1/Nme6/Tymp/Dctd/Cmpk2/Nme7/Upp2/Impdh1,36
Metabolism,Nucleotide metabolism,mmu00240,Pyrimidine metabolism,28/1525,45/4912,0.6222222222222222,2.004167577413479,4.540399520156525,1.4552754845476016e-5,0.0016733059574408106,0.0015325556232881332,Rrm2/Rrm1/Tk2/Tk1/Ctps2/Nme4/Entpd6/Tyms/Dctpp1/Entpd5/Cdadc1/Dtymk/Dut/Dck/Entpd1/Nt5c3b/Nme3/Nt5m/Hddc2/Cmpk1/Uck1/Nme6/Tymp/Dctd/Dhodh/Cmpk2/Nme7/Upp2,28
Genetic Information Processing,Replication and repair,mmu03440,Homologous recombination,25/1525,39/4912,0.6410256410256411,2.064733081126524,4.4790626403643365,2.001743002185852e-5,0.0016733059574408106,0.0015325556232881332,Bard1/Rad51/Rad54b/Eme1/Rpa2/Pold4/Brca1/Brip1/Rad54l/Brca2/Pold2/Palb2/Babam1/Xrcc3/Topbp1/Rpa1/Xrcc2/Rad51c/Ssbp1/Top3b/Rad51d/Rad52/Abraxas1/Rad51b/Blm,25
Genetic Information Processing,Replication and repair,mmu03460,Fanconi anemia pathway,30/1525,50/4912,0.6,1.932590163934426,4.447138407410579,2.02212200294962e-5,0.0016733059574408106,0.0015325556232881332,Fanci/Ube2t/Fancd2/Rad51/Fanca/Eme1/Rpa2/Polh/Usp1/Brca1/Brip1/Hes1/Poli/Slx1b/Brca2/Fancl/Palb2/Fance/Cenps/Rpa1/Rad51c/Cenpx/Telo2/Top3b/Fancg/Pms2/Blm/Fancb/Rmi2/Faap24,30
Genetic Information Processing,Replication and repair,mmu03430,Mismatch repair,16/1525,22/4912,0.7272727272727273,2.342533532041729,4.234424006642231,6.793083425558295e-5,0.004497021227719591,0.0041187537401279764,Lig1/Rfc5/Rpa2/Pcna/Pold4/Mlh3/Msh3/Exo1/Rfc2/Pold2/Rfc4/Msh6/Rpa1/Ssbp1/Rfc3/Pms2,16
Genetic Information Processing,Replication and repair,mmu03030,DNA replication,22/1525,35/4912,0.6285714285714286,2.0246182669789228,4.081614923908218,9.820827507024319e-5,0.005417823174708416,0.004962102319338604,Dna2/Mcm7/Lig1/Prim1/Rfc5/Rpa2/Pcna/Rnaseh2c/Pola1/Pold4/Mcm5/Rfc2/Pole3/Pold2/Rfc4/Rnaseh2a/Pole/Rpa1/Ssbp1/Pola2/Rfc3/Prim2,22
Organismal Systems,Endocrine system,mmu04925,Aldosterone synthesis and secretion,29/1525,53/4912,0.5471698113207547,1.762424992267244,3.7443281233851673,2.743751915535109e-4,0.012974026914887443,0.011882715062768593,Itpr1/Scarb1/Adcy7/Calm2/Camk1d/Prkacb/Atp1a1/Prkd3/Calm3/Atp1b3/Prkd2/Prkce/Daglb/Adcy9/Camk2g/Gna11/Plcb2/Plcb3/Creb3l2/Camk2d/Itpr3/Plcb4/Creb3/Nr4a1/Creb3l1/Atp1a3/Prkca/Orai1/Prkcg,29
Cellular Processes,Cell growth and death,mmu04110,Cell cycle,66/1525,149/4912,0.4429530201342282,1.4267444163274288,3.549220500786671,3.7661871744850415e-4,0.01558259943443186,0.014271867187522264,Cdc20/Ccnb2/Bub1b/Ccna2/Ccnb1/Cdkn2c/Cdc25b/Aurkb/Ndc80/Myc/E2f2/Mad2l1/Plk1/Cdca5/Fbxo5/Knl1/Cdk1/Anapc5/Sgo1/Bub1/Esco2/Cdkn2d/Ttk/Cdc25c/Dbf4/Tfdp2/Ccnd3/Gadd45a/Mcm7/Ccnd1/Cdc45/Ticrr/Cdc23/Gadd45g/Chek2/Anapc11/Pcna/Smc3/Ccne2/Smc1a/Bub3/Pkmyt1/Mcm5/Ppp2r5a/Ddx11/Trip13/Cdk4/E2f1/Cdt1/Mad1l1/Cdc7/Orc5/Cdc6/Cdc25a/Abl1/Espl1/Skp2/Cdc16/Ccne1/Hdac8/Cdc26/Ccnh/Tgfb1/Cdk2/Orc6/Chek1,66
Metabolism,Xenobiotics biodegradation and metabolism,mmu00983,Drug metabolism - other enzymes,23/1525,40/4912,0.575,1.8520655737704916,3.630460075830117,4.5290985210379246e-4,0.016657017894039478,0.015255910807706694,Rrm2/Rrm1/Tk2/Tk1/Ugt1a7c/Nme4/Gusb/Mgst3/Cdadc1/Dut/Hprt1/Nme3/Nat2/Cmpk1/Xdh/Uck1/Nme6/Tymp/Nme7/Upp2/Impdh1/Ugt1a6a/Mgst1,23
Human Diseases,Infectious disease: bacterial,mmu05150,Staphylococcus aureus infection,15/1525,24/4912,0.625,2.0131147540983605,3.3381892396898447,0.0014200573277665344,0.04700389754907229,0.043050158989132836,Fcgr2b/Itgam/Itgb2/H2-DMb1/H2-DMa/H2-Oa/Itgal/Fcgr3/H2-Ob/Ptafr/C1qb/C3ar1/C1qc/Krt10/H2-Ab1,15
