category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,mmu04064,NF-kappa B signaling pathway,46/1515,82/4912,0.5609756097560976,1.8188199307735655,4.9930426536496375,1.5414622214249423e-6,2.766990790064289e-4,2.173467085851103e-4,Relb/Bcl2l1/Gadd45b/Cd40/Tnfaip3/Nfkbia/Nfkb2/Traf1/Il1b/Cflar/Bcl2a1b/Icam1/Bcl2a1d/Bcl2a1a/Ltb/Ptgs2/Traf3/Birc3/Map3k14/Birc2/Tnf/Prkcb/Traf6/Cxcl2/Rela/Bcl10/Traf2/Traf5/Tnfrsf11a/Ikbkb/Cyld/Rigi/Trim25/Ripk1/Nfkb1/Erc1/Myd88/Ube2i/Ticam2/Irak4/Malt1/Vcam1/Pias4/Tab3/Plau/Lck,46
Environmental Information Processing,Signaling molecules and interaction,mmu04060,Cytokine-cytokine receptor interaction,54/1515,102/4912,0.5294117647058824,1.71648223645894,4.882884878775231,2.2540922819521726e-6,2.766990790064289e-4,2.173467085851103e-4,Il12b/Cd40/Il1b/Il21r/Il2rg/Ccl22/Ccl5/Ccr7/Relt/Ltb/Tnfrsf9/Ifnlr1/Tnfsf9/Il15ra/Cx3cl1/Cxcl16/Ccl9/Il1rn/Il4ra/Tnf/Tnfrsf1b/Il13ra1/Fas/Cxcl2/Csf1/Tnfrsf4/Ebi3/Cxcl9/Csf2rb/Tgfbr1/Tnfrsf11a/Il2ra/Cxcl10/Il15/Csf2rb2/Csf1r/Cxcr4/Tgfbr2/Il20rb/Tnfrsf10b/Tnfrsf14/Il3ra/Il6st/Ifngr2/Bmpr1a/Il10ra/Il7r/Tnfrsf12a/Acvr1b/Rell2/Tnfsf13/Cd4/Acvr2a/Ccr1,54
Environmental Information Processing,Signal transduction,mmu04668,TNF signaling pathway,51/1515,95/4912,0.5368421052631579,1.7405732152162585,4.867264976712138,2.5078466375205035e-6,2.766990790064289e-4,2.173467085851103e-4,Tnfaip3/Nfkbia/Traf1/Jag1/Il1b/Ccl5/Socs3/Bcl3/Cflar/Icam1/Irf1/Mapk11/Ptgs2/Dnm1l/Nod2/Traf3/Birc3/Cx3cl1/Map3k14/Rhbdf2/Birc2/Junb/Casp3/Tnf/Tnfrsf1b/Map3k8/Fas/Creb5/Cxcl2/Rela/Csf1/Traf2/Pik3r3/Casp7/Traf5/Pik3r1/Cxcl10/Il15/Ikbkb/Cyld/Creb1/Mmp14/Ripk1/Nfkb1/Akt1/Adam17/Map2k1/Vcam1/Atf2/Mapk8/Tab3,51
Environmental Information Processing,Signal transduction,mmu04630,JAK-STAT signaling pathway,47/1515,87/4912,0.5402298850574713,1.7515572246879862,4.722984622121565,4.938394323515486e-6,4.086521302709065e-4,3.209956310285066e-4,Stat3/Il12b/Bcl2l1/Cdkn1a/Pim1/Il21r/Il2rg/Socs3/Stat4/Socs2/Ccnd2/Ifnlr1/Il15ra/Stat5a/Jak3/Il4ra/Jak2/Il13ra1/Pias3/Mtor/Pik3r3/Jak1/Stat1/Csf2rb/Pik3r1/Il2ra/Il15/Csf2rb2/Ptpn2/Socs1/Tyk2/Il20rb/Grb2/Stat5b/Stam2/Il3ra/Akt1/Il6st/Stat6/Ifngr2/Ep300/Il10ra/Pias1/Il7r/Crebbp/Pias4/Sos1,47
Organismal Systems,Immune system,mmu04622,RIG-I-like receptor signaling pathway,30/1515,50/4912,0.6,1.9453465346534653,4.486545448746625,1.751434816430552e-5,8.713283052277169e-4,6.844270675504725e-4,Il12b/Nfkbia/Isg15/Tank/Znfx1/Mapk11/Traf3/Ifih1/Nfkbib/Tnf/Traf6/Rela/Ikbke/Traf2/Dhx58/Map3k1/Cxcl10/Otud5/Ikbkb/Cyld/Adar/Rigi/Tbk1/Trim25/Ripk1/Nfkb1/Irf7/Nlrx1/Atg5/Mapk8,30
Human Diseases,Infectious disease: viral,mmu05169,Epstein-Barr virus infection,81/1515,178/4912,0.4550561797752809,1.475403270664145,4.314212667274067,1.998403213399862e-5,8.713283052277169e-4,6.844270675504725e-4,Relb/Stat3/Gadd45b/Cd40/Tnfaip3/Nfkbia/Cdkn1a/Nfkb2/Isg15/H2-Q7/H2-Q9/H2-Q6/H2-M2/Icam1/H2-Q4/Ccnd2/Nfkbie/Mapk11/H2-Eb2/Traf3/B2m/Map3k14/Nfkbib/Nedd4/Apaf1/H2-K1/Bcl2l11/Cdkn1b/Jak3/Mdm2/Casp3/Tapbpl/Tnf/H2-D1/Fas/Oas1a/Traf6/Rela/Ikbke/Traf2/Pik3r3/Jak1/Stat1/Bax/Traf5/Pik3r1/Psmc5/Psmc4/Tapbp/Cxcl10/Cd247/H2-Q10/Ikbkb/Tyk2/Psmd1/Tlr2/Psmd2/Psmd11/Psmc1/H2-T22/Rigi/Tbk1/Bak1/Calr/Ripk1/Nfkb1/Akt1/Sin3a/Psmd7/Hdac1/H2-DMb2/Myd88/Irf7/Psmd12/Psmd14/Eif2ak2/Irak4/Runx3/Mapk8/Oas2/Cdk6,81
Organismal Systems,Immune system,mmu04659,Th17 cell differentiation,41/1515,76/4912,0.5394736842105263,1.7491054368594756,4.39491124760911,2.0742350178173065e-5,8.713283052277169e-4,6.844270675504725e-4,Stat3/Nfkbia/Il1b/Il21r/Il2rg/Nfkbie/Mapk11/H2-Eb2/Nfkbib/Stat5a/Jak3/Il4ra/Jak2/Rora/Rela/Irf4/Ahr/Mtor/Jak1/Stat1/Ebi3/Tgfbr1/Hif1a/Il2ra/Smad4/Cd247/Ikbkb/Hsp90ab1/Tyk2/Tgfbr2/Stat5b/Nfkb1/Il6st/Stat6/Ifngr2/H2-DMb2/Ppp3cc/Ppp3cb/Mapk8/Cd4/Lck,41
Organismal Systems,Immune system,mmu04625,C-type lectin receptor signaling pathway,45/1515,86/4912,0.5232558139534884,1.6965231406861618,4.351456300837747,2.3338468978505565e-5,8.713283052277169e-4,6.844270675504725e-4,Relb/Il12b/Nfkbia/Nfkb2/Il1b/Src/Ccl22/Bcl3/Rras2/Irf1/Mapk11/Ptgs2/Calm1/Map3k14/Cblb/Mdm2/Tnf/Clec7a/Rela/Ikbke/Bcl10/Rras/Pik3r3/Stat1/Pik3r1/Plk3/Arhgef12/Ksr1/Card9/Ikbkb/Cyld/Casp1/Egr3/Nfkb1/Akt1/Nras/Prkcd/Clec4n/Ppp3cc/Mapkapk2/Ppp3cb/Malt1/Mras/Mapk8/Egr2,45
Human Diseases,Infectious disease: viral,mmu05165,Human papillomavirus infection,100/1515,230/4912,0.43478260869565216,1.409671401922801,4.249397630957718,2.369170618443943e-5,8.713283052277169e-4,6.844270675504725e-4,Itgb5/Cdkn1a/Itgb8/Jag1/Isg15/H2-Q7/H2-Q9/H2-Q6/H2-M2/Atp6v0a1/H2-Q4/Nherf1/Ccnd2/Oasl1/Irf1/Ptgs2/Tcf7/Itga2b/Traf3/Atp6v0c/Wnt11/H2-K1/Itga4/Cdkn1b/Mdm2/Casp3/Tnf/H2-D1/Ptger4/Itga5/Fas/Dlg3/Creb5/Rela/Atp6v1a/Ikbke/Ppp2ca/Mtor/Pik3r3/Jak1/Stat1/Bax/Fzd5/Pik3r1/Csnk1a1/Pals1/Tsc1/Vegfa/Atp6v1b2/Atp6v0d1/Fn1/Llgl1/Foxo1/H2-Q10/Ikbkb/Ubr4/Atr/Tyk2/Oasl2/Creb1/Grb2/Itgb1/Psmc1/Atp6v1f/H2-T22/Tbk1/Bak1/Pard6g/Nfkb1/Akt1/Maml1/Ppp2cb/Ppp2r5b/Ppp2r3a/Nras/Ppp2r1a/Hdac1/Ppp2r1b/Tnc/Atp6v1c1/Thbs3/Ppp2r2d/Ep300/Map2k1/Chd4/Pxn/Dvl1/Rbl1/Eif2ak2/Crebbp/Sos1/Apc/Llgl2/Patj/Cdk6/Itga3/Itgb3/Thbs1/Maml3/Comp,100
Organismal Systems,Development and regeneration,mmu04380,Osteoclast differentiation,52/1515,106/4912,0.49056603773584906,1.5905349025468585,4.104404266485461,5.6328167016400276e-5,0.0018644623282428492,0.0014645323424264073,Relb/Sqstm1/Nfkbia/Nfkb2/Il1b/Socs3/Mapk11/Sirpa/Tec/Map3k14/Junb/Ncf1/Tnf/Traf6/Rela/Csf1/Mitf/Traf2/Pik3r3/Jak1/Stat1/Pira2/Pik3r1/Tgfbr1/Tnfrsf11a/Csf1r/Ikbkb/Gab2/Cyld/Socs1/Tyk2/Tgfbr2/Lilrb4b/Creb1/Grb2/Pira1/Pirb/Lilrb4a/Nfkb1/Akt1/Ifngr2/Map2k1/Ppp3cc/Ppp3cb/Fosb/Pira13/Fyn/Mapk8/Acp5/Lcp2/Itgb3/Lck,52
