ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,182,-0.7478492776911075,-2.3567209526628297,1e-10,2.5e-9,1.7368421052631581e-9,1540,"tags=48%, list=14%, signal=42%",69270/66442/21379/69716/56403/22059/76131/15366/20135/12534/67054/18971/18817/13433/12531/67196/53605/103468/12580/20878/13018/19718/12021/20833/19362/53381/22154/110052/66131/20937/17217/56419/20462/72391/19385/16906/70218/21877/66570/218210/15374/20492/11991/18972/14056/54141/110074/50927/18969/18973/69639/218977/21917/19891/105988/17219/245688/17121/68219/230484/17215/68278/20877/56150/18538/107995/17865/17279/21853/17218/16571/20638/16881/66422/20382/110033/229841/106795/66197/17869/52276/14793/54124/108961/70099/12704/66929
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,174,-0.6431241543425488,-2.0133351349688384,1e-10,2.5e-9,1.7368421052631581e-9,1388,"tags=41%, list=13%, signal=37%",15366/272551/12534/27041/22137/13555/22036/18817/23834/12531/12545/12580/20878/13018/78733/80914/101706/12021/12443/20937/14211/77782/20462/72391/19366/16906/51810/12544/15374/12235/11991/18005/14056/240641/60406/50927/104394/27214/18969/18973/21917/72119/19891/105988/17219/76464/20460/77605/17215/68278/67141/20877/56150/12449/107995/17865/17218/16571/20382/110033/67052/68612/229841/66197/17869/21803/108907/54124/70099/108000/209737/16551
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,184,0.5612128357063807,1.7678548874843265,3.955891918808752e-7,6.593153198014587e-6,4.580506432304871e-6,2301,"tags=40%, list=22%, signal=32%",11973/15926/67442/11429/16832/67834/13063/21854/66335/22272/625249/109754/64704/231086/12856/22333/12859/66841/67680/67460/227197/66142/17448/56451/66445/11655/18115/76614/12858/18674/68202/17992/235339/57279/11947/66885/226139/12866/66377/15526/13382/28080/66152/69802/18242/230075/104776/11306/66383/66290/70316/66144/68194/30057/11757/97212/69597/66052/228033/66594/66108/68198/269951/54405/108664/12864/214952/11951/27402/72900/55951/110323/18984
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,181,-0.5501367039236799,-1.7342251631863206,2.2141784211252744e-6,2.767723026406593e-5,1.9228391551877384e-5,1874,"tags=33%, list=18%, signal=28%",13877/26441/27756/106344/26445/101943/230908/68092/20641/12461/18263/66446/68981/56403/20639/27041/16828/20174/107686/66094/18148/56200/18458/74326/53605/15452/53381/53607/110052/17217/108062/20462/19385/20383/53379/50995/229279/51810/12544/225027/11991/18972/20133/22171/110074/56086/17219/21849/230484/68011/28126/56150/18538/107995/17218/20382/17869/14694/23918/15382
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,68,0.6819336157915957,1.8711173400008916,3.30359538093012e-6,3.30359538093012e-5,2.2951294225409255e-5,1393,"tags=43%, list=13%, signal=37%",22038/74157/56791/19106/22375/69550/68487/58185/108670/54199/15959/22169/80285/16362/547253/56417/15945/12977/16190/100121/211329/64685/12010/217069/12370/53312/65972/17858/99899
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,139,0.5708222402139231,1.7426917125163213,6.106093586110351e-6,5.088411321758626e-5,3.535106813011256e-5,1410,"tags=37%, list=13%, signal=33%",22038/74157/230073/60533/58203/56791/19106/22375/69550/58185/108670/20848/18712/15251/15959/59027/236573/21929/22169/246727/16362/18035/16068/16169/14962/246728/14102/17768/547253/18854/56417/15945/15894/19225/16190/100121/434341/15930/18578/64685/76074/12010/217069/12494/12370/14964/65972/17858/12363/99899/14990/12367
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,145,0.5655454973805636,1.7389134475347308,1.2061309050309238e-5,8.615220750220884e-5,5.9853112580481935e-5,1016,"tags=32%, list=10%, signal=30%",15937/11303/230073/18024/18081/12051/19698/22339/20620/18030/17872/14579/54199/18034/16449/74646/12044/21353/170768/59027/75234/21942/11852/12519/21929/229055/16362/11797/13660/18035/16169/16601/19347/18037/240672/12522/67035/15945/15894/12977/19225/21807/13197/12228/18578/56336/18227
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,77,0.6261542684456265,1.750666246814002,5.8863645859254094e-5,3.678977866203381e-4,2.5559214649412967e-4,886,"tags=44%, list=8%, signal=41%",17387/27279/14268/16419/226519/12558/22339/20969/30794/13518/14579/16971/12321/20649/21817/26432/11852/107589/21929/20750/56401/18645/83554/70350/13612/58859/13807/14102/16410/24051/12831/12153/16412/13197
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,142,0.5079709588861122,1.5528038257460568,7.480104121773917e-4,0.004155613400985509,0.0028870577312109856,1567,"tags=36%, list=15%, signal=31%",15937/17246/18081/68428/22032/67442/20969/20620/56437/16832/13198/17872/98845/27416/26570/75234/68048/12579/11820/207785/67776/15468/19143/14102/67880/217344/22337/12569/12192/105501/21807/13197/22592/22057/56464/19730/76500/53619/29858/228775/20198/319162/65972/53421/17254/224624/11783/17988/22591/66383/116914
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,117,0.5097656063115602,1.5153301109784507,0.001607256642715854,0.008036283213579269,0.005583102022065598,1582,"tags=35%, list=15%, signal=30%",15937/18484/15275/22339/18030/72157/18641/13198/18712/17872/16795/14433/17684/83814/170768/21817/17748/52187/21929/11674/13807/19883/83397/11977/13808/74185/12831/50527/104263/18750/12577/14635/26401/76238/20198/17859/53374/17988/57444/12767/18451
