ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005681,spliceosomal complex,114/3987,196/10761,0.5816326530612245,1.5698392223706636,6.176639877673411,1.1585612505502244e-9,7.739189153675498e-7,6.792827542699737e-7,Hnrnpa1/Alyref/Srsf2/Ik/Snrpf/Snrpb/U2af2/Sf1/Lsm6/Snrpg/Armc7/Sf3b2/Rbmx/Ccdc12/Snrnp40/Pabpc1/Prpf19/Xab2/Ddx46/Lsm4/Pabpc4/Ppie/Hnrnpu/Rbm22/Hnrnpm/Tra2b/BC005624/Hnrnpf/Hnrnpa2b1/Hnrnpa3/Snip1/Syf2/Frg1/Snrpb2/Rbm3/Ybx1/Rbm17/Rnf113a2/Ddx39b/Eif4a3/Htatsf1/Txnl4a/Syncrip/Raly/Rheb/Zcchc8/Hnrnpr/Rbm8a/Ppih/Alyref2/Magoh/Zrsr2/Hnrnpc/Snrpa/Snrpe/Snrnp70/Ddx23/Lsm7/Rbmxl1/Hnrnpk/Sf3a2/Snrpd2/Zmat2/Sf3a3/Snrpd1/Dhx38/U2af1/Lsm2/Dhx16/U2af1l4/Cdc5l/Sart1/Sf3b6/Sf3b4/Cirbp/Sf3b5/Rbm42/Snu13/Smu1/Clns1a/Bcas2/Ppwd1/Cactin/Smndc1/Zfp830/Snrpd3/Casc3/Lsm5/Ddx5/Snrpa1/Rbm5/Ncl/Sf3b1/Ddx41/Api5/Prpf18/Rbm48/Prpf4b/Cwf19l1/Prpf3/Hnrnph1/Dnajc17/Lgals3/Snrpc/Lsm3/Dhx32/Akap17b/Rbmx2/Snrnp48/Ppil1/Luc7l/Yju2/Cwc27/Isy1,114
GO:0071013,catalytic step 2 spliceosome,58/3987,87/10761,0.6666666666666666,1.799347880611989,5.742995979291935,1.7966212967701795e-8,6.000715131212399e-6,5.266937170005211e-6,Hnrnpa1/Alyref/Snrpf/Snrpb/Snrpg/Sf3b2/Rbmx/Snrnp40/Pabpc1/Prpf19/Xab2/Ppie/Hnrnpu/Rbm22/Hnrnpm/Hnrnpf/Hnrnpa2b1/Hnrnpa3/Syf2/Frg1/Snrpb2/Eif4a3/Syncrip/Raly/Zcchc8/Hnrnpr/Rbm8a/Alyref2/Magoh/Hnrnpc/Snrpe/Ddx23/Lsm7/Rbmxl1/Hnrnpk/Sf3a2/Snrpd2/Sf3a3/Snrpd1/Dhx38/U2af1/Lsm2/Cdc5l/Sart1/Bcas2/Ppwd1/Cactin/Snrpd3/Ddx5/Snrpa1/Sf3b1/Ddx41/Prpf4b/Hnrnph1/Lsm3/Ppil1/Cwc27/Isy1,58
GO:0000228,nuclear chromosome,111/3987,200/10761,0.555,1.497957110609481,5.453321122316927,6.703452262270705e-8,1.1855033127152415e-5,1.0405378902968635e-5,Add3/Sun2/Ncaph2/Ncapd2/H2ax/Smc1a/Top2a/Pold4/Anp32e/Srsf2/Ik/Birc5/Incenp/Mcm7/Rbbp7/Smc4/Macroh2a1/Lrwd1/Prpf19/Rpa2/Pcna/Pold2/Rbbp4/Hnrnpu/Pola2/Mcm6/Topbp1/Mcm5/Syce2/Pola1/Pold1/Ncaph/Hcfc1/Rcc1/Mcm3/Uchl5/Nufip1/Xlr/Pole/Brd8/Wdhd1/Ing1/Tipin/Hltf/Sap30/Smc2/Cdc45/Parp1/Sirt7/Prim1/Ruvbl2/Mcm4/Rad51/Arid4a/Atf6b/Timeless/Stag3/Sin3a/Nek2/Ing2/Phf12/Cdc5l/Mre11a/Ino80e/Mms22l/Ino80c/Actr5/Tardbp/Helb/Mcrs1/Pold3/Etaa1/Ep400/E2f1/Bcas2/Ncapg/Spidr/Hdac1/Pinx1/Gins2/Ncapg2/Brms1/Rpa3/Plk1/Brca2/Eme1/Cfdp1/Prim2/Smc3/Rad9a/Ino80/Tonsl/Chmp1a/Smarca5/Smarcal1/Ncapd3/Fignl1/Orc6/Msh5/Slx4/Actl6a/Sap30l/Tfpt/Gins1/Gins4/Mlh1/Psmc3ip/Zranb3/Slx1b/Pole2/Mcm10,111
GO:0000793,condensed chromosome,130/3987,242/10761,0.5371900826446281,1.449887755038586,5.430393309380091,7.098822231827794e-8,1.1855033127152415e-5,1.0405378902968635e-5,Add3/Sun2/Mki67/Ncaph2/Ncapd2/Cenpa/H2ax/Smc1a/Hmgb2/Top2a/Bub1b/Septin6/Birc5/Incenp/Smc4/Hmgb1/Macroh2a1/Phf10/Nsmce4a/Cenpf/Spc24/Cenpe/Lrwd1/Knstrn/Ndc80/Kmt5c/Smarcd2/Hjurp/Meaf6/Mad2l1/Hnrnpu/Phf2/Cenpv/Topbp1/Syce2/Pes1/Cdc20/Aurkb/Ncaph/Nuf2/Cenpm/Rcc1/Cenpn/Banf1/Ctcf/Cenpi/Xlr/Nsl1/Bub1/Ska1/Plk3/Pmf1/Knl1/Cenpo/Cenpx/Smarcc2/Sgo1/Cenpl/Ercc6l/Smc2/Rad51/Spag5/Chmp1b/Seh1l/Atf6b/Stag3/Kif18a/Dctn5/Ttk/Sin3a/Cenpp/Kntc1/Nek2/Cenph/Nde1/Mre11a/Nup107/Zfp276/Champ1/Cenpu/Ska3/Mcrs1/Spc25/Sgo2a/Ncapg/Akap8/Pinx1/Bub3/Cenpk/Cenps/Trappc12/Ccnb1/Chmp2a/Cenpc1/Ncapg2/Mad1l1/Cenpq/Cenpt/Plk1/Spout1/Brca2/Dctn2/Nup85/Crebbp/Cfdp1/Aurka/Smc3/Dynll1/Rad9a/Smc6/Cenpw/Chmp1a/Kmt5b/Smarca5/Prpf4b/Actb/Nsmce1/Cdt1/Kif2c/Xpo1/Ncapd3/Nsmce2/Msh5/Pbrm1/Zwilch/Actl6a/Mlh1/Psmc3ip/Eid3/Firrm,130
GO:0005819,spindle,192/3987,385/10761,0.4987012987012987,1.3460056873149424,5.304021525737961,1.1864286000667672e-7,1.505931760172228e-5,1.3217837857168786e-5,Kif23/Mapk14/Hepacam2/Tpt1/Smc1a/Nsun2/Eml3/Racgap1/Nr3c1/Bub1b/Septin6/Ik/Myc/Kif15/Birc5/Incenp/Cep128/Nek6/Nusap1/Cenpf/Nedd9/Kif11/Tbl1xr1/Cdca8/Cenpe/Fbxo5/Rgs14/Knstrn/Irag2/Prpf19/Calm2/Kif22/Tacc3/Mad2l1/Myh9/Anxa11/Numa1/Espl1/Tubb5/Tubb4b/Ptpn7/Septin1/Hnrnpu/Eml4/Nudc/Rtraf/Diaph1/Cenpv/Topbp1/Bora/Cdc20/Aurkb/Aspm/Trappc14/Calm3/Sgf29/Tubb6/Lsm14a/Kif14/Rab11a/Dpysl2/Kif20b/Tpx2/Nsl1/Map1s/Lats2/Npm1/Ska1/Haus4/Plk3/Pmf1/Cdc42/Kif20a/Tubgcp5/Clta/Ckap2l/Unc119/Shcbp1/Alpk1/Sgo1/Kif18b/Cep250/Ccar2/Mapre2/Cdc25b/Dcun1d5/Ctdp1/Spast/Mzt1/Spag5/Cdc7/Chmp1b/Haus2/Poc1b/Cd180/Kif18a/Kifc1/Diaph3/Rassf1/Bmyc/Dlgap5/Stag2/Kntc1/Nek2/Haus1/Afg2a/Nde1/Ralbp1/Wdr5/Cdc14a/Ccsap/Kifc5b/Tnks/Cntrl/Rb1/Fam83d/Mad2l2/Champ1/Cdc6/Ska3/Mcrs1/Cep295/Haspin/Emd/Prc1/Tfdp2/Cdk1/Pinx1/Taf1d/Ccnb1/Chmp2a/Haus5/Mbip/Bnip2/Mad1l1/Hmmr/Mapre1/Phlpp2/Plk1/Spout1/Tubb2a/Nup85/Vps4a/Anapc5/Spice1/Dido1/Cyld/Brcc3/Aurka/Cep350/Terf1/Smc3/Map9/Kif2a/Hdac3/Dynll1/Smc6/E4f1/Nup62/Ino80/Chmp1a/Kmt5b/Arhgap6/Nin/Nubp2/Nsmce1/Cep89/Kif2c/Jtb/Cep85/Aunip/Dynlt1b/Gpsm2/Afg2b/Agbl5/Haus7/Enkd1/Cep63/Haus3/Haus8/Birc6/Fam161a/Katnb1/Bex6/Parp4/Firrm/Ect2/Wdr62/Poc1a/Mzt2/Adrb2/Map10,192
GO:0000775,"chromosome, centromeric region",125/3987,233/10761,0.5364806866952789,1.447973079891622,5.303512495041578,1.393806781100928e-7,1.505931760172228e-5,1.3217837857168786e-5,Mki67/Ncapd2/Cenpa/Smc1a/Top2a/Ppp2r5a/Mis18a/Bub1b/Septin6/Birc5/Incenp/Smc4/Macroh2a1/Phf10/Cenpf/Spc24/Cdca8/Cenpe/Ikzf1/Lrwd1/Knstrn/Ndc80/Kmt5c/Smarcd2/Hjurp/Meaf6/Mad2l1/Esco2/Suv39h1/Hnrnpu/Ezh2/Phf2/BC005624/Cenpv/Ppp2r5c/Cdc20/Aurkb/Nuf2/Cenpm/Cenpn/Chrac1/Ctcf/Cenpi/Nsl1/Mis18bp1/Bub1/Kat7/Ska1/Plk3/Pmf1/Knl1/Wdhd1/Cenpo/Cenpx/Smarcc2/Sgo1/Cenpl/Ercc6l/Spag5/Chmp1b/Seh1l/Stag3/Kif18a/Ngdn/Dctn5/Stag2/Ttk/Sin3a/Cenpp/Kntc1/Nek2/Cenph/Nde1/Dnmt1/Nup107/Zfp276/Champ1/Cenpu/Ska3/Mcrs1/Spc25/Sgo2a/Ncapg/Fmr1/Pinx1/Bub3/Cenpk/Cenps/Trappc12/Ccnb1/Chmp2a/Cenpc1/Mad1l1/Cenpq/Cenpt/Plk1/Spout1/Dctn2/Nup85/Crebbp/Dscc1/Cfdp1/Dnmt3b/Aurka/Smc3/Dynll1/Smc6/Cenpw/Chmp1a/Kmt5b/Smarca5/Oip5/Prpf4b/Actb/Nsmce1/Cdt1/Kif2c/Xpo1/Ncapd3/Zfp330/Pbrm1/Zwilch/Actl6a/Firrm/Suv39h2,125
GO:1990904,ribonucleoprotein complex,232/3987,480/10761,0.48333333333333334,1.3045272134436918,5.236434855192687,1.5780722037732928e-7,1.505931760172228e-5,1.3217837857168786e-5,Ago4/Fbl/Hnrnpa1/Srrt/Eef2/Rack1/Alyref/Eif3k/Top2a/Eif3f/Hnrnpul1/Nsa2/Noc2l/Hnrnpa0/Uba52/Srsf2/Nol7/Ik/Snrpf/Snrpb/U2af2/Sf1/Lsm6/Eif3e/Snrpg/Armc7/Hnrnpd/Sf3b2/Rbmx/Ccdc12/Top2b/Fau/Snrnp40/Eif3h/Pabpc1/Prpf19/Hnrnpll/Ddx3x/Eif3i/Eif3m/Srp9/Larp7/Xab2/Ddx46/Lsm4/Pabpc4/Ppie/Hnrnpu/Rbm22/Hnrnpm/Dazap1/Tra2b/Zfp622/Acd/BC005624/Hnrnpf/Gar1/Lrrk2/Pes1/Prkra/Zfp36l2/Hnrnpa2b1/Hnrnpa3/Snip1/Syf2/Frg1/Snrpb2/Tial1/Rbm3/Lsm14a/Ybx1/Rbm17/Rnf113a2/Ddx39b/Slbp/Nufip1/Eif4a3/Rpp21/Pcbp2/Htatsf1/Tep1/Imp3/Npm1/Eif1b/Hnrnph2/Txnl4a/Syncrip/Ppan/Iqgap1/Raly/Taf9/Rheb/Nvl/Zcchc8/Hnrnph3/Rbms1/Cpsf3/Hnrnpr/Utp3/Rbm8a/Ppih/Alyref2/Magoh/Nop9/Hsd17b10/Zrsr2/Hnrnpc/Snrpa/Snrpe/Nfatc2/Ruvbl2/Snrnp70/Riok3/Ddx23/Nob1/Dyrk1a/Lsm7/Rbmxl1/Ngdn/Hnrnpk/Sf3a2/Snrpd2/Zmat2/Sf3a3/Nop10/Utp14a/Pih1d1/Snrpd1/Dhx38/Eif3g/U2af1/Lsm2/Tnrc6a/Dhx16/Rrp7a/Pa2g4/U2af1l4/Ptges3/Cdc5l/Sart1/Sf3b6/Emg1/Sf3b4/Cirbp/Sf3b5/Rbm42/Snu13/Hspa1a/Smu1/Exosc10/Clns1a/Bcas2/Ppwd1/Nat10/Fmr1/Cactin/Smndc1/Smg6/Zfp830/Trmt10c/Snrpd3/Jmjd6/Casc3/Lsm5/Ddx17/Ddx5/Dkc1/Snrpa1/Rbm5/Tifab/Ncl/Eif3j1/Pdcd11/Wdr46/Nip7/Pabpn1/Dcp2/Grsf1/Rpp30/Krr1/Sf3b1/Ddx41/Api5/Wdr74/Dnttip2/Secisbp2/Nup62/Wdr3/Riok1/Prpf18/Rbm48/Prpf4b/Cwf19l1/Actb/Prpf3/Hnrnph1/Rrp15/Dnajc17/Lgals3/Eif3l/Celf4/Snrpc/Xpo1/Lsm3/Zfp36/Nepro/Dhx32/Akap17b/Rbmx2/Pop5/Rrp9/Utp15/Chchd1/Snrnp48/Jakmip1/Ppil1/Dyrk2/Rbm12b2/Luc7l/Utp11/Srfbp1/Noc4l/Yju2/Parp4/Cwc27/Isy1/Dimt1/Jrk/Pop7/Eif3j2/Pcbp3/Lsm11,232
GO:0098687,chromosomal region,167/3987,332/10761,0.5030120481927711,1.3576404942569376,5.078097695843281,3.9188031478125963e-7,3.272200628423518e-5,2.872070201752127e-5,Sun2/Mki67/Ncapd2/Cenpa/H2ax/Smc1a/Alyref/Top2a/Mta2/Ppp2r5a/Mis18a/Bub1b/Septin6/Birc5/Incenp/Rbbp7/Smc4/Macroh2a1/Phf10/Nsmce4a/Cenpf/Spc24/Dna2/Cdca8/Cenpe/Ikzf1/Lrwd1/Knstrn/Ndc80/Kmt5c/Rpa2/Smarcd2/Hjurp/Meaf6/Mad2l1/Esco2/Rbbp4/Tinf2/Suv39h1/Hnrnpu/Ezh2/Phf2/Acd/BC005624/Cenpv/Ppp2r5c/Gar1/Cdc20/Thoc3/Pold1/Aurkb/Hnrnpa2b1/Nuf2/Cenpm/Cenpn/Chrac1/Ctcf/Cenpi/Nsl1/Tep1/Mis18bp1/Fen1/Bub1/Kat7/Ska1/Plk3/Pmf1/Knl1/Wdhd1/Cenpo/Rad51ap1/Cenpx/Smarcc2/Sgo1/Cenpl/Ercc6l/Alyref2/Ppp1ca/Rad51/Thoc7/Spag5/Chmp1b/Seh1l/Stag3/Kif18a/Ngdn/Dctn5/Stag2/Ttk/Sin3a/Nabp2/Cenpp/Kntc1/Nek2/Cenph/Nde1/Ten1/Tox4/Dnmt1/Mre11a/Nup107/Tnks/Zfp276/Champ1/Cenpu/Ska3/Mcrs1/Spc25/Sgo2a/Ncapg/Fmr1/Pinx1/Bub3/Cenpk/Cenps/Trappc12/Ccnb1/Chmp2a/Smg6/Cenpc1/Mad1l1/Cenpq/Cenpt/Plk1/Spout1/Brca2/Dctn2/Nup85/Crebbp/Dscc1/Cfdp1/Dnmt3b/Aurka/Terf1/Smc3/Dynll1/Smc6/Hat1/Cenpw/Recql4/Chmp1a/Kmt5b/Smarca5/Oip5/Prpf4b/Actb/Wdr82/Nsmce1/Cdt1/Kif2c/Xpo1/Ncapd3/Terf2/Zfp330/Nsmce2/Hmbox1/Pbrm1/Slx4/Zwilch/Actl6a/Thoc2/Eid3/Firrm/Pot1b/Suv39h2/Pif1/Zbtb48,167
GO:0000779,"condensed chromosome, centromeric region",93/3987,170/10761,0.5470588235294118,1.4765237020316029,4.804488310843279,1.7940832531113957e-6,1.3316084589760137e-4,1.1687770432550264e-4,Ncapd2/Cenpa/Smc1a/Bub1b/Septin6/Birc5/Incenp/Phf10/Cenpf/Spc24/Cenpe/Lrwd1/Knstrn/Ndc80/Kmt5c/Smarcd2/Hjurp/Meaf6/Mad2l1/Hnrnpu/Phf2/Cenpv/Cdc20/Aurkb/Nuf2/Cenpm/Cenpn/Cenpi/Nsl1/Bub1/Ska1/Plk3/Pmf1/Knl1/Cenpo/Cenpx/Smarcc2/Sgo1/Cenpl/Ercc6l/Spag5/Chmp1b/Seh1l/Kif18a/Dctn5/Ttk/Sin3a/Cenpp/Kntc1/Nek2/Cenph/Nde1/Nup107/Zfp276/Champ1/Cenpu/Ska3/Mcrs1/Spc25/Sgo2a/Ncapg/Pinx1/Bub3/Cenpk/Cenps/Trappc12/Ccnb1/Chmp2a/Cenpc1/Mad1l1/Cenpq/Cenpt/Plk1/Spout1/Dctn2/Nup85/Crebbp/Cfdp1/Aurka/Dynll1/Cenpw/Chmp1a/Kmt5b/Prpf4b/Actb/Cdt1/Kif2c/Xpo1/Ncapd3/Pbrm1/Zwilch/Actl6a/Firrm,93
GO:0072686,mitotic spindle,93/3987,171/10761,0.543859649122807,1.4678890604992543,4.731508490526136,2.515282421724687e-6,1.680208657712091e-4,1.4747497988427903e-4,Kif23/Hepacam2/Smc1a/Eml3/Racgap1/Ik/Nusap1/Nedd9/Kif11/Tbl1xr1/Cenpe/Knstrn/Kif22/Tacc3/Mad2l1/Numa1/Espl1/Tubb5/Tubb4b/Ptpn7/Hnrnpu/Eml4/Nudc/Rtraf/Diaph1/Aurkb/Aspm/Trappc14/Sgf29/Tubb6/Lsm14a/Dpysl2/Kif20b/Tpx2/Map1s/Ska1/Haus4/Cdc42/Kif20a/Ckap2l/Kif18b/Spag5/Cdc7/Haus2/Cd180/Kif18a/Kifc1/Dlgap5/Stag2/Haus1/Wdr5/Cdc14a/Ccsap/Kifc5b/Tnks/Cntrl/Fam83d/Cdc6/Ska3/Cep295/Prc1/Tfdp2/Cdk1/Taf1d/Haus5/Mbip/Mad1l1/Mapre1/Phlpp2/Plk1/Spout1/Tubb2a/Aurka/Smc3/Map9/Kif2a/Hdac3/Dynll1/Smc6/Nup62/Kmt5b/Arhgap6/Nin/Nsmce1/Gpsm2/Agbl5/Haus7/Haus3/Haus8/Fam161a/Ect2/Adrb2/Map10,93
