ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,199,-0.6667005833171431,-2.155290936559076,1e-10,5e-9,3.2631578947368424e-9,1985,"tags=46%, list=18%, signal=38%",218977/19718/67196/56419/12021/21853/54141/17217/53381/12580/12531/72391/20833/19385/70218/66131/22059/19362/56403/50927/18973/67054/20492/13018/21877/17215/66570/218210/20877/18971/107995/16906/17218/110052/17219/20462/18969/17121/16571/68278/14056/21917/20937/15374/22154/105988/69639/18972/18538/56150/106795/21335/110074/66422/110033/19891/17865/12704/17279/54124/16881/229841/52276/230484/14793/67629/11991/66929/70099/245688/17220/20638/11799/108961/53605/17869/68219/12236/20382/12442/66197/66471/26934/21973/97165/98386/16765/24061/15270/68298/17345
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,183,0.6291579011984775,1.930826630918796,4.50966189767983e-9,7.516103162799716e-8,4.9052462746692885e-8,2115,"tags=42%, list=19%, signal=34%",13063/67442/11429/16832/67834/21854/66335/15926/22272/231086/227197/17448/66142/12859/22333/67680/67460/18115/68202/109754/76614/66445/17992/66841/11655/66377/15526/235339/12856/28080/11947/12866/230075/64704/66152/226139/13382/66885/104776/11306/69802/70316/108664/66290/66108/18242/66594/12858/30057/97212/228033/68198/12864/66052/68194/69597/66144/269951/54405/625249/18984/56451/11757/170731/11951/18674/78920/27402/68197/110323/17449/73834/53375/72900/110826/22273
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,190,-0.5980019742281336,-1.9193746513063328,4.360611722793548e-9,7.516103162799716e-8,4.9052462746692885e-8,1454,"tags=37%, list=13%, signal=33%",56403/76464/80914/50927/67956/12235/71514/72119/240641/18973/56275/13018/17215/18263/20877/107995/16906/17218/27214/68612/17219/20462/18969/16571/68278/14056/104394/20460/51810/12449/21917/20937/15374/105988/101706/56150/21335/110033/19891/17865/67052/54124/67141/229841/16551/21803/108000/11991/108907/70099/16319/11799/209737/17869/20382/12442/18129/12428/77605/66197/26934/21973/98386/16765/24061/15270/12615/242705/26416/17345
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,76,0.7433807197028499,2.0453054728283178,2.2916517019419217e-8,2.8645646274274023e-7,1.8695053357947257e-7,928,"tags=38%, list=8%, signal=35%",19124/15018/55932/69550/19106/58185/22038/99899/231655/14469/15959/22375/22169/56791/57444/68487/108670/56417/80285/15945/12977/17858/80861/100121/64685/12370/54199/547253/74157
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,154,0.5827910677831586,1.760064432307086,5.7381107596444675e-6,5.738110759644468e-5,3.7448722852416526e-5,942,"tags=29%, list=9%, signal=27%",15018/55932/20846/69550/19106/230073/20849/18854/58185/22038/246727/15251/99899/17472/231655/15959/98999/22375/22169/56791/60533/57444/236573/246728/59027/108670/19246/56417/15945/18712/17858/12494/80861/672511/100121/20848/64685/12370/21939/547253/14962/16169/74157/12702/15930
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,83,0.6374651027812623,1.7653703672996905,7.849707026533381e-5,6.541422522111152e-4,4.2691389091672777e-4,689,"tags=35%, list=6%, signal=33%",17387/20692/14268/27279/226519/12558/13518/16971/22339/17873/20969/12321/16419/20750/20649/26432/18645/52118/107589/56401/24051/30794/13807/58859/16410/11852/12831/12153/14579
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,162,0.5235601185287058,1.5815416378136082,4.92221438785977e-4,0.003076383992412356,0.002007745342416485,1435,"tags=33%, list=13%, signal=29%",18641/72157/67442/11429/67834/20411/13350/16443/15926/22272/108958/107589/17448/66142/225028/67680/67460/19376/74185/11674/68202/76614/66445/109019/22057/12896/235339/13360/28080/66092/14792/66152/21353/13382/230027/67767/94044/11363/11430/17001/26379/170768/72039/22340/13197/70316/69956/11409/12819/66594/29864/74610/66052
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,184,-0.4794095552477393,-1.531594386549934,4.760637960155046e-4,0.003076383992412356,0.002007745342416485,2229,"tags=33%, list=20%, signal=26%",11777/68092/18813/108062/27756/108121/20641/26445/107686/66094/56200/17217/53381/20174/12461/53607/15381/12544/19385/27041/74326/56403/15452/18148/20133/18263/20639/22171/229279/53379/107995/17218/110052/17219/20462/50995/51810/230721/225027/18972/20383/18538/56086/56150/110074/18458/21849/230484/11991/68011/17220/53605/17869/20382/12428/28126/11792/23918/14694/15382
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,147,0.5197340713778997,1.5660447319404078,9.001657343642963e-4,0.005000920746468313,0.003263758802958268,1341,"tags=31%, list=12%, signal=27%",19124/68428/67442/17246/20620/13198/18081/20969/16832/15937/22032/27416/68048/216456/207785/17119/26570/67880/98845/21807/22057/22592/56437/15468/19730/53421/228775/105501/56464/11820/29858/12579/76500/17872/53619/242585/224624/22591/13197/16554/14102/71795/75234/22337/116914
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,153,0.4889979719466194,1.4791689920366495,0.0026910099694819494,0.013455049847409747,0.008781190426730572,1303,"tags=26%, list=12%, signal=23%",55932/71602/20893/20719/22029/17873/229521/22038/16403/20750/12048/57436/20193/216233/52187/57319/17119/16410/11852/19883/216197/319625/21942/18030/15945/12977/18712/13808/18451/17117/22163/13730/19012/14744/16184/16190/21664/21817/64138/110109
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,179,0.47657986552936993,1.4576663267271124,0.003091295791003426,0.014051344504561029,0.009170351150345092,1620,"tags=24%, list=15%, signal=21%",27053/18641/72157/74205/20893/236539/13198/14433/15510/74105/22375/15926/20322/26432/26570/50527/74185/11674/59027/76614/18030/15526/15525/55963/19324/13360/66427/18451/228775/17872/12330/17252/18477/56418/20539/56637/17768/11605/108037/22042/56772/66997/107508
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,152,0.5015534257261636,1.518205044251018,0.0037883937778476883,0.015784974074365368,0.010301772553796346,1206,"tags=28%, list=11%, signal=26%",12633/230073/20620/20893/18081/22339/22029/17873/15937/57783/16176/12051/18024/16449/17119/11852/16601/59027/19698/21807/12044/67035/21942/18030/15945/12977/14579/12519/12228/54199/21353/16169/12702/56336/17872/18034/74646/229055/12608/170768/21664/11797/13197
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,137,0.4963142444197142,1.484252419900757,0.004214146330839582,0.016208255118613776,0.010578019130042676,1145,"tags=23%, list=10%, signal=21%",22339/20969/23827/15937/18484/80879/17684/15926/14583/26432/57444/52187/17448/18746/13807/50527/11674/110095/12831/110119/14635/18648/18451/74241/56248/13382/110695/78330/14228/23897/104458/77559
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,123,0.5056961492316656,1.481786380677934,0.0054761373840004415,0.01955763351428729,0.012763929240903285,873,"tags=26%, list=8%, signal=24%",18641/72157/20893/13198/14433/22339/15937/18484/17684/83814/17748/15275/57444/52187/231507/13807/16795/50527/11977/74185/11674/83397/19883/12831/18030/18712/13808/18750/14635/18451/76238/104263
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,44,-0.5906549979151846,-1.5422619265638018,0.008020075218718463,0.026624448901299964,0.017375956125058923,1428,"tags=30%, list=13%, signal=26%",12359/109815/110265/16985/67130/14159/17196/11758/320495/110854/17250/15242/20655
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,88,0.5249424039570372,1.4736292688706836,0.008519823648415989,0.026624448901299964,0.017375956125058923,1311,"tags=26%, list=12%, signal=23%",11790/20692/13867/20893/12955/18642/17873/78286/20411/16419/107589/16582/16795/100732/17532/19165/13808/11820/12759/77559/19245/12819/18693
