ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
mmu03040,Spliceosome,137,-0.6687844745989869,-2.1039605335380607,1.3121812164778464e-10,4.0940053954108806e-8,3.466920898273047e-8,2374,"tags=51%, list=22%, signal=41%",Sf3b4/Sf3b6/Sart1/Cdc5l/U2af1l4/Ncbp2/Dhx16/Lsm2/U2af1/Dhx38/Snrpd1/Srsf10/Tcerg1/Sf3a3/Zmat2/Snrpd2/Sf3a2/Hnrnpk/Lsm7/Ddx23/Thoc7/Snrnp70/Snrpe/Snrpa/Hnrnpc/Srsf6/Magoh/Acin1/Alyref2/Ppih/Rbm8a/Cherp/Eif4a3/Pqbp1/Srsf4/Ddx39b/Rbm17/Snrpb2/Syf2/Snip1/Hnrnpa3/Thoc3/Tra2b/Hnrnpm/Srsf9/Rbm22/Hnrnpu/Ppie/Lsm4/Ddx46/Srsf7/Xab2/Srsf3/Prpf19/Snrnp40/Ccdc12/Rbmx/Sf3b2/Snrpg/Srsf5/Rp9/Lsm6/Sf1/U2af2/Snrpb/Snrpf/Fus/Srsf2/Alyref/Hnrnpa1
mmu00190,Oxidative phosphorylation,103,0.6608571129304909,1.886135630553774,7.704666924869341e-7,1.2019280402796173e-4,1.017827051653792e-4,1592,"tags=38%, list=14%, signal=33%",Cycs/Atp6v1a/Atp6v1c1/Uqcrq/Ndufs1/Cox7b/Cox5b/Sdhb/Ndufa5/Cyc1/Ndufa4/Ndufb9/Ndufc1/Cox17/Atp5po/Atp5f1b/Cox7a2/Ndufb6/Uqcr10/Cox15/Ndufv3/Cox11/Ndufa11/Ndufab1/Atp6v1h/Lhpp/Atp6v1g1/Ndufa9/Uqcr11/Cox5a/Atp5mc3/Ndufb2/Cox6c/Sdhc/Ndufb4/Ndufb4c/Ndufb4b/Atp6v1f/Ndufa1
mmu03082,ATP-dependent chromatin remodeling,95,-0.625093765428396,-1.8606116159808657,9.872496253815528e-6,0.001026739610396815,8.694724770904203e-4,1928,"tags=28%, list=18%, signal=24%",Mta3/Baz2b/Ruvbl2/Arid1b/Epc1/Smarcc2/Brd8/Mbd2/Uchl5/Chrac1/Brd9/Bicra/Bacc1/Epc2/Rbbp4/Yeats4/Meaf6/Smarcd2/Arid1a/Phf10/Macroh2a1/Rbbp7/Bcl7c/H2az2/Cdk2ap2/Mta2/H2ax
mmu05010,Alzheimer disease,281,0.48370097005735113,1.5243115553785862,7.158825765658802e-5,0.005583884097213865,0.0047285928083693664,1604,"tags=25%, list=15%, signal=22%",Cycs/Eif2ak2/Lrp1/Ddit3/Gapdh/Tubb2b/Bace1/Il1b/Slc11a2/Uqcrq/Ndufs1/Slc39a14/Slc39a1/Cox7b/Cox5b/Vdac1/Sdhb/Tuba1a/Ndufa5/Cyc1/Ndufa4/Ndufb9/Wipi1/Ndufc1/Aph1c/Csf1/Slc39a6/Psmc5/Psen2/Atp5po/Atp5f1b/Cox7a2/Ndufb6/Casp8/Uqcr10/Plcb3/App/Wnt11/Ern1/Ndufv3/Psmd8/Plcb4/Psmc1/Wipi2/Ndufa11/Ndufab1/Dvl3/Fas/Ndufa9/Slc39a7/Uqcr11/Cox5a/Cacna1d/Ulk1/Atp5mc3/Braf/Grin2d/Ndufb2/Cox6c/Gsk3b/Sdhc/Akt1/Ncstn/Ndufb4/Ndufb4c/Ndufb4b/Ndufa1/Psmd12/Ide
mmu03030,DNA replication,35,-0.7166732474276121,-1.7881211164198814,4.0700749214875846e-4,0.01987126695409219,0.016827557373404654,1974,"tags=57%, list=18%, signal=47%",Rfc2/Mcm4/Prim1/Rnaseh2b/Fen1/Rfc5/Pole/Mcm3/Pold1/Pola1/Mcm5/Mcm6/Pola2/Pold2/Pcna/Rpa2/Lig1/Dna2/Mcm7/Pold4
mmu01230,Biosynthesis of amino acids,50,0.6685462277489793,1.7050548312110956,5.782746791439242e-4,0.01987126695409219,0.016827557373404654,787,"tags=26%, list=7%, signal=24%",Asns/Pfkl/Phgdh/Aco2/Gapdh/Pfkm/Idh3a/Idh1/Pkm/Eno2/Aldoa/Eno3/Pgam1
mmu00010,Glycolysis / Gluconeogenesis,40,0.6937285454049278,1.702855056077955,6.057596908902441e-4,0.01987126695409219,0.016827557373404654,959,"tags=38%, list=9%, signal=34%",Pfkl/Pgm1/Gapdh/Pfkm/Ldhb/Hk1/Pkm/Eno2/Aldoa/Galm/Dlat/Eno3/Pgam1/Dld/Aldh7a1
mmu04668,TNF signaling pathway,93,0.5759849751764168,1.632229947285817,5.220543807529509e-4,0.01987126695409219,0.016827557373404654,1512,"tags=25%, list=14%, signal=22%",Cflar/Mmp14/Creb3l2/Mlkl/Traf1/Il1b/Ifi47/Bcl3/Jag1/Rhbdf1/Cxcl10/Csf1/Casp8/Map3k14/Socs3/Cebpb/Birc2/Fas/Dnm1l/Akt1/Tnfrsf1b/Rhbdf2/Traf3
mmu05012,Parkinson disease,209,0.48103870147254413,1.480261287668332,6.368995818619292e-4,0.01987126695409219,0.016827557373404654,1719,"tags=28%, list=16%, signal=24%",Cycs/Ddit3/Tubb2b/Slc11a2/Adora2a/Uqcrq/Ube2l6/Bcl2l1/Nfe2l2/Ndufs1/Slc39a14/Slc39a1/Cox7b/Cox5b/Vdac1/Maoa/Sdhb/Tuba1a/Ndufa5/Cyc1/Ndufa4/Plcg1/Ndufb9/Camk2d/Ndufc1/Slc39a6/Psmc5/Atp5po/Atp5f1b/Cox7a2/Ndufb6/Htra2/Uqcr10/Ern1/Ndufv3/Psmd8/Slc18a1/Psmc1/Ndufa11/Ndufab1/Ndufa9/Slc39a7/Uqcr11/Cox5a/Atp5mc3/Gnas/Ndufb2/Cox6c/Sdhc/Septin5/Ndufb4/Ndufb4c/Ndufb4b/Ndufa1/Psmd12/Klc4/Slc39a10/Mfn2
mmu05022,Pathways of neurodegeneration - multiple diseases,338,0.4404850924318789,1.40719637960682,5.387843113799474e-4,0.01987126695409219,0.016827557373404654,1517,"tags=23%, list=14%, signal=20%",Cycs/Ddit3/Optn/Tubb2b/Hap1/Il1b/Dlg4/Zfyve1/Uqcrq/Ube2l6/Bcl2l1/Atxn1/Ndufs1/Cox7b/Cox5b/Vdac1/Sdhb/Prph/Tuba1a/Atxn2/Als2/Ndufa5/Cyc1/Ndufa4/Plcg1/Ndufb9/Camk2d/Wipi1/Ndufc1/Csf1/Dnah2/Rab1a/Psmc5/Psen2/Prkca/Atp5po/Atp5f1b/Cox7a2/Ndufb6/Casp8/Htra2/Vcp/Dnal1/Uqcr10/Plcb3/Tank/App/Wnt11/Ern1/Ndufv3/Psmd8/Plcb4/Psmc1/Wipi2/Ndufa11/Ndufab1/Spg11/Dvl3/Fas/Ndufa9/Uqcr11/Cox5a/Cacna1d/Ulk1/Atp5mc3/Braf/Grin2d/Ndufb2/Cox6c/Gsk3b/Sdhc/Tnfrsf1b/Map3k10/Septin5/Ndufb4/Ndufb4c/Ndufb4b
