gene_id	gene_name	cDC1_TNFa_1	cDC1_TNFa_2	cDC1_TNFa_3	cDC1_Tumor_1	cDC1_Tumor_2	cDC1_Tumor_3	cDC1_Tumor_TNFa_1	cDC1_Tumor_TNFa_2	cDC1_Tumor_TNFa_3	cDC1_un_1	cDC1_un_2	cDC1_un_3
ENSMUSG00000000001.5	Gnai3	9743	8985	9347	5886	6240	6325	8973	10347	8981	5253	5675	5294
ENSMUSG00000000003.16	Pbsn	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028.16	Cdc45	734.001	643	664	805	815	974	459	603.999	597	1168	1358	1256.999
ENSMUSG00000000031.19	H19	8	5	10	610	599.001	487.001	3706.999	5419.001	5428	1	1	1
ENSMUSG00000000037.18	Scml2	0	0	0	49.001	80.001	90.999	60.001	77	79	0	0	0
ENSMUSG00000000049.12	Apoh	0	0	0	1	0	1	1	3	7	0	0	0
ENSMUSG00000000056.8	Narf	906	801	863	1945	2150	2544	2174	2596	2327	929	1011	877
ENSMUSG00000000058.7	Cav2	113	87	78	2491	2794	3190	2582	3497	3076	112	114	132
ENSMUSG00000000078.8	Klf6	72970	70017	71031.001	23676	24623.999	23567	53793	60827.999	50717	22898	22285.001	22149.999
ENSMUSG00000000085.17	Scmh1	822	817	831.001	1109	1203.999	1393	992.001	1284.001	1162.999	1352	1273	1281.999
ENSMUSG00000000088.8	Cox5a	6245	5562	6276.999	6445.999	6687.001	7318	8429	9906.949	9597.999	3179	3489.001	3294.999
ENSMUSG00000000093.7	Tbx2	29	33	34	6296	7451	8611	6432	8305	8665	11	12	8
ENSMUSG00000000094.13	Tbx4	1	0	1	864	997	1216	993	1223	1295	0	2	0
ENSMUSG00000000103.13	Zfy2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120.7	Ngfr	3	2	2	60	101	79	354	440	395	2	2	1
ENSMUSG00000000125.6	Wnt3	0	0	0	3	1	3	5	3	3	0	0	0
ENSMUSG00000000126.12	Wnt9a	11	6	8	132	165	165	128	172	163	61	57	59
ENSMUSG00000000127.16	Fer	8	8	7	353	405	416	345	460.001	505	4	5	5
ENSMUSG00000000131.16	Xpo6	3552.001	3334	3531.998	3317	3409.001	3905	3484.999	4373.999	4020.999	3158	3606.001	3160
ENSMUSG00000000134.18	Tfe3	4252.001	4178	4630.999	2579.002	2836.001	3041.998	3410	3834	3605	2776.998	2973.998	2731
ENSMUSG00000000142.16	Axin2	1	0	1	506.999	645	606	533.001	693	775.001	0	0	0
ENSMUSG00000000148.18	Brat1	899	950	958	864.001	978.001	1164.001	1011.999	1203.001	1089.999	848	997.999	875
ENSMUSG00000000149.11	Gna12	4207	4193	4278	2564	2673	3138	2581	3103	3043	5008	5297	5013
ENSMUSG00000000154.17	Slc22a18	120	112	97	802	941	1056	893	1124.999	1119	305	318.999	272
ENSMUSG00000000157.17	Itgb2l	346	320.999	317	9	9	4	127	116	84	7	6	8
ENSMUSG00000000159.17	Igsf5	0	0	0	1	1	0	1	0	0	0	0	0
ENSMUSG00000000167.15	Pih1d2	11	8	5	31	32	37	27.001	38	39	14	11	8
ENSMUSG00000000168.11	Dlat	1413	1390	1467	3383	3774	4299.999	3655	4530	4222.999	1419	1562.001	1525
ENSMUSG00000000171.6	Sdhd	3823	3563	4015	5005	5443	6238	5590	7102	6811	3686	3940	3799
ENSMUSG00000000182.10	Fgf23	0	0	0	0	0	3	0	0	4	0	0	0
ENSMUSG00000000183.7	Fgf6	0	0	0	0	0	2	0	0	1	0	0	0
ENSMUSG00000000184.13	Ccnd2	1620	1667	1747.999	31759.001	36951	39141	32573.001	44293	41337.999	236.001	263	242
ENSMUSG00000000194.14	Gpr107	2259	2202	2277.001	3566	3955	4110	4057.001	4866	4676.999	1813	1847.001	1688
ENSMUSG00000000197.9	Nalcn	0	0	0	8	19	11	13	13	11	0	0	0
