chrom	length	bases	mean	min	max
chr1	195154279	5967002784	30.58	0	24220447
chr1_region	195154279	5967002784	30.58	0	24220447
chr2	181755017	4298393610	23.65	0	88170
chr2_region	181755017	4298393610	23.65	0	88170
chr3	159745316	3618773340	22.65	0	29051
chr3_region	159745316	3618773340	22.65	0	29051
chr4	156860686	3624783349	23.11	0	10535
chr4_region	156860686	3624783349	23.11	0	10535
chr5	151758149	3570964916	23.53	0	130260
chr5_region	151758149	3570964916	23.53	0	130260
chr6	149588044	3450496721	23.07	0	45893
chr6_region	149588044	3450496721	23.07	0	45893
chr7	144995196	3748279552	25.85	0	8525024
chr7_region	144995196	3748279552	25.85	0	8525024
chr8	130127694	3038853164	23.35	0	73042
chr8_region	130127694	3038853164	23.35	0	73042
chr9	124359700	3107233889	24.99	0	61606
chr9_region	124359700	3107233889	24.99	0	61606
chr10	130530862	3092490276	23.69	0	157328
chr10_region	130530862	3092490276	23.69	0	157328
chr11	121973369	2900706684	23.78	0	79549
chr11_region	121973369	2900706684	23.78	0	79549
chr12	120092757	2790501849	23.24	0	41444
chr12_region	120092757	2790501849	23.24	0	41444
chr13	120883175	2786747748	23.05	0	35127
chr13_region	120883175	2786747748	23.05	0	35127
chr14	125139656	2869570685	22.93	0	115707
chr14_region	125139656	2869570685	22.93	0	115707
chr15	104073951	2363563260	22.71	0	67513
chr15_region	104073951	2363563260	22.71	0	67513
chr16	98008968	2228353880	22.74	0	201255
chr16_region	98008968	2228353880	22.74	0	201255
chr17	95294699	2227310887	23.37	0	95452
chr17_region	95294699	2227310887	23.37	0	95452
chr18	90720763	2059314075	22.70	0	34133
chr18_region	90720763	2059314075	22.70	0	34133
chr19	61420004	1387482752	22.59	0	7737
chr19_region	61420004	1387482752	22.59	0	7737
chrX	169476592	3761947947	22.20	0	126209
chrX_region	169476592	3761947947	22.20	0	126209
chrY	91455967	47690201	0.52	0	965
chrY_region	91455967	47690201	0.52	0	965
chrM	16299	161091587	9883.53	4446	14143
chrM_region	16299	161091587	9883.53	4446	14143
GL456210.1	169725	9123687	53.76	0	1066
GL456210.1_region	169725	9123687	53.76	0	1066
GL456211.1	241735	13775364	56.99	0	308
GL456211.1_region	241735	13775364	56.99	0	308
GL456212.1	153618	11538317	75.11	0	303
GL456212.1_region	153618	11538317	75.11	0	303
GL456219.1	175968	2186366	12.42	0	85
GL456219.1_region	175968	2186366	12.42	0	85
GL456221.1	206961	12667145	61.21	1	302
GL456221.1_region	206961	12667145	61.21	1	302
GL456233.2	559103	11209933	20.05	0	2809
GL456233.2_region	559103	11209933	20.05	0	2809
GL456239.1	40056	1093292	27.29	0	889
GL456239.1_region	40056	1093292	27.29	0	889
GL456354.1	195993	2257690	11.52	0	136
GL456354.1_region	195993	2257690	11.52	0	136
GL456359.1	22974	270528	11.78	0	39
GL456359.1_region	22974	270528	11.78	0	39
GL456360.1	31704	350138	11.04	0	38
GL456360.1_region	31704	350138	11.04	0	38
GL456366.1	47073	484395	10.29	0	47
GL456366.1_region	47073	484395	10.29	0	47
GL456367.1	42057	1506241	35.81	0	589
GL456367.1_region	42057	1506241	35.81	0	589
GL456368.1	20208	1320035	65.32	0	242
GL456368.1_region	20208	1320035	65.32	0	242
GL456370.1	26764	1055067	39.42	0	3739
GL456370.1_region	26764	1055067	39.42	0	3739
GL456372.1	28664	1062998	37.08	0	199
GL456372.1_region	28664	1062998	37.08	0	199
GL456378.1	31602	1663934	52.65	0	450
GL456378.1_region	31602	1663934	52.65	0	450
GL456379.1	72385	762145	10.53	0	37
GL456379.1_region	72385	762145	10.53	0	37
GL456381.1	25871	2642472	102.14	0	1050
GL456381.1_region	25871	2642472	102.14	0	1050
GL456382.1	23158	389119	16.80	0	48
GL456382.1_region	23158	389119	16.80	0	48
GL456383.1	38659	4496345	116.31	0	3008
GL456383.1_region	38659	4496345	116.31	0	3008
GL456385.1	35240	786319	22.31	0	74
GL456385.1_region	35240	786319	22.31	0	74
GL456387.1	24685	3610701	146.27	0	866
GL456387.1_region	24685	3610701	146.27	0	866
GL456389.1	28772	2454580	85.31	0	5437
GL456389.1_region	28772	2454580	85.31	0	5437
GL456390.1	24668	5904446	239.36	0	4911
GL456390.1_region	24668	5904446	239.36	0	4911
GL456392.1	23629	5453367	230.79	0	8989
GL456392.1_region	23629	5453367	230.79	0	8989
GL456394.1	24323	1404364	57.74	0	770
GL456394.1_region	24323	1404364	57.74	0	770
GL456396.1	21240	4929387	232.08	0	3193
GL456396.1_region	21240	4929387	232.08	0	3193
JH584295.1	1976	26466	13.39	0	24
JH584295.1_region	1976	26466	13.39	0	24
JH584296.1	199368	2052726	10.30	0	58
JH584296.1_region	199368	2052726	10.30	0	58
JH584297.1	205776	2348098	11.41	0	89
JH584297.1_region	205776	2348098	11.41	0	89
JH584298.1	184189	2217890	12.04	0	76
JH584298.1_region	184189	2217890	12.04	0	76
JH584299.1	953012	12362224	12.97	0	191
JH584299.1_region	953012	12362224	12.97	0	191
JH584300.1	182347	7436	0.04	0	48
JH584300.1_region	182347	7436	0.04	0	48
JH584301.1	259875	29240	0.11	0	22
JH584301.1_region	259875	29240	0.11	0	22
JH584302.1	155838	10381	0.07	0	14
JH584302.1_region	155838	10381	0.07	0	14
JH584303.1	158099	77994	0.49	0	43
JH584303.1_region	158099	77994	0.49	0	43
JH584304.1	114452	178035394	1555.55	4	23301
JH584304.1_region	114452	178035394	1555.55	4	23301
MU069434.1	8412	270680	32.18	0	91
MU069434.1_region	8412	270680	32.18	0	91
MU069435.1	31129	40660228	1306.18	0	4690
MU069435.1_region	31129	40660228	1306.18	0	4690
total	2728222451	63444050288	23.25	0	24220447
total_region	2728222451	63444050288	23.25	0	24220447
