chrom	length	bases	mean	min	max
chr1	195154279	4353950842	22.31	0	62047
chr1_region	195154279	4353950842	22.31	0	62047
chr2	181755017	4168326105	22.93	0	44331
chr2_region	181755017	4168326105	22.93	0	44331
chr3	159745316	3950032432	24.73	0	3247
chr3_region	159745316	3950032432	24.73	0	3247
chr4	156860686	3225010176	20.56	0	3373
chr4_region	156860686	3225010176	20.56	0	3373
chr5	151758149	4204099473	27.70	0	3564
chr5_region	151758149	4204099473	27.70	0	3564
chr6	149588044	3458792302	23.12	0	23659
chr6_region	149588044	3458792302	23.12	0	23659
chr7	144995196	3219256090	22.20	0	1557
chr7_region	144995196	3219256090	22.20	0	1557
chr8	130127694	4111474416	31.60	0	1219
chr8_region	130127694	4111474416	31.60	0	1219
chr9	124359700	2907110044	23.38	0	24510
chr9_region	124359700	2907110044	23.38	0	24510
chr10	130530862	4382208973	33.57	0	1736
chr10_region	130530862	4382208973	33.57	0	1736
chr11	121973369	3863104634	31.67	0	3210
chr11_region	121973369	3863104634	31.67	0	3210
chr12	120092757	3567388053	29.71	0	8516
chr12_region	120092757	3567388053	29.71	0	8516
chr13	120883175	3147031511	26.03	0	5284
chr13_region	120883175	3147031511	26.03	0	5284
chr14	125139656	2428792389	19.41	0	10246
chr14_region	125139656	2428792389	19.41	0	10246
chr15	104073951	2507105681	24.09	0	5074
chr15_region	104073951	2507105681	24.09	0	5074
chr16	98008968	2313291952	23.60	0	7551
chr16_region	98008968	2313291952	23.60	0	7551
chr17	95294699	2718943180	28.53	0	9696
chr17_region	95294699	2718943180	28.53	0	9696
chr18	90720763	1607529970	17.72	0	2583
chr18_region	90720763	1607529970	17.72	0	2583
chr19	61420004	1495260299	24.34	0	4256
chr19_region	61420004	1495260299	24.34	0	4256
chrX	169476592	3296080111	19.45	0	7707
chrX_region	169476592	3296080111	19.45	0	7707
chrY	91455967	3725765	0.04	0	539
chrY_region	91455967	3725765	0.04	0	539
chrM	16299	55545671	3407.92	0	6250
chrM_region	16299	55545671	3407.92	0	6250
GL456210.1	169725	3385048	19.94	0	188
GL456210.1_region	169725	3385048	19.94	0	188
GL456211.1	241735	5272552	21.81	0	269
GL456211.1_region	241735	5272552	21.81	0	269
GL456212.1	153618	4024636	26.20	0	244
GL456212.1_region	153618	4024636	26.20	0	244
GL456219.1	175968	1774	0.01	0	14
GL456219.1_region	175968	1774	0.01	0	14
GL456221.1	206961	3601473	17.40	0	243
GL456221.1_region	206961	3601473	17.40	0	243
GL456233.2	559103	8514495	15.23	0	1766
GL456233.2_region	559103	8514495	15.23	0	1766
GL456239.1	40056	822140	20.52	0	200
GL456239.1_region	40056	822140	20.52	0	200
GL456354.1	195993	31181	0.16	0	47
GL456354.1_region	195993	31181	0.16	0	47
GL456359.1	22974	0	0.00	0	0
GL456359.1_region	22974	0	0.00	0	0
GL456360.1	31704	97	0.00	0	2
GL456360.1_region	31704	97	0.00	0	2
GL456366.1	47073	0	0.00	0	0
GL456366.1_region	47073	0	0.00	0	0
GL456367.1	42057	1112544	26.45	0	376
GL456367.1_region	42057	1112544	26.45	0	376
GL456368.1	20208	1093468	54.11	0	204
GL456368.1_region	20208	1093468	54.11	0	204
GL456370.1	26764	451627	16.87	0	802
GL456370.1_region	26764	451627	16.87	0	802
GL456372.1	28664	564780	19.70	0	130
GL456372.1_region	28664	564780	19.70	0	130
GL456378.1	31602	1303610	41.25	0	388
GL456378.1_region	31602	1303610	41.25	0	388
GL456379.1	72385	162	0.00	0	2
GL456379.1_region	72385	162	0.00	0	2
GL456381.1	25871	1714043	66.25	0	507
GL456381.1_region	25871	1714043	66.25	0	507
GL456382.1	23158	280999	12.13	0	46
GL456382.1_region	23158	280999	12.13	0	46
GL456383.1	38659	2627724	67.97	0	2142
GL456383.1_region	38659	2627724	67.97	0	2142
GL456385.1	35240	731887	20.77	0	64
GL456385.1_region	35240	731887	20.77	0	64
GL456387.1	24685	2255543	91.37	0	589
GL456387.1_region	24685	2255543	91.37	0	589
GL456389.1	28772	1426236	49.57	0	1647
GL456389.1_region	28772	1426236	49.57	0	1647
GL456390.1	24668	3792824	153.75	0	2977
GL456390.1_region	24668	3792824	153.75	0	2977
GL456392.1	23629	3050109	129.08	0	4064
GL456392.1_region	23629	3050109	129.08	0	4064
GL456394.1	24323	1057725	43.49	0	507
GL456394.1_region	24323	1057725	43.49	0	507
GL456396.1	21240	3252797	153.14	0	2616
GL456396.1_region	21240	3252797	153.14	0	2616
JH584295.1	1976	36382	18.41	0	39
JH584295.1_region	1976	36382	18.41	0	39
JH584296.1	199368	16279	0.08	0	25
JH584296.1_region	199368	16279	0.08	0	25
JH584297.1	205776	159991	0.78	0	64
JH584297.1_region	205776	159991	0.78	0	64
JH584298.1	184189	0	0.00	0	0
JH584298.1_region	184189	0	0.00	0	0
JH584299.1	953012	2312754	2.43	0	69
JH584299.1_region	953012	2312754	2.43	0	69
JH584300.1	182347	0	0.00	0	0
JH584300.1_region	182347	0	0.00	0	0
JH584301.1	259875	0	0.00	0	0
JH584301.1_region	259875	0	0.00	0	0
JH584302.1	155838	39	0.00	0	1
JH584302.1_region	155838	39	0.00	0	1
JH584303.1	158099	132	0.00	0	2
JH584303.1_region	158099	132	0.00	0	2
JH584304.1	114452	63920762	558.49	0	8758
JH584304.1_region	114452	63920762	558.49	0	8758
MU069434.1	8412	258258	30.70	0	73
MU069434.1_region	8412	258258	30.70	0	73
MU069435.1	31129	31931063	1025.77	0	4729
MU069435.1_region	31129	31931063	1025.77	0	4729
total	2728222451	65133065203	23.87	0	62047
total_region	2728222451	65133065203	23.87	0	62047
