chrom	length	bases	mean	min	max
chr1	195154279	3853143334	19.74	0	53628
chr2	181755017	3798563853	20.90	0	51959
chr3	159745316	3024830899	18.94	0	4358
chr4	156860686	3182760864	20.29	0	2490
chr5	151758149	3042191367	20.05	0	3258
chr6	149588044	2965899526	19.83	0	24767
chr7	144995196	2941656488	20.29	0	1194
chr8	130127694	2642739870	20.31	0	2374
chr9	124359700	2700502713	21.72	0	24428
chr10	130530862	2606828297	19.97	0	1847
chr11	121973369	2756771259	22.60	0	3807
chr12	120092757	2342413801	19.51	0	10572
chr13	120883175	2415891664	19.99	0	5107
chr14	125139656	2319107511	18.53	0	7972
chr15	104073951	2117418156	20.35	0	5411
chr16	98008968	1908269372	19.47	0	4220
chr17	95294699	2005156830	21.04	0	5503
chr18	90720763	1796762993	19.81	0	3378
chr19	61420004	1282533574	20.88	0	3535
chrX	169476592	1431316254	8.45	0	6643
chrY	91455967	100933359	1.10	0	1572
chrM	16299	62029853	3805.75	0	7589
GL456210.1	169725	2777462	16.36	0	664
GL456211.1	241735	4240123	17.54	0	197
GL456212.1	153618	3265256	21.26	0	194
GL456219.1	175968	1641	0.01	0	10
GL456221.1	206961	2878088	13.91	0	196
GL456233.2	559103	3620909	6.48	0	966
GL456239.1	40056	2787661	69.59	0	764
GL456354.1	195993	317179	1.62	0	53
GL456359.1	22974	0	0.00	0	0
GL456360.1	31704	152	0.00	0	3
GL456366.1	47073	229	0.00	0	2
GL456367.1	42057	576755	13.71	0	243
GL456368.1	20208	828014	40.97	0	150
GL456370.1	26764	464091	17.34	0	1070
GL456372.1	28664	456521	15.93	0	103
GL456378.1	31602	1244961	39.40	0	320
GL456379.1	72385	46	0.00	0	1
GL456381.1	25871	829077	32.05	0	343
GL456382.1	23158	114554	4.95	0	28
GL456383.1	38659	1478668	38.25	0	1031
GL456385.1	35240	557023	15.81	0	49
GL456387.1	24685	1784713	72.30	0	526
GL456389.1	28772	653715	22.72	0	1309
GL456390.1	24668	1850524	75.02	0	2150
GL456392.1	23629	2221621	94.02	0	3896
GL456394.1	24323	551963	22.69	0	522
GL456396.1	21240	1659309	78.12	0	1359
JH584295.1	1976	52062	26.35	0	59
JH584296.1	199368	50537	0.25	0	24
JH584297.1	205776	86036	0.42	0	20
JH584298.1	184189	1146	0.01	0	8
JH584299.1	953012	2695771	2.83	0	52
JH584300.1	182347	854	0.00	0	2
JH584301.1	259875	2153	0.01	0	4
JH584302.1	155838	0	0.00	0	0
JH584303.1	158099	1820	0.01	0	10
JH584304.1	114452	41756064	364.83	0	6523
MU069434.1	8412	263853	31.37	0	106
MU069435.1	31129	41438500	1331.19	0	4931
TG_CD1A	185655	805436	4.34	0	200
TG_MTTH	254010	5770681	22.72	0	399
TG_RAGH	38566	0	0.00	0	0
total	2728700682	51425807005	18.85	0	53628
