chrom	length	bases	mean	min	max
chr1	195154279	4629919859	23.72	0	13047162
chr1_region	195154279	4629919859	23.72	0	13047162
chr2	181755017	3775506149	20.77	0	84446
chr2_region	181755017	3775506149	20.77	0	84446
chr3	159745316	3070028387	19.22	0	21737
chr3_region	159745316	3070028387	19.22	0	21737
chr4	156860686	3224109582	20.55	0	4974
chr4_region	156860686	3224109582	20.55	0	4974
chr5	151758149	3114553318	20.52	0	85820
chr5_region	151758149	3114553318	20.52	0	85820
chr6	149588044	2971518592	19.86	0	37496
chr6_region	149588044	2971518592	19.86	0	37496
chr7	144995196	3202425935	22.09	0	3944420
chr7_region	144995196	3202425935	22.09	0	3944420
chr8	130127694	2666425009	20.49	0	52737
chr8_region	130127694	2666425009	20.49	0	52737
chr9	124359700	2742274473	22.05	0	53476
chr9_region	124359700	2742274473	22.05	0	53476
chr10	130530862	2589389697	19.84	0	94906
chr10_region	130530862	2589389697	19.84	0	94906
chr11	121973369	2663310868	21.84	0	58773
chr11_region	121973369	2663310868	21.84	0	58773
chr12	120092757	2398957025	19.98	0	41044
chr12_region	120092757	2398957025	19.98	0	41044
chr13	120883175	2437625890	20.17	0	29145
chr13_region	120883175	2437625890	20.17	0	29145
chr14	125139656	2499260376	19.97	0	103555
chr14_region	125139656	2499260376	19.97	0	103555
chr15	104073951	2089304718	20.08	0	17730
chr15_region	104073951	2089304718	20.08	0	17730
chr16	98008968	1897019554	19.36	0	100019
chr16_region	98008968	1897019554	19.36	0	100019
chr17	95294699	2002452525	21.01	0	66768
chr17_region	95294699	2002452525	21.01	0	66768
chr18	90720763	1780857060	19.63	0	28823
chr18_region	90720763	1780857060	19.63	0	28823
chr19	61420004	1258232552	20.49	0	8042
chr19_region	61420004	1258232552	20.49	0	8042
chrX	169476592	1668481898	9.84	0	81415
chrX_region	169476592	1668481898	9.84	0	81415
chrY	91455967	812494217	8.88	0	4708
chrY_region	91455967	812494217	8.88	0	4708
chrM	16299	64321145	3946.32	8	6539
chrM_region	16299	64321145	3946.32	8	6539
GL456210.1	169725	7201289	42.43	0	1053
GL456210.1_region	169725	7201289	42.43	0	1053
GL456211.1	241735	10753102	44.48	0	236
GL456211.1_region	241735	10753102	44.48	0	236
GL456212.1	153618	8928479	58.12	0	222
GL456212.1_region	153618	8928479	58.12	0	222
GL456219.1	175968	1908333	10.84	0	66
GL456219.1_region	175968	1908333	10.84	0	66
GL456221.1	206961	9839405	47.54	0	243
GL456221.1_region	206961	9839405	47.54	0	243
GL456233.2	559103	4775815	8.54	0	1855
GL456233.2_region	559103	4775815	8.54	0	1855
GL456239.1	40056	3120660	77.91	0	1052
GL456239.1_region	40056	3120660	77.91	0	1052
GL456354.1	195993	2743853	14.00	0	113
GL456354.1_region	195993	2743853	14.00	0	113
GL456359.1	22974	218826	9.52	0	39
GL456359.1_region	22974	218826	9.52	0	39
GL456360.1	31704	333566	10.52	0	31
GL456360.1_region	31704	333566	10.52	0	31
GL456366.1	47073	473718	10.06	0	53
GL456366.1_region	47073	473718	10.06	0	53
GL456367.1	42057	632866	15.05	0	245
GL456367.1_region	42057	632866	15.05	0	245
GL456368.1	20208	881207	43.61	0	195
GL456368.1_region	20208	881207	43.61	0	195
GL456370.1	26764	957458	35.77	0	4438
GL456370.1_region	26764	957458	35.77	0	4438
GL456372.1	28664	834385	29.11	0	182
GL456372.1_region	28664	834385	29.11	0	182
GL456378.1	31602	1419477	44.92	0	338
GL456378.1_region	31602	1419477	44.92	0	338
GL456379.1	72385	300248	4.15	0	40
GL456379.1_region	72385	300248	4.15	0	40
GL456381.1	25871	1386707	53.60	0	805
GL456381.1_region	25871	1386707	53.60	0	805
GL456382.1	23158	164763	7.11	0	36
GL456382.1_region	23158	164763	7.11	0	36
GL456383.1	38659	2868222	74.19	0	2403
GL456383.1_region	38659	2868222	74.19	0	2403
GL456385.1	35240	612967	17.39	0	52
GL456385.1_region	35240	612967	17.39	0	52
GL456387.1	24685	2622912	106.26	0	1051
GL456387.1_region	24685	2622912	106.26	0	1051
GL456389.1	28772	1458766	50.70	0	3801
GL456389.1_region	28772	1458766	50.70	0	3801
GL456390.1	24668	3192826	129.43	0	3509
GL456390.1_region	24668	3192826	129.43	0	3509
GL456392.1	23629	3987225	168.74	0	8429
GL456392.1_region	23629	3987225	168.74	0	8429
GL456394.1	24323	819752	33.70	0	1178
GL456394.1_region	24323	819752	33.70	0	1178
GL456396.1	21240	2763858	130.13	0	2246
GL456396.1_region	21240	2763858	130.13	0	2246
JH584295.1	1976	46393	23.48	0	39
JH584295.1_region	1976	46393	23.48	0	39
JH584296.1	199368	1960507	9.83	0	53
JH584296.1_region	199368	1960507	9.83	0	53
JH584297.1	205776	2089382	10.15	0	60
JH584297.1_region	205776	2089382	10.15	0	60
