chrom	length	bases	mean	min	max
chr1	195154279	5377359270	27.55	0	12573388
chr1_region	195154279	5377359270	27.55	0	12573388
chr2	181755017	4452481220	24.50	0	97350
chr2_region	181755017	4452481220	24.50	0	97350
chr3	159745316	4201306608	26.30	0	29848
chr3_region	159745316	4201306608	26.30	0	29848
chr4	156860686	3522917783	22.46	0	12414
chr4_region	156860686	3522917783	22.46	0	12414
chr5	151758149	4430310758	29.19	0	121094
chr5_region	151758149	4430310758	29.19	0	121094
chr6	149588044	3664753128	24.50	0	46120
chr6_region	149588044	3664753128	24.50	0	46120
chr7	144995196	3698343552	25.51	0	4407744
chr7_region	144995196	3698343552	25.51	0	4407744
chr8	130127694	4358774094	33.50	0	70708
chr8_region	130127694	4358774094	33.50	0	70708
chr9	124359700	3222326046	25.91	0	67468
chr9_region	124359700	3222326046	25.91	0	67468
chr10	130530862	4557518422	34.92	0	125069
chr10_region	130530862	4557518422	34.92	0	125069
chr11	121973369	3981296028	32.64	0	85865
chr11_region	121973369	3981296028	32.64	0	85865
chr12	120092757	3808975828	31.72	0	45710
chr12_region	120092757	3808975828	31.72	0	45710
chr13	120883175	3342142165	27.65	0	39692
chr13_region	120883175	3342142165	27.65	0	39692
chr14	125139656	2721570944	21.75	0	107500
chr14_region	125139656	2721570944	21.75	0	107500
chr15	104073951	2621291012	25.19	0	78168
chr15_region	104073951	2621291012	25.19	0	78168
chr16	98008968	2425356381	24.75	0	117360
chr16_region	98008968	2425356381	24.75	0	117360
chr17	95294699	2881058044	30.23	0	93017
chr17_region	95294699	2881058044	30.23	0	93017
chr18	90720763	1693348779	18.67	0	35781
chr18_region	90720763	1693348779	18.67	0	35781
chr19	61420004	1549915031	25.23	0	7884
chr19_region	61420004	1549915031	25.23	0	7884
chrX	169476592	3931378656	23.20	0	120681
chrX_region	169476592	3931378656	23.20	0	120681
chrY	91455967	48697640	0.53	0	772
chrY_region	91455967	48697640	0.53	0	772
chrM	16299	67902463	4166.05	1832	6316
chrM_region	16299	67902463	4166.05	1832	6316
GL456210.1	169725	9489682	55.91	0	1084
GL456210.1_region	169725	9489682	55.91	0	1084
GL456211.1	241735	14363612	59.42	0	333
GL456211.1_region	241735	14363612	59.42	0	333
GL456212.1	153618	11919299	77.59	0	277
GL456212.1_region	153618	11919299	77.59	0	277
