chrom	length	bases	mean	min	max
chr1	195154279	4138732561	21.21	0	57188
chr2	181755017	4028422927	22.16	0	47574
chr3	159745316	3257246170	20.39	0	4089
chr4	156860686	3368248777	21.47	0	2271
chr5	151758149	3322639787	21.89	0	4807
chr6	149588044	3181632707	21.27	0	24108
chr7	144995196	3116735008	21.50	0	1064
chr8	130127694	2810533105	21.60	0	2261
chr9	124359700	2841317922	22.85	0	22348
chr10	130530862	2792703171	21.39	0	1802
chr11	121973369	2924280267	23.97	0	3670
chr12	120092757	2519822501	20.98	0	9652
chr13	120883175	2584313545	21.38	0	5128
chr14	125139656	2494835401	19.94	0	7448
chr15	104073951	2268573313	21.80	0	4866
chr16	98008968	2050628715	20.92	0	7152
chr17	95294699	2126501141	22.31	0	4500
chr18	90720763	1926401031	21.23	0	3038
chr19	61420004	1376238704	22.41	0	3597
chrX	169476592	1496698246	8.83	0	6060
chrY	91455967	111009696	1.21	0	1799
chrM	16299	58232907	3572.79	0	7123
GL456210.1	169725	2853839	16.81	0	584
GL456211.1	241735	4358709	18.03	0	224
GL456212.1	153618	3306301	21.52	0	217
GL456219.1	175968	3472	0.02	0	22
GL456221.1	206961	2989503	14.44	0	231
GL456233.2	559103	3877308	6.93	0	899
GL456239.1	40056	3021886	75.44	0	798
GL456354.1	195993	335160	1.71	0	46
GL456359.1	22974	0	0.00	0	0
GL456360.1	31704	156	0.00	0	3
GL456366.1	47073	792	0.02	0	8
GL456367.1	42057	589255	14.01	0	273
GL456368.1	20208	849574	42.04	0	171
GL456370.1	26764	338193	12.64	0	809
GL456372.1	28664	494888	17.27	0	117
GL456378.1	31602	1353933	42.84	0	366
GL456379.1	72385	411	0.01	0	2
GL456381.1	25871	837174	32.36	0	412
GL456382.1	23158	128573	5.55	0	30
GL456383.1	38659	1497838	38.74	0	1093
GL456385.1	35240	586680	16.65	0	79
GL456387.1	24685	1783710	72.26	0	569
GL456389.1	28772	718298	24.97	0	1647
GL456390.1	24668	1815817	73.61	0	2108
GL456392.1	23629	2327845	98.52	0	4241
GL456394.1	24323	606984	24.96	0	534
GL456396.1	21240	1622005	76.37	0	1297
JH584295.1	1976	32266	16.33	0	35
JH584296.1	199368	53324	0.27	0	22
JH584297.1	205776	103390	0.50	0	27
JH584298.1	184189	552	0.00	0	4
JH584299.1	953012	2950350	3.10	0	66
JH584300.1	182347	300	0.00	0	2
JH584301.1	259875	2551	0.01	0	4
JH584302.1	155838	0	0.00	0	0
JH584303.1	158099	1195	0.01	0	8
JH584304.1	114452	40635657	355.05	0	6558
MU069434.1	8412	288744	34.33	0	104
MU069435.1	31129	40596584	1304.14	0	5211
TG_CD1A	185655	14805	0.08	0	8
TG_MTTH	254010	19804	0.08	0	23
TG_RAGH	38566	63642	1.65	0	28
total	2728700682	54916809070	20.13	0	57188
