chrom	start	end	support_reads	site_depth	class
chr5	34865535	34865535	14	22	novel_offtarget?
chr10	121599139	121599139	7	13	novel_offtarget?
chr14	46050272	46050272	7	8	novel_offtarget?
chr11	22923177	22923177	6	4	novel_offtarget?
chr17	3430088	3430090	6	29	novel_offtarget?
chr7	90091184	90091184	6	25	novel_offtarget?
chrX	144298030	144298040	6	1.54545	novel_offtarget?
chr13	4465673	4465675	5	4.66667	novel_offtarget?
chr15	99292533	99292533	5	1	novel_offtarget?
chr16	10650514	10650514	5	0	novel_offtarget?
chr10	122918657	122918737	4	18.9753	novel_offtarget?
chr15	91910392	91910392	4	5	novel_offtarget?
chr12	40943720	40943720	3	33	novel_offtarget?
chr15	101209294	101209294	3	6	novel_offtarget?
chr18	71556414	71556416	3	2	novel_offtarget?
chr3	133481847	133481847	3	2	novel_offtarget?
chr5	130287568	130287568	3	2	novel_offtarget?
chr6	128806035	128806035	3	1	novel_offtarget?
chr7	63558923	63558925	3	8.33333	novel_offtarget?
chr7	116051656	116051656	3	4	novel_offtarget?
