chrom	length	bases	mean	min	max
chr1	195154279	5784051559	29.64	0	71056
chr2	181755017	5481723582	30.16	0	55181
chr3	159745316	4621440449	28.93	0	5103
chr4	156860686	4636792517	29.56	0	5438
chr5	151758149	4555540852	30.02	0	3985
chr6	149588044	4429677267	29.61	0	26530
chr7	144995196	4265913603	29.42	0	1811
chr8	130127694	3891044911	29.90	0	1446
chr9	124359700	3865544607	31.08	0	27549
chr10	130530862	3838815523	29.41	0	2263
chr11	121973369	3859083604	31.64	0	4479
chr12	120092757	3506688038	29.20	0	11983
chr13	120883175	3549305001	29.36	0	6055
chr14	125139656	3471097275	27.74	0	11948
chr15	104073951	3111589662	29.90	0	6770
chr16	98008968	2868620667	29.27	0	5324
chr17	95294699	2890703349	30.33	0	9461
chr18	90720763	2663009368	29.35	0	3912
chr19	61420004	1835908580	29.89	0	4971
chrX	169476592	2140960186	12.63	0	9950
chrY	91455967	117455074	1.28	0	2035
chrM	16299	31692796	1944.46	0	3714
GL456210.1	169725	4661667	27.47	0	687
GL456211.1	241735	7146299	29.56	0	362
GL456212.1	153618	5489074	35.73	0	302
GL456219.1	175968	5270	0.03	0	28
GL456221.1	206961	4964019	23.99	0	348
GL456233.2	559103	6132890	10.97	0	1848
GL456239.1	40056	5729175	143.03	0	1491
GL456354.1	195993	535909	2.73	0	57
GL456359.1	22974	509	0.02	0	4
GL456360.1	31704	140	0.00	0	3
GL456366.1	47073	156	0.00	0	2
GL456367.1	42057	864467	20.55	0	325
GL456368.1	20208	588257	29.11	0	136
GL456370.1	26764	607560	22.70	0	1058
GL456372.1	28664	736440	25.69	0	149
GL456378.1	31602	1441910	45.63	0	305
GL456379.1	72385	202	0.00	0	2
GL456381.1	25871	1307088	50.52	0	724
GL456382.1	23158	207784	8.97	0	35
GL456383.1	38659	2895833	74.91	0	1974
GL456385.1	35240	896237	25.43	0	64
GL456387.1	24685	2508721	101.63	0	857
GL456389.1	28772	1317286	45.78	0	2496
GL456390.1	24668	3548010	143.83	0	4318
GL456392.1	23629	4006027	169.54	0	5588
GL456394.1	24323	927784	38.14	0	1010
GL456396.1	21240	3131100	147.42	0	2688
JH584295.1	1976	57360	29.03	0	54
JH584296.1	199368	178835	0.90	0	54
JH584297.1	205776	310534	1.51	0	56
JH584298.1	184189	1402	0.01	0	10
JH584299.1	953012	4844799	5.08	0	74
JH584300.1	182347	611	0.00	0	2
JH584301.1	259875	1978	0.01	0	6
JH584302.1	155838	0	0.00	0	0
JH584303.1	158099	2431	0.02	0	10
JH584304.1	114452	64504736	563.60	0	10044
MU069434.1	8412	584558	69.49	0	194
MU069435.1	31129	50961183	1637.10	0	7319
TG_CD1A	185655	3730194	20.09	0	68
TG_MTTH	254010	37376	0.15	0	23
TG_RAGH	38566	0	0.00	0	0
total	2728700682	75601524281	27.71	0	71056
