chr	start	end	depth	cr	cn	base_depth
chr1	0	500000	0.0	0.0	0.0	30.134999999999998
chr1	500000	1000000	0.0	0.0	0.0	30.134999999999998
chr1	1000000	1500000	0.0	0.0	0.0	30.134999999999998
chr1	1500000	2000000	0.0	0.0	0.0	30.134999999999998
chr1	2000000	2500000	0.0	0.0	0.0	30.134999999999998
chr1	2500000	3000000	0.0	0.0	0.0	30.134999999999998
chr1	3000000	3500000	27.4	0.9092417454786793	1.8184834909573586	30.134999999999998
chr1	3500000	4000000	32.67	1.0841214534594328	2.1682429069188656	30.134999999999998
chr1	4000000	4500000	34.56	1.146839223494276	2.293678446988552	30.134999999999998
chr1	4500000	5000000	37.07	1.2301310768209723	2.4602621536419447	30.134999999999998
chr1	5000000	5500000	37.89	1.2573419611747139	2.5146839223494277	30.134999999999998
chr1	5500000	6000000	35.08	1.164094906255185	2.32818981251037	30.134999999999998
chr1	6000000	6500000	35.94	1.1926331508213042	2.3852663016426083	30.134999999999998
chr1	6500000	7000000	37.89	1.2573419611747139	2.5146839223494277	30.134999999999998
chr1	7000000	7500000	36.93	1.2254853160776507	2.4509706321553013	30.134999999999998
chr1	7500000	8000000	33.88	1.124274099883856	2.248548199767712	30.134999999999998
chr1	8000000	8500000	33.12	1.0990542558486809	2.1981085116973618	30.134999999999998
chr1	8500000	9000000	32.74	1.0864443338310936	2.1728886676621872	30.134999999999998
chr1	9000000	9500000	35.81	1.188319230131077	2.376638460262154	30.134999999999998
chr1	9500000	10000000	38.86	1.2895304463248716	2.579060892649743	30.134999999999998
chr1	10000000	10500000	37.56	1.2463912394225984	2.492782478845197	30.134999999999998
chr1	10500000	11000000	35.69	1.1843371494939439	2.3686742989878877	30.134999999999998
chr1	11000000	11500000	34.29	1.1378795420607268	2.2757590841214537	30.134999999999998
chr1	11500000	12000000	33.21	1.1020408163265307	2.2040816326530615	30.134999999999998
chr1	12000000	12500000	32.46	1.07715281234445	2.1543056246889	30.134999999999998
chr1	12500000	13000000	35.66	1.1833416293346606	2.366683258669321	30.134999999999998
chr1	13000000	13500000	39.68	1.3167413306786129	2.6334826613572258	30.134999999999998
chr1	13500000	14000000	38.97	1.29318068690891	2.58636137381782	30.134999999999998
chr1	14000000	14500000	36.15	1.1996017919362867	2.3992035838725734	30.134999999999998
chr1	14500000	15000000	34.68	1.1508213041314088	2.3016426082628176	30.134999999999998
chr1	15000000	15500000	36.16	1.1999336319893812	2.3998672639787624	30.134999999999998
chr1	15500000	16000000	38.38	1.27360212377634	2.54720424755268	30.134999999999998
chr1	16000000	16500000	41.02	1.3612078977932638	2.7224157955865276	30.134999999999998
chr1	16500000	17000000	38.94	1.2921851667496267	2.5843703334992534	30.134999999999998
chr1	17000000	17500000	36.26	1.2032520325203253	2.4065040650406506	30.134999999999998
chr1	17500000	18000000	35.29	1.1710635473701676	2.342127094740335	30.134999999999998
chr1	18000000	18500000	33.46	1.110336817653891	2.220673635307782	30.134999999999998
chr1	18500000	19000000	32.5	1.0784801725568276	2.156960345113655	30.134999999999998
chr1	19000000	19500000	33.86	1.1236104197776673	2.2472208395553346	30.134999999999998
chr1	19500000	20000000	34.32	1.1388750622200101	2.2777501244400202	30.134999999999998
chr1	20000000	20500000	35.09	1.1644267463082796	2.328853492616559	30.134999999999998
chr1	20500000	21000000	39.41	1.3077816492450638	2.6155632984901276	30.134999999999998
chr1	21000000	21500000	41.42	1.37448149991704	2.74896299983408	30.134999999999998
chr1	21500000	22000000	35.61	1.1816824290691887	2.3633648581383775	30.134999999999998
chr1	22000000	22500000	34.66	1.1501576240252198	2.3003152480504396	30.134999999999998
chr1	22500000	23000000	35.64	1.182677949228472	2.365355898456944	30.134999999999998
chr1	23000000	23500000	38.17	1.2666334826613574	2.533266965322715	30.134999999999998
chr1	23500000	24000000	39.03	1.2951717272274765	2.590343454454953	30.134999999999998
chr1	24000000	24500000	38.26	1.2696200431392068	2.5392400862784137	30.134999999999998
chr1	24500000	25000000	62.56	2.0759913721586196	4.151982744317239	30.134999999999998
chr1	25000000	25500000	32.97	1.094076655052265	2.18815331010453	30.134999999999998
chr1	25500000	26000000	31.63	1.049610087937614	2.099220175875228	30.134999999999998
chr1	26000000	26500000	31.56	1.0472872075659532	2.0945744151319063	30.134999999999998
chr1	26500000	27000000	32.59	1.0814667330346774	2.162933466069355	30.134999999999998
chr1	27000000	27500000	30.72	1.0194126431060229	2.0388252862120457	30.134999999999998
chr1	27500000	28000000	29.22	0.9696366351418616	1.9392732702837232	30.134999999999998
