bin	Depth HFD_AL_4_02_25	Depth HFD_AL_4_03_11	Depth HFD_AL_6_05_12	Depth HFD_AL_6_05_22	Depth HFD_AL_7_06_12	Depth HFD_IF_4_02_25	Depth HFD_IF_4_03_11	Depth HFD_IF_6_05_12	Depth HFD_IF_6_05_22	Depth HFD_IF_7_06_12	Input_file_busco	Dataset_busco	Complete_busco	Single_busco	Duplicated_busco	Fragmented_busco	Missing_busco	n_markers_busco	Translation table_busco	Scaffold N50_busco	Contigs N50_busco	Percent gaps_busco	Number of scaffolds_busco	Name_checkm2	Completeness_checkm2	Contamination_checkm2	Completeness_Model_Used_checkm2	Translation_Table_Used_checkm2	Coding_Density_checkm2	Genome_Size_checkm2	Total_Coding_Sequences_checkm2	Name	Assembly_quast	# contigs (>= 0 bp)_quast	# contigs (>= 1000 bp)_quast	# contigs (>= 5000 bp)_quast	# contigs (>= 10000 bp)_quast	# contigs (>= 25000 bp)_quast	# contigs (>= 50000 bp)_quast	Total length (>= 0 bp)_quast	Total length (>= 1000 bp)_quast	Total length (>= 5000 bp)_quast	Total length (>= 10000 bp)_quast	Total length (>= 25000 bp)_quast	Total length (>= 50000 bp)_quast	# contigs_quast	Largest contig_quast	Total length_quast	GC (%)_quast	N50_quast	N75_quast	L50_quast	L75_quast	# N's per 100 kbp_quast	# predicted rRNA genes_quast	user_genome_gtdbtk	classification_gtdbtk	closest_genome_reference_gtdbtk	closest_genome_reference_radius_gtdbtk	closest_genome_taxonomy_gtdbtk	closest_genome_ani_gtdbtk	closest_genome_af_gtdbtk	closest_placement_reference_gtdbtk	closest_placement_radius_gtdbtk	closest_placement_taxonomy_gtdbtk	closest_placement_ani_gtdbtk	closest_placement_af_gtdbtk	pplacer_taxonomy_gtdbtk	classification_method_gtdbtk	note_gtdbtk	other_related_references(genome_id,species_name,radius,ANI,AF)_gtdbtk	msa_percent_gtdbtk	translation_table_gtdbtk	red_value_gtdbtk	warnings_gtdbtk
MEGAHIT-MaxBin2-group-AL.001.fa	208.699	194.309	119.985	272.653	113.373						MEGAHIT-MaxBin2-group-AL.001.fa	bacteria_odb10	0.0	0.0	0.0	0.8	99.2	124	11	7324	7324	0.000%	53	MEGAHIT-MaxBin2-group-AL.001.fa	5.62	0.04	Neural Network (Specific Model)	11	0.853	238014	247	MEGAHIT-MaxBin2-group-AL.001	MEGAHIT-MaxBin2-group-AL.001.fa	53	53	10	4	1	1	238014	238014	151326	109065	57614	57614	53	57614	238014	53.16	7324	2883	6	18	0.0	0 + 3 part	MEGAHIT-MaxBin2-group-AL.001.fa																			
MEGAHIT-MaxBin2-group-AL.002.fa	218.4295	150.9845	329.88250000000005	224.8775	396.297						MEGAHIT-MaxBin2-group-AL.002.fa	bacteria_odb10	88.7	87.1	1.6	0.0	11.3	124	11	83986	83986	0.000%	54	MEGAHIT-MaxBin2-group-AL.002.fa	80.78	0.78	Neural Network (Specific Model)	11	0.903	2371549	1982	MEGAHIT-MaxBin2-group-AL.002	MEGAHIT-MaxBin2-group-AL.002.fa	54	54	41	39	30	17	2371549	2371549	2347979	2332318	2183579	1682966	54	194812	2371549	55.36	83986	48171	10	19	0.0	0 + 3 part	MEGAHIT-MaxBin2-group-AL.002.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp910579675	GCA_910579675.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp910579675	99.94	0.941							ani_screen	classification based on ANI only					
MEGAHIT-MaxBin2-group-AL.003.fa	173.998	208.908	54.92085	174.46699999999998	17.08065						MEGAHIT-MaxBin2-group-AL.003.fa	bacteria_odb10	69.4	66.9	2.4	3.2	27.4	124	11	59509	59509	0.000%	136	MEGAHIT-MaxBin2-group-AL.003.fa	76.81	3.39	Gradient Boost (General Model)	11	0.884	2359498	2248	MEGAHIT-MaxBin2-group-AL.003	MEGAHIT-MaxBin2-group-AL.003.fa	136	136	63	46	28	14	2359498	2359498	2198109	2084158	1779281	1287264	136	186587	2359498	57.42	59509	25367	13	28	0.0	2 + 3 part	MEGAHIT-MaxBin2-group-AL.003.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__Pelethomonas sp910587645	GCA_910587645.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__Pelethomonas sp910587645	99.93	0.791							ani_screen	classification based on ANI only	GCA_947649615.1, s__Pelethomonas sp947649615, 95.0, 91.48, 0.377				
MEGAHIT-MaxBin2-group-AL.004.fa	102.159	112.659	39.1569	105.074	25.6412						MEGAHIT-MaxBin2-group-AL.004.fa	bacteria_odb10	26.6	24.2	2.4	7.3	66.1	124	11	26844	26844	0.000%	279	MEGAHIT-MaxBin2-group-AL.004.fa	38.04	5.01	Neural Network (Specific Model)	11	0.866	1873622	2002	MEGAHIT-MaxBin2-group-AL.004	MEGAHIT-MaxBin2-group-AL.004.fa	279	279	61	34	19	6	1873622	1873622	1369744	1183247	953795	491225	279	92548	1873622	55.91	26844	4598	19	69	0.0	4 + 1 part	MEGAHIT-MaxBin2-group-AL.004.fa																			
MEGAHIT-MaxBin2-group-AL.005.fa	101.942	49.8514	264.335	81.2342	198.55						MEGAHIT-MaxBin2-group-AL.005.fa	bacteria_odb10	12.1	7.3	4.8	1.6	86.3	124	11	77730	77730	0.000%	71	MEGAHIT-MaxBin2-group-AL.005.fa	24.82	2.51	Neural Network (Specific Model)	11	0.892	947940	925	MEGAHIT-MaxBin2-group-AL.005	MEGAHIT-MaxBin2-group-AL.005.fa	71	71	28	20	7	4	947940	947940	845731	789212	587060	482951	71	149790	947940	51.09	77730	15581	4	14	0.0	5 + 0 part	MEGAHIT-MaxBin2-group-AL.005.fa																			
MEGAHIT-MaxBin2-group-AL.006.fa	84.9577	60.8052	0.0324904	0.112527	0.0356234						MEGAHIT-MaxBin2-group-AL.006.fa	bacteria_odb10	94.4	92.7	1.6	2.4	3.2	124	11	44902	44902	0.000%	191	MEGAHIT-MaxBin2-group-AL.006.fa	94.71	1.53	Gradient Boost (General Model)	11	0.855	4177032	3701	MEGAHIT-MaxBin2-group-AL.006	MEGAHIT-MaxBin2-group-AL.006.fa	191	191	132	101	59	27	4177032	4177032	4043294	3808498	3077573	1939284	191	118680	4177032	54.45	44902	24294	31	62	0.0	0 + 4 part	MEGAHIT-MaxBin2-group-AL.006.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910585665	GCA_910585665.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910585665	99.9	0.853							ani_screen	classification based on ANI only					
MEGAHIT-MaxBin2-group-AL.007.fa	71.364	54.6622	4.27435	81.5447	25.5689						MEGAHIT-MaxBin2-group-AL.007.fa	bacteria_odb10	90.3	87.9	2.4	0.8	8.9	124	11	35007	35007	0.000%	185	MEGAHIT-MaxBin2-group-AL.007.fa	88.67	1.6	Gradient Boost (General Model)	11	0.892	3188495	3065	MEGAHIT-MaxBin2-group-AL.007	MEGAHIT-MaxBin2-group-AL.007.fa	185	185	127	96	39	16	3188495	3188495	3037745	2816430	1869143	1034984	185	95003	3188495	45.89	35007	17075	30	65	0.0	0 + 0 part	MEGAHIT-MaxBin2-group-AL.007.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp000403275	GCA_000403275.2	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp000403275	98.74	0.857							ani_screen	classification based on ANI only	GCA_910585965.1, s__Kineothrix sp910585965, 95.0, 83.39, 0.217; GCA_021772075.1, s__Kineothrix sp021772075, 95.0, 84.8, 0.25				
MEGAHIT-MaxBin2-group-AL.008.fa	59.91955	96.4204	11.1207	30.47515	13.51625						MEGAHIT-MaxBin2-group-AL.008.fa	bacteria_odb10	49.2	49.2	0.0	8.1	42.7	124	11	7316	7316	0.000%	506	MEGAHIT-MaxBin2-group-AL.008.fa	57.47	0.6	Gradient Boost (General Model)	11	0.885	2528884	2456	MEGAHIT-MaxBin2-group-AL.008	MEGAHIT-MaxBin2-group-AL.008.fa	506	506	144	60	6	2	2528884	2528884	1627793	1057300	258554	133992	506	75571	2528884	56.93	7316	3922	85	206	0.0	0 + 2 part	MEGAHIT-MaxBin2-group-AL.008.fa																			
MEGAHIT-MaxBin2-group-AL.009.fa	61.5769	43.6459	17.4924	7.69072	4.05044						MEGAHIT-MaxBin2-group-AL.009.fa	bacteria_odb10	97.6	96.8	0.8	1.6	0.8	124	11	99602	99602	0.000%	219	MEGAHIT-MaxBin2-group-AL.009.fa	98.43	4.9	Gradient Boost (General Model)	11	0.877	4498843	4144	MEGAHIT-MaxBin2-group-AL.009	MEGAHIT-MaxBin2-group-AL.009.fa	219	219	84	56	42	28	4498843	4498843	4210319	4028985	3828193	3308341	219	338073	4498843	51.26	99602	47194	15	30	0.0	0 + 1 part	MEGAHIT-MaxBin2-group-AL.009.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp003612485	GCA_003612485.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp003612485	98.82	0.777							ani_screen	classification based on ANI only					
MEGAHIT-MaxBin2-group-AL.010.fa	57.91505	49.942	22.5052	50.9779	26.4921						MEGAHIT-MaxBin2-group-AL.010.fa	bacteria_odb10	86.3	84.7	1.6	4.0	9.7	124	11	9265	9265	0.000%	818	MEGAHIT-MaxBin2-group-AL.010.fa	88.8	6.46	Gradient Boost (General Model)	11	0.877	4435436	4575	MEGAHIT-MaxBin2-group-AL.010	MEGAHIT-MaxBin2-group-AL.010.fa	818	818	250	111	18	4	4435436	4435436	3092512	2131412	688394	248546	818	69653	4435436	51.3	9265	4262	120	301	0.0	4 + 6 part	MEGAHIT-MaxBin2-group-AL.010.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__						GCA_948750055.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp009774655	98.48	0.623	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_910578115.1, s__UBA3282 sp910578115, 95.0, 92.14, 0.24; GCA_947576945.1, s__UBA3282 sp947576945, 95.0, 90.05, 0.185	79.57	11.0	0.99807	
