chrom	length	bases	mean	min	max
chr1	195154279	6603321577	33.84	0	19155393
chr1_region	195154279	6603321577	33.84	0	19155393
chr2	181755017	5169698808	28.44	0	108001
chr2_region	181755017	5169698808	28.44	0	108001
chr3	159745316	4362562177	27.31	0	48170
chr3_region	159745316	4362562177	27.31	0	48170
chr4	156860686	4404802585	28.08	0	11411
chr4_region	156860686	4404802585	28.08	0	11411
chr5	151758149	4263286009	28.09	0	194995
chr5_region	151758149	4263286009	28.09	0	194995
chr6	149588044	4143472506	27.70	0	85071
chr6_region	149588044	4143472506	27.70	0	85071
chr7	144995196	4397606261	30.33	0	5794121
chr7_region	144995196	4397606261	30.33	0	5794121
chr8	130127694	3712337167	28.53	0	116715
chr8_region	130127694	3712337167	28.53	0	116715
chr9	124359700	3692142251	29.69	0	66371
chr9_region	124359700	3692142251	29.69	0	66371
chr10	130530862	3590658056	27.51	0	229273
chr10_region	130530862	3590658056	27.51	0	229273
chr11	121973369	3483594615	28.56	0	135472
chr11_region	121973369	3483594615	28.56	0	135472
chr12	120092757	3364161492	28.01	0	51035
chr12_region	120092757	3364161492	28.01	0	51035
chr13	120883175	3353885792	27.74	0	63024
chr13_region	120883175	3353885792	27.74	0	63024
chr14	125139656	3449733242	27.57	0	191235
chr14_region	125139656	3449733242	27.57	0	191235
chr15	104073951	2887050363	27.74	0	36601
chr15_region	104073951	2887050363	27.74	0	36601
chr16	98008968	2664539096	27.19	0	176097
chr16_region	98008968	2664539096	27.19	0	176097
chr17	95294699	2704298741	28.38	0	149393
chr17_region	95294699	2704298741	28.38	0	149393
chr18	90720763	2479702656	27.33	0	63326
chr18_region	90720763	2479702656	27.33	0	63326
chr19	61420004	1663249400	27.08	0	9877
chr19_region	61420004	1663249400	27.08	0	9877
chrX	169476592	4463321504	26.34	0	190369
chrX_region	169476592	4463321504	26.34	0	190369
chrY	91455967	58290134	0.64	0	1565
chrY_region	91455967	58290134	0.64	0	1565
chrM	16299	109804807	6736.90	9	9752
chrM_region	16299	109804807	6736.90	9	9752
GL456210.1	169725	10991111	64.76	0	822
GL456210.1_region	169725	10991111	64.76	0	822
GL456211.1	241735	16790081	69.46	0	387
GL456211.1_region	241735	16790081	69.46	0	387
GL456212.1	153618	14053792	91.49	0	356
GL456212.1_region	153618	14053792	91.49	0	356
GL456219.1	175968	2532336	14.39	0	94
GL456219.1_region	175968	2532336	14.39	0	94
GL456221.1	206961	15316202	74.01	0	402
GL456221.1_region	206961	15316202	74.01	0	402
GL456233.2	559103	12453647	22.27	0	2550
GL456233.2_region	559103	12453647	22.27	0	2550
GL456239.1	40056	3350767	83.65	0	1175
GL456239.1_region	40056	3350767	83.65	0	1175
GL456354.1	195993	3990662	20.36	0	137
GL456354.1_region	195993	3990662	20.36	0	137
GL456359.1	22974	335083	14.59	0	58
GL456359.1_region	22974	335083	14.59	0	58
GL456360.1	31704	381104	12.02	0	38
GL456360.1_region	31704	381104	12.02	0	38
GL456366.1	47073	498516	10.59	0	68
GL456366.1_region	47073	498516	10.59	0	68
GL456367.1	42057	1597989	38.00	0	558
GL456367.1_region	42057	1597989	38.00	0	558
GL456368.1	20208	638120	31.58	0	102
GL456368.1_region	20208	638120	31.58	0	102
GL456370.1	26764	1110324	41.49	0	4102
GL456370.1_region	26764	1110324	41.49	0	4102
GL456372.1	28664	1298607	45.30	0	254
GL456372.1_region	28664	1298607	45.30	0	254
GL456378.1	31602	1251264	39.59	0	261
GL456378.1_region	31602	1251264	39.59	0	261
GL456379.1	72385	836497	11.56	0	43
GL456379.1_region	72385	836497	11.56	0	43
GL456381.1	25871	2498112	96.56	0	1061
GL456381.1_region	25871	2498112	96.56	0	1061
GL456382.1	23158	465835	20.12	0	68
GL456382.1_region	23158	465835	20.12	0	68
GL456383.1	38659	3869180	100.08	0	3089
GL456383.1_region	38659	3869180	100.08	0	3089
GL456385.1	35240	855018	24.26	0	92
GL456385.1_region	35240	855018	24.26	0	92
GL456387.1	24685	3392781	137.44	0	1163
GL456387.1_region	24685	3392781	137.44	0	1163
GL456389.1	28772	2277135	79.14	0	4555
GL456389.1_region	28772	2277135	79.14	0	4555
GL456390.1	24668	5055067	204.92	0	4295
GL456390.1_region	24668	5055067	204.92	0	4295
GL456392.1	23629	4931905	208.72	0	8564
GL456392.1_region	23629	4931905	208.72	0	8564
GL456394.1	24323	1495906	61.50	0	1283
GL456394.1_region	24323	1495906	61.50	0	1283
GL456396.1	21240	4418920	208.05	0	2922
GL456396.1_region	21240	4418920	208.05	0	2922
