chrom	start	end	depth	flag
TG_MTTH	44324	44824	1.72	LOW(possible_deletion)
TG_MTTH	45824	46324	2.01	LOW(possible_deletion)
TG_MTTH	46324	46824	1.71	LOW(possible_deletion)
TG_MTTH	49824	50324	2.15	LOW(possible_deletion)
TG_MTTH	54824	55324	1.72	LOW(possible_deletion)
TG_MTTH	66824	67324	2.14	LOW(possible_deletion)
TG_MTTH	68324	68824	2.16	LOW(possible_deletion)
TG_MTTH	81824	82324	2.26	LOW(possible_deletion)
TG_MTTH	87324	87824	2.06	LOW(possible_deletion)
TG_MTTH	88824	89324	1.81	LOW(possible_deletion)
TG_MTTH	89324	89824	1.86	LOW(possible_deletion)
TG_MTTH	93824	94324	1.84	LOW(possible_deletion)
TG_MTTH	94824	95324	1.45	LOW(possible_deletion)
TG_MTTH	98824	99324	2.37	LOW(possible_deletion)
TG_MTTH	99824	100324	2.32	LOW(possible_deletion)
TG_MTTH	106324	106824	2.06	LOW(possible_deletion)
TG_MTTH	115324	115824	2.14	LOW(possible_deletion)
TG_MTTH	140824	141324	1.89	LOW(possible_deletion)
TG_MTTH	144324	144824	2.24	LOW(possible_deletion)
TG_MTTH	162824	163324	1.86	LOW(possible_deletion)
TG_MTTH	170824	171324	2.11	LOW(possible_deletion)
TG_MTTH	174824	175324	0.57	LOW(possible_deletion)
TG_MTTH	175324	175824	1.25	LOW(possible_deletion)
