task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	b5/20d007	1401779	NFCORE_SAREK:PREPARE_INTERVALS:BUILD_INTERVALS (fai)	COMPLETED	0	2026-07-06 21:07:56.741	2.1s	0ms	125.1%	3.2 MB	4.3 MB	123.8 KB	2.2 KB
1	15/cdf4fc	1401787	NFCORE_SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (GRCm39_plus_constructs.fa)	COMPLETED	0	2026-07-06 21:07:56.755	39.6s	36.9s	70.8%	980.7 MB	11.2 GB	2.7 GB	695.6 KB
7	92/95d7bc	1422614	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (fai.bed)	COMPLETED	0	2026-07-06 21:21:38.822	801ms	0ms	116.4%	3.2 MB	4.3 MB	123.2 KB	2.2 KB
4	39/199889	1404504	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTP (RAGH_153-L007)	COMPLETED	0	2026-07-06 21:08:36.347	13m 2s	13m 2s	644.1%	1.3 GB	2.3 GB	32.7 GB	27.8 GB
6	bd/4edd69	1422803	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (fai)	COMPLETED	0	2026-07-06 21:21:39.661	1.7s	631ms	9.2%	3.7 MB	5.8 MB	128.8 KB	8 KB
5	17/7db5a3	1402115	NFCORE_SAREK:SAREK:FASTQC (RAGH_153-L007)	COMPLETED	0	2026-07-06 21:07:58.868	32m 10s	32m 8s	175.6%	2.2 GB	7.5 GB	32.7 GB	4.6 MB
17	df/21d691	1434928	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_1-144995196)	COMPLETED	0	2026-07-06 21:40:08.805	644ms	127ms	34.2%	3.4 MB	4.6 MB	127.3 KB	3.4 KB
13	54/e769a6	1435128	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr3_1-159745316)	COMPLETED	0	2026-07-06 21:40:09.454	391ms	62ms	68.9%	3.5 MB	4.6 MB	127.3 KB	3.4 KB
14	1e/f2e9a2	1435315	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_1-156860686)	COMPLETED	0	2026-07-06 21:40:09.851	415ms	63ms	54.9%	3.5 MB	4.6 MB	127.3 KB	3.4 KB
16	59/99df39	1435502	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_1-149588044)	COMPLETED	0	2026-07-06 21:40:10.272	423ms	65ms	76.2%	3.5 MB	4.6 MB	127.3 KB	3.4 KB
9	d0/25c1bb	1435693	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_1-104073951)	COMPLETED	0	2026-07-06 21:40:10.703	388ms	61ms	70.8%	3.4 MB	4.6 MB	127.3 KB	3.5 KB
21	4a/e7d11c	1435875	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr9_1-124359700)	COMPLETED	0	2026-07-06 21:40:11.099	416ms	61ms	57.1%	3.5 MB	4.6 MB	127.3 KB	3.4 KB
12	19/cb5171	1436063	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_1-181755017)	COMPLETED	0	2026-07-06 21:40:11.523	409ms	59ms	71.1%	3.5 MB	4.6 MB	127.3 KB	3.4 KB
24	ab/20544a	1436244	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_1-120092757)	COMPLETED	0	2026-07-06 21:40:11.940	407ms	63ms	79.3%	3.4 MB	4.6 MB	127.3 KB	3.4 KB
19	17/26ae84	1436428	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_1-130127694)	COMPLETED	0	2026-07-06 21:40:12.356	376ms	62ms	70.3%	3.4 MB	4.6 MB	127.3 KB	3.4 KB
20	3e/8036ff	1436611	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr14_1-125139656)	COMPLETED	0	2026-07-06 21:40:12.740	409ms	59ms	70.1%	3.4 MB	4.6 MB	127.3 KB	3.4 KB
8	5f/97dd30	1436795	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr19_1-61420004)	COMPLETED	0	2026-07-06 21:40:13.156	422ms	63ms	64.3%	3.5 MB	4.6 MB	127.3 KB	3.6 KB
10	e3/2ff520	1436974	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_1-195154279)	COMPLETED	0	2026-07-06 21:40:13.587	399ms	69ms	62.5%	3.5 MB	4.6 MB	127.3 KB	3.4 KB
15	f4/3b33b2	1437154	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_1-151758149)	COMPLETED	0	2026-07-06 21:40:13.995	394ms	61ms	67.4%	3.4 MB	4.6 MB	127.3 KB	3.4 KB
25	bb/015225	1437342	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrY_1-91455967)	COMPLETED	0	2026-07-06 21:40:14.397	415ms	64ms	66.9%	3.5 MB	4.6 MB	128.3 KB	4.4 KB
23	85/4e7696	1437520	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr13_1-120883175)	COMPLETED	0	2026-07-06 21:40:14.819	408ms	61ms	77.4%	3.4 MB	4.6 MB	127.3 KB	3.4 KB
11	c7/58d63b	1437699	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr17_1-95294699)	COMPLETED	0	2026-07-06 21:40:15.233	401ms	60ms	59.5%	3.4 MB	4.6 MB	127.3 KB	3.5 KB
18	5b/a74c08	1437883	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_1-130530862)	COMPLETED	0	2026-07-06 21:40:15.641	427ms	56ms	58.3%	3.4 MB	4.6 MB	127.3 KB	3.4 KB
22	1d/bea512	1438064	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr11_1-121973369)	COMPLETED	0	2026-07-06 21:40:16.073	390ms	62ms	70.1%	3.4 MB	4.6 MB	127.3 KB	3.4 KB
3	92/0a5ab5	1422995	NFCORE_SAREK:PREPARE_GENOME:BWAMEM2_INDEX (GRCm39_plus_constructs.fa)	COMPLETED	0	2026-07-06 21:21:41.376	45m 24s	45m 24s	100.1%	61 GB	63.4 GB	3.2 GB	14 GB
63	c9/1a0937	1446868	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM2_MEM (RAGH_153)	COMPLETED	0	2026-07-06 22:07:05.307	23m 6s	23m 6s	1557.4%	31.2 GB	38.5 GB	38 GB	24.5 GB
45	cb/95efab	1446870	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM2_MEM (RAGH_153)	COMPLETED	0	2026-07-06 22:07:05.315	23m 25s	23m 24s	1552.1%	31.2 GB	39 GB	38 GB	24.5 GB
34	d1/47e0c3	1482549	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM2_MEM (RAGH_153)	COMPLETED	0	2026-07-06 22:30:11.631	22m 45s	22m 45s	1556.5%	31.3 GB	38.6 GB	38 GB	24.5 GB
65	26/2b548f	1483782	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM2_MEM (RAGH_153)	COMPLETED	0	2026-07-06 22:30:30.285	22m 36s	22m 35s	1567.7%	31 GB	38.2 GB	38 GB	24.5 GB
70	18/ae6724	1518197	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM2_MEM (RAGH_153)	COMPLETED	0	2026-07-06 22:52:56.905	22m 15s	22m 15s	1566.1%	31.1 GB	38.4 GB	38 GB	24.5 GB
37	46/622805	1519005	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM2_MEM (RAGH_153)	COMPLETED	0	2026-07-06 22:53:06.103	22m 24s	22m 23s	1576.6%	31.2 GB	38.6 GB	38 GB	24.5 GB
48	27/a0cdf7	1553570	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM2_MEM (RAGH_153)	COMPLETED	0	2026-07-06 23:15:12.274	22m 12s	22m 12s	1566.9%	31 GB	38.1 GB	38 GB	24.5 GB
68	9d/4459b8	1554814	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM2_MEM (RAGH_153)	COMPLETED	0	2026-07-06 23:15:29.836	22m 4s	22m 4s	1565.5%	31 GB	38.2 GB	38 GB	24.5 GB
41	43/84be00	1589138	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM2_MEM (RAGH_153)	COMPLETED	0	2026-07-06 23:37:24.612	22m	22m	1573.4%	31.3 GB	38.8 GB	38 GB	24.5 GB
60	0f/abf6c3	1589952	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM2_MEM (RAGH_153)	COMPLETED	0	2026-07-06 23:37:34.017	22m 5s	22m 4s	1568.3%	31.1 GB	38.4 GB	38 GB	24.5 GB
73	a5/11c175	1624247	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM2_MEM (RAGH_153)	COMPLETED	0	2026-07-06 23:59:24.647	22m 17s	22m 16s	1570.5%	31.1 GB	38.4 GB	38 GB	24.5 GB
