chrom	start	end	support_reads	site_depth	class
chr7	90091184	90091184	14	37	novel_offtarget?
chr14	46050272	46050272	6	11	novel_offtarget?
chrX	144298032	144298034	6	3	novel_offtarget?
chr10	121599139	121599139	5	38	novel_offtarget?
chr11	22923177	22923177	5	5	novel_offtarget?
chr16	10650514	10650514	5	3	novel_offtarget?
chr1	57262701	57262705	4	1.4	novel_offtarget?
chr11	76855804	76855804	4	29	novel_offtarget?
chr1	113382960	113382960	4	26	novel_offtarget?
chr13	109732584	109732595	4	47.0833	novel_offtarget?
chr15	39910855	39910855	4	45	novel_offtarget?
chr2	76773457	76773468	4	33	novel_offtarget?
chr4	80899932	80899932	4	22	novel_offtarget?
chr5	74335986	74335986	4	25	novel_offtarget?
chr6	128806035	128806035	4	0	novel_offtarget?
chr7	48205031	48205051	4	31.0952	novel_offtarget?
chrX	95901726	95901726	4	8	novel_offtarget?
chr1	140711342	140711342	3	9	novel_offtarget?
chr18	71556414	71556418	3	0.8	novel_offtarget?
chr2	130302643	130302643	3	50	novel_offtarget?
chr7	63558923	63558924	3	5	novel_offtarget?
