chrom	win5kb	start	end	support_reads
chr1	15717	78585517	78585551	29
chr5	7021	35106868	35108423	11
chr5	7020	35100181	35103651	6
chr7	18018	90091184	90091184	6
chr5	6979	34896788	34898160	5
chr5	6981	34905071	34906980	5
chr10	17178	85891781	85891786	4
chr12	17260	86301097	86301097	4
chr13	15405	77028590	77028590	4
chr14	9210	46050270	46050272	4
chr4	6645	33227066	33227068	4
chr9	3356	16783486	16783486	4
chrX	28159	140797160	140797160	4
chr5	20844	104220188	104220188	3
chr5	7018	35090217	35092358	3
chr5	7019	35095851	35099871	3
chrX	20492	102462277	102462277	3
