chrom	length	bases	mean	min	max
chr1	195154279	5869021968	30.07	0	16067970
chr1_region	195154279	5869021968	30.07	0	16067970
chr2	181755017	4683293805	25.77	0	88618
chr2_region	181755017	4683293805	25.77	0	88618
chr3	159745316	3934117500	24.63	0	42382
chr3_region	159745316	3934117500	24.63	0	42382
chr4	156860686	3903931191	24.89	0	9783
chr4_region	156860686	3903931191	24.89	0	9783
chr5	151758149	3813768805	25.13	0	175989
chr5_region	151758149	3813768805	25.13	0	175989
chr6	149588044	3748532092	25.06	0	75991
chr6_region	149588044	3748532092	25.06	0	75991
chr7	144995196	3913107199	26.99	0	4858363
chr7_region	144995196	3913107199	26.99	0	4858363
chr8	130127694	3347485366	25.72	0	107663
chr8_region	130127694	3347485366	25.72	0	107663
chr9	124359700	3304243235	26.57	0	78863
chr9_region	124359700	3304243235	26.57	0	78863
chr10	130530862	3224672887	24.70	0	205605
chr10_region	130530862	3224672887	24.70	0	205605
chr11	121973369	3135123540	25.70	0	124663
chr11_region	121973369	3135123540	25.70	0	124663
chr12	120092757	3093544251	25.76	0	42901
chr12_region	120092757	3093544251	25.76	0	42901
chr13	120883175	3036268371	25.12	0	74105
chr13_region	120883175	3036268371	25.12	0	74105
chr14	125139656	3128275113	25.00	0	174682
chr14_region	125139656	3128275113	25.00	0	174682
chr15	104073951	2602781883	25.01	0	36457
chr15_region	104073951	2602781883	25.01	0	36457
chr16	98008968	2419319060	24.68	0	165085
chr16_region	98008968	2419319060	24.68	0	165085
chr17	95294699	2446754170	25.68	0	140997
chr17_region	95294699	2446754170	25.68	0	140997
chr18	90720763	2239135091	24.68	0	56140
chr18_region	90720763	2239135091	24.68	0	56140
chr19	61420004	1505003039	24.50	0	5522
chr19_region	61420004	1505003039	24.50	0	5522
chrX	169476592	4004213387	23.63	0	179074
chrX_region	169476592	4004213387	23.63	0	179074
chrY	91455967	48166122	0.53	0	855
chrY_region	91455967	48166122	0.53	0	855
chrM	16299	106901100	6558.75	12	9700
chrM_region	16299	106901100	6558.75	12	9700
GL456210.1	169725	9782071	57.63	0	681
GL456210.1_region	169725	9782071	57.63	0	681
GL456211.1	241735	14962597	61.90	0	316
GL456211.1_region	241735	14962597	61.90	0	316
GL456212.1	153618	12380973	80.60	0	323
GL456212.1_region	153618	12380973	80.60	0	323
GL456219.1	175968	2227202	12.66	0	108
GL456219.1_region	175968	2227202	12.66	0	108
GL456221.1	206961	13422868	64.86	0	359
GL456221.1_region	206961	13422868	64.86	0	359
GL456233.2	559103	10942054	19.57	0	2040
GL456233.2_region	559103	10942054	19.57	0	2040
GL456239.1	40056	902059	22.52	0	587
GL456239.1_region	40056	902059	22.52	0	587
GL456354.1	195993	2339266	11.94	0	103
GL456354.1_region	195993	2339266	11.94	0	103
GL456359.1	22974	227835	9.92	0	72
GL456359.1_region	22974	227835	9.92	0	72
GL456360.1	31704	329414	10.39	0	36
GL456360.1_region	31704	329414	10.39	0	36
GL456366.1	47073	415045	8.82	0	63
GL456366.1_region	47073	415045	8.82	0	63
GL456367.1	42057	1268449	30.16	0	395
GL456367.1_region	42057	1268449	30.16	0	395
GL456368.1	20208	536831	26.57	0	80
GL456368.1_region	20208	536831	26.57	0	80
GL456370.1	26764	948522	35.44	0	4045
GL456370.1_region	26764	948522	35.44	0	4045
GL456372.1	28664	1162402	40.55	0	223
GL456372.1_region	28664	1162402	40.55	0	223
GL456378.1	31602	714774	22.62	0	190
GL456378.1_region	31602	714774	22.62	0	190
GL456379.1	72385	743521	10.27	0	49
GL456379.1_region	72385	743521	10.27	0	49
GL456381.1	25871	1893293	73.18	0	651
GL456381.1_region	25871	1893293	73.18	0	651
GL456382.1	23158	396543	17.12	0	53
GL456382.1_region	23158	396543	17.12	0	53
GL456383.1	38659	2919644	75.52	0	2385
GL456383.1_region	38659	2919644	75.52	0	2385
GL456385.1	35240	792211	22.48	0	73
GL456385.1_region	35240	792211	22.48	0	73
GL456387.1	24685	2581609	104.58	0	605
GL456387.1_region	24685	2581609	104.58	0	605
GL456389.1	28772	1606306	55.83	0	2657
GL456389.1_region	28772	1606306	55.83	0	2657
GL456390.1	24668	3807319	154.34	0	3622
GL456390.1_region	24668	3807319	154.34	0	3622
GL456392.1	23629	3464021	146.60	0	5852
GL456392.1_region	23629	3464021	146.60	0	5852
GL456394.1	24323	1176647	48.38	0	543
GL456394.1_region	24323	1176647	48.38	0	543
GL456396.1	21240	3317652	156.20	0	2213
GL456396.1_region	21240	3317652	156.20	0	2213
JH584295.1	1976	34230	17.32	0	32
JH584295.1_region	1976	34230	17.32	0	32
JH584296.1	199368	2045536	10.26	0	62
JH584296.1_region	199368	2045536	10.26	0	62
JH584297.1	205776	2406060	11.69	0	80
JH584297.1_region	205776	2406060	11.69	0	80
JH584298.1	184189	2351952	12.77	0	66
JH584298.1_region	184189	2351952	12.77	0	66
JH584299.1	953012	13026498	13.67	0	182
JH584299.1_region	953012	13026498	13.67	0	182
JH584300.1	182347	11637	0.06	0	131
JH584300.1_region	182347	11637	0.06	0	131
JH584301.1	259875	31556	0.12	0	33
