chrom	start	end	depth	flag
TG_CD1A	29972	30472	0.00	LOW(possible_deletion)
TG_CD1A	30472	30972	0.00	LOW(possible_deletion)
TG_CD1A	30972	31472	0.00	LOW(possible_deletion)
TG_CD1A	31472	31972	0.00	LOW(possible_deletion)
TG_CD1A	31972	32472	0.00	LOW(possible_deletion)
TG_CD1A	32472	32972	0.00	LOW(possible_deletion)
TG_CD1A	32972	33472	0.00	LOW(possible_deletion)
TG_CD1A	33472	33972	0.00	LOW(possible_deletion)
TG_CD1A	33972	34472	0.21	LOW(possible_deletion)
TG_CD1A	34472	34972	0.08	LOW(possible_deletion)
TG_CD1A	34972	35472	0.00	LOW(possible_deletion)
TG_CD1A	35472	35972	0.00	LOW(possible_deletion)
TG_CD1A	36972	37472	0.00	LOW(possible_deletion)
TG_CD1A	37472	37972	0.00	LOW(possible_deletion)
TG_CD1A	37972	38472	0.00	LOW(possible_deletion)
TG_CD1A	38472	38972	0.00	LOW(possible_deletion)
TG_CD1A	38972	39472	0.00	LOW(possible_deletion)
TG_CD1A	39472	39972	0.00	LOW(possible_deletion)
TG_CD1A	39972	40472	0.00	LOW(possible_deletion)
TG_CD1A	40472	40972	0.00	LOW(possible_deletion)
TG_CD1A	40972	41472	0.00	LOW(possible_deletion)
TG_CD1A	41472	41972	0.17	LOW(possible_deletion)
TG_CD1A	41972	42472	0.02	LOW(possible_deletion)
TG_CD1A	42472	42972	0.00	LOW(possible_deletion)
TG_CD1A	42972	43472	0.00	LOW(possible_deletion)
TG_CD1A	43472	43972	0.00	LOW(possible_deletion)
TG_CD1A	43972	44472	0.00	LOW(possible_deletion)
TG_CD1A	44972	45472	0.01	LOW(possible_deletion)
TG_CD1A	45472	45972	0.12	LOW(possible_deletion)
TG_CD1A	45972	46472	0.00	LOW(possible_deletion)
TG_CD1A	46472	46972	0.00	LOW(possible_deletion)
TG_CD1A	46972	47472	0.00	LOW(possible_deletion)
TG_CD1A	47472	47972	0.00	LOW(possible_deletion)
TG_CD1A	47972	48472	0.00	LOW(possible_deletion)
TG_CD1A	48472	48972	0.00	LOW(possible_deletion)
TG_CD1A	48972	49472	0.00	LOW(possible_deletion)
TG_CD1A	49472	49972	0.00	LOW(possible_deletion)
TG_CD1A	49972	50472	0.00	LOW(possible_deletion)
TG_CD1A	50472	50972	0.00	LOW(possible_deletion)
TG_CD1A	50972	51472	0.00	LOW(possible_deletion)
TG_CD1A	51472	51972	0.00	LOW(possible_deletion)
TG_CD1A	51972	52472	0.00	LOW(possible_deletion)
TG_CD1A	52472	52972	0.00	LOW(possible_deletion)
TG_CD1A	52972	53472	0.00	LOW(possible_deletion)
TG_CD1A	53472	53972	0.00	LOW(possible_deletion)
TG_CD1A	53972	54472	0.00	LOW(possible_deletion)
TG_CD1A	54472	54972	0.00	LOW(possible_deletion)
TG_CD1A	54972	55472	0.00	LOW(possible_deletion)
TG_CD1A	55472	55972	2.77	HIGH(possible_dup/rearr)
TG_CD1A	55972	56472	0.00	LOW(possible_deletion)
TG_CD1A	56472	56972	0.21	LOW(possible_deletion)
TG_CD1A	56972	57472	0.00	LOW(possible_deletion)
TG_CD1A	57472	57972	0.00	LOW(possible_deletion)
TG_CD1A	58472	58972	0.00	LOW(possible_deletion)
